option_id,unit_id,relationship,notes,provenance,confidence
electric_tunnel_kiln_firing,furnace_ht_elec,is_unit,Ceramic kiln firing at ~1000-1100C is modelled as an HTH duty; D5 puts no ceramic kiln in the chemistry spine.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electric_tunnel_kiln_firing' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
electrified_reforming_esmr,,none,GAP-UNIT: the EN family carries smr_gas_ccs and atr_gas_ccs only; no electrified reformer.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electrified_reforming_esmr' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
electrified_static_processing_plant,motor_elec,route_change,Diesel mobile crushing/screening replaced by fixed electric plant: the duty moves from an unrepresented NRMM machine to a MOT duty on motor_elec.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electrified_static_processing_plant' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
electrochemical_synthesis_routes,,route_change,GAP-UNIT: no electrochemical synthesis node in the chemistry spine.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electrochemical_synthesis_routes' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
electrode_boiler,resistance_heater_lt,is_unit,"GAP-UNIT: unit.csv has no electrode boiler. resistance_heater_lt is the nearest LTH electric unit; the STM family has no electric boiler at all, so the steam duty of this option is unrepresented.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electrode_boiler' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
electrolytic_hydrogen_refinery_integration,electrolyser_pem,is_unit,On-site electrolytic hydrogen.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electrolytic_hydrogen_refinery_integration' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
electrolytic_hydrogen_refinery_integration,electrolyser_alkaline,is_unit,"On-site electrolytic hydrogen, alkaline stack.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'electrolytic_hydrogen_refinery_integration' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
ev_fleet_charging_infrastructure,,none,OUT-OF-SET: vehicle charging; README_decarbonisation_options.md challenge 10 records that the benefit accrues outside the site boundary.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'ev_fleet_charging_infrastructure' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
fab_low_grade_heat_recovery,heat_pump_lt_reject,is_unit,Recovering process cooling water heat to a useful LTH duty is the reject-heat heat pump unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'fab_low_grade_heat_recovery' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
fast_firing_low_thermal_mass_kilns,,none,DEMAND-SIDE: cuts specific firing energy; with no ceramic kiln unit there is no coefficient to carry it.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'fast_firing_low_thermal_mass_kilns' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
fermentation_co2_recovery,,none,"GAP-UNIT: no capture unit on a fermentation host, and carrier.csv defines co2_captured as CO2 leaving to the transport network, not merchant CO2 for reuse.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'fermentation_co2_recovery' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
fume_cupboard_vav_sash_management,,none,DEMAND-SIDE: reduces the laboratory ventilation duty.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'fume_cupboard_vav_sash_management' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
gas_compression_electric_drive,motor_elec,is_unit,Electric motor-driven export/process compression is a MOT duty on motor_elec.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'gas_compression_electric_drive' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
grid_electric_drilling_rig,,none,GAP-UNIT: no mobile-plant / genset unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'grid_electric_drilling_rig' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
h2_boiler,boiler_lt_hydrogen,is_unit,Hydrogen steam and hot-water boiler.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'h2_boiler' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
h2_boiler,boiler_spc_hydrogen,is_unit,The same plant serving a space-heat duty.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'h2_boiler' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
h2_dri_eaf,dri_midrex_gas,route_change,"GAP-UNIT: no hydrogen shaft-furnace unit; dri_midrex_gas is the gas-based analogue. The route spans coke_ovens, sinter_plant, blast_furnace_ironmaking and bof_steelmaking.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'h2_dri_eaf' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
h2_dri_eaf,eaf_elec,route_change,The melting leg of the H2-DRI + EAF route.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'h2_dri_eaf' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
h2_kiln_furnace_burner,furnace_ht_hydrogen,is_unit,Hydrogen firing of furnaces and kilns above ~400C.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'h2_kiln_furnace_burner' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
h2_kiln_furnace_burner,dryer_direct_hydrogen,is_unit,Hydrogen firing of direct-fired dryers from ~200C.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'h2_kiln_furnace_burner' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
h2_ready_equipment,,none,"NOT-A-UNIT: a procurement attribute. It changes when a hydrogen unit becomes eligible (unit_eligibility.earliest_year), not what is built.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'h2_ready_equipment' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
hbi_dri_charging_eaf,eaf_elec,enables,Merchant DRI/HBI in the charge changes eaf_elec's charge and electricity coefficients.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'hbi_dri_charging_eaf' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
heat_pump_above_200,,none,GAP-UNIT: no heat pump unit above 200C; heat_pump_ht is the highest and it is an STM unit below that.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'heat_pump_above_200' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
heat_pump_below_100,heat_pump_lt_air,is_unit,Ambient-source low-temperature heat pump.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'heat_pump_below_100' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
heat_pump_below_100,heat_pump_lt_reject,is_unit,The same duty served from recovered reject heat.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'heat_pump_below_100' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
heat_recovery_heat_pump,heat_pump_lt_reject,is_unit,Upgrading 20-70C waste heat to 60-150C is exactly the reject-heat heat pump unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'heat_recovery_heat_pump' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
hisarna_smelting_reduction,hisarna_coal,route_change,"Direct smelting of ore fines, eliminating coke_ovens and sinter_plant as well as replacing blast_furnace_ironmaking.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'hisarna_smelting_reduction' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
htp_heat_pump_100_150,heat_pump_ht,is_unit,The high-temperature (steam) heat pump unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'htp_heat_pump_100_150' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",high
htp_heat_pump_150_200,,none,GAP-UNIT: no 150-200C heat pump unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'htp_heat_pump_150_200' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
hvo_bio_oils_dropin,,none,"GAP-CARRIER and GAP-UNIT: no HVO/bio-oil carrier in carrier.csv, and no mobile-plant unit for the engine duty.","[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'hvo_bio_oils_dropin' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
hydrogen_fuel_cell_haul_truck,,none,GAP-UNIT: no mobile-plant / NRMM unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'hydrogen_fuel_cell_haul_truck' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
hydrogen_nrmm,,none,GAP-UNIT: no mobile-plant / NRMM unit.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'hydrogen_nrmm' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
impingement_tad_drying_conversion,paper_dryer_elec,enables,Raises the drying rate of the paper machine dryer section: changes paper_dryer_elec's energy coefficient.,"[CARB3_OPT_LIB] decarbonisation_options_library.csv row 'impingement_tad_drying_conversion' (option_class, displaces, duty, uk_status) read against [CARB3_UNIT_LIST] unit.csv and [CARB3_SPEC_IMPL] 3.5",medium
