carrier_id,carrier_name,carrier_kind,is_gradeable,grade_rank,grade_label,is_indirect,emission_factor_source,biogenic_fraction,carbon_charge,denominator_kind,may_dispose,may_import,may_export,vector,comit_commodity,provenance
coke_oven_gas,Coke oven gas,primary,FALSE,,,FALSE,ef_coke_oven_gas,0,,energy,FALSE,FALSE,FALSE,coal,INDCOG,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven gas"" = 44.4 t CO2/TJ NCV; t/TJ = kt/PJ. Not covered by the DESNZ/DEFRA GHG conversion factors. D16 (the site boundary is a property of the carrier): may_import and may_export both FALSE. As for blast_furnace_gas, a site byproduct burnt on site by bof_converter_cog and the reheat furnaces, with no outside market"
blast_furnace_gas,Blast furnace gas,primary,FALSE,,,FALSE,ef_blast_furnace_gas,0,,energy,FALSE,FALSE,FALSE,coal,INDBFG,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Blast furnace gas"" = 260 t CO2/TJ NCV; t/TJ = kt/PJ. Not covered by the DESNZ/DEFRA GHG conversion factors. D16 (the site boundary is a property of the carrier): may_import and may_export both FALSE. A site byproduct gas with no outside market - a coproduct of blast_furnace_coke, burnt on site by chp_bfg_gas_turbine and the reheat furnaces - so the primary-carrier rule does not apply to it and neither an import nor an export variable is declared"
solid_biomass,Solid biomass (wood chips and waste wood),primary,FALSE,,,FALSE,ef_solid_biomass,1,,energy,FALSE,TRUE,FALSE,biomass,IND_SOLIDBIO;IND_SOLIDBIOMSW,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Biomass / Wood chips"", unit kWh = 0.35 kg CO2/kWh net CV (sheet guidance: ""All outside of scopes energy-based factors are provided on a net CV basis""); x 277.7778 = 97.2222 kt/PJ. Wood chips taken as the representative row for the carrier ""Solid biomass (wood chips and waste wood)"""
wood_pellets,Wood pellets,primary,FALSE,,,FALSE,ef_wood_pellets,1,,energy,FALSE,TRUE,FALSE,biomass,INDPELL,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Biomass / Wood pellets"", unit kWh = 0.35 kg CO2/kWh net CV; x 277.7778 = 97.2222 kt/PJ"
organic_waste,Organic waste (biogenic),primary,FALSE,,,FALSE,ef_organic_waste,1,,energy,FALSE,TRUE,FALSE,biomass,INDMSWORG,"No UK-published CO2 factor found for the biogenic organic fraction of MSW as a combusted fuel. biogenic_fraction is 1 by the carrier definition in carrier.csv (""Organic waste (biogenic)""). See DONE_carriers.md"
waste_derived_fuel,Waste-derived fuel (mixed fossil and biogenic),primary,FALSE,,,FALSE,ef_waste_derived_fuel,,,energy,FALSE,TRUE,FALSE,other,INDMSWINO,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Industrial wastes"" = 143 t CO2/TJ NCV (net calorific value ""n.a."" in the source); t/TJ = kt/PJ. biogenic_fraction left blank: no UK-published biogenic carbon share of RDF/SRF found - see DONE_carriers.md"
electricity,Grid electricity,primary,FALSE,,,TRUE,ef_electricity,,,energy,FALSE,TRUE,TRUE,electricity,INDDISTELC,"[GB_SUPP_TABLES_2023] Table 1 ""Electricity emissions factors to 2100, kgCO2e/kWh"", grid average / consumption-based / Industrial column, year 2021 = 0.208868 kgCO2e/kWh; x 277.7778 = 58.0188 kt/PJ. CO2e, not CO2-only: the published series gives no CO2-only split. Grid average (not long-run marginal) chosen because spec 7.6 reconciles reported totals against measured emissions at the base year, which is footprinting - the basis Table 1 itself prescribes for that use"
heat_lt60,Heat below 60 C,intermediate,TRUE,1,<60C,FALSE,,,,energy,TRUE,FALSE,FALSE,,,
heat_60_100,Heat 60-100 C,intermediate,TRUE,2,60-100C,FALSE,,,,energy,TRUE,FALSE,FALSE,,,
heat_100_150,Heat 100-150 C,intermediate,TRUE,3,100-150C,FALSE,,,,energy,TRUE,FALSE,FALSE,,,
heat_150_400,Heat 150-400 C,intermediate,TRUE,4,150-400C,FALSE,,,,energy,TRUE,FALSE,FALSE,,,
heat_400_1000,Heat 400-1000 C,intermediate,TRUE,5,400-1000C,FALSE,,,,energy,TRUE,FALSE,FALSE,,,
heat_gt1000,Heat above 1000 C,intermediate,TRUE,6,>1000C,FALSE,,,,energy,TRUE,FALSE,FALSE,,,
motive_power,Motive power (shaft work),intermediate,FALSE,,,FALSE,,,,energy,TRUE,FALSE,FALSE,,,
cooling,Cooling and refrigeration,intermediate,FALSE,,,FALSE,,,,energy,TRUE,FALSE,FALSE,,,
electric_service,"Electric end-use service (not shaft work, heat or cooling)",intermediate,FALSE,,,FALSE,,,,energy,TRUE,FALSE,FALSE,,,"Service carrier added 2026-09-24 (spec section 3.4, note 22 section 2): lighting, instruments, process tools, welding, electrochemistry and battery charging. Keeps C8 non-circular where a duty would otherwise sit on electricity"
co2_process,Process CO2 (chemistry),emission,FALSE,,,FALSE,,,charged,mass,TRUE,FALSE,FALSE,,INDCO2P,
co2_fuel_fossil,Fuel CO2 (fossil carbon),emission,FALSE,,,FALSE,,,charged,mass,TRUE,FALSE,FALSE,,,
co2_fuel_biogenic,Fuel CO2 (biogenic carbon),emission,FALSE,,,FALSE,,,zero_rated,mass,TRUE,FALSE,FALSE,,,
co2_captured,Captured CO2 (to transport network),product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,TRUE,,,
clinker,Cement clinker,product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,FALSE,,ICMCLK,[CARB3_WE_CEMENT] 1.11 carrier table
cement,Cement,product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,TRUE,,ICM,[CARB3_WE_CEMENT] 1.11 carrier table
quicklime,Quicklime (lime kiln output),product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,FALSE,,ILMCLK,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, process_commodity ILMCLK ""Clinker"", output_unit Mt. D16 (the site boundary is a property of the carrier): internal product. lime_grinder_elec and lime_grinder_sub_elec consume it in unit_input_output.csv, so a lime works makes it and grinds it exactly as a cement works does clinker; may_export FALSE and the grinders' draw fixes the kilns' activity through C8 (carrier balance)"
lime,Lime (ground and hydrated products),product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,TRUE,,ILM,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, process_commodity ILM ""Lime (demand commodity, in Mt)"""
hvc,High-value chemicals (olefins and aromatics),product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,TRUE,,IHVC,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, process_commodity IHVC ""High-value chemicals (demand commodity in Mt)"""
ammonia,Ammonia,product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,TRUE,,IAM,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, process_commodity IAM ""Ammonia"""
pig_iron,Pig iron (hot metal),product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,FALSE,,IISPIR,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, process_commodity IISPIR ""Pig iron (intermediate product, in Mt)"". D16 (the site boundary is a property of the carrier): internal product. bof_converter_cog consumes it in unit_input_output.csv; merchant pig iron exists but is not in scope for an integrated works, so may_export FALSE"
steel_crude,Crude (liquid) steel,product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,FALSE,,IISLST,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, process_commodity IISLST ""Liquid steel (intermediate product, in Mt)"". D16 (the site boundary is a property of the carrier): internal product. rolling_mill_reheat_gas and rolling_mill_reheat_hydrogen consume it in unit_input_output.csv; liquid steel is cast on site, so may_export FALSE"
sinter,Sinter,product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,FALSE,,IISSNT,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, process_commodity IISSNT ""Sinter (intermediate product, in Mt)"". D16 (the site boundary is a property of the carrier): internal product. blast_furnace_coke and tgr_blast_furnace_coke consume it in unit_input_output.csv, so may_export FALSE"
steel_hot_rolled,Hot rolled steel,product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,TRUE,,IISHRS,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, process_commodity IISHRS ""Hot rolled steel (intermediate product, in Mt)"". D16 (the site boundary is a property of the carrier): COMIT calls IISHRS an intermediate product, but no unit in unit_input_output.csv consumes it and hot rolled coil is sold, so it ends the modelled chain and may_export is TRUE. COMIT's chain label is not the site boundary"
glass,Melted refined glass,product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,TRUE,,IGLMRG,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, process_commodity IGLMRG ""Melted refined glass"". D16 (the site boundary is a property of the carrier): melted refined glass is formed on site in reality, but no forming unit exists in unit_input_output.csv and IGLMRG is COMIT's glass demand node, so it ends the modelled chain and may_export is TRUE"
paper_before_pressing,Paper before pressing,product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,FALSE,,IPPPBP,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, process_commodity IPPPBP ""Paper before pressing (intermediate product, in Mt)"". D16 (the site boundary is a property of the carrier): internal product. paper_press_elec consumes it in unit_input_output.csv, so may_export FALSE"
paper_before_drying,Paper before drying,product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,FALSE,,IPPPBD,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, process_commodity IPPPBD ""Paper before drying (intermediate product, in Mt)"". D16 (the site boundary is a property of the carrier): internal product. paper_dryer_elec consumes it in unit_input_output.csv, so may_export FALSE"
paper_basic,Basic paper,product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,TRUE,,IPPBPA,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, process_commodity IPPBPA ""Basic paper (intermediate product, in Mt)"". D16 (the site boundary is a property of the carrier): COMIT calls IPPBPA an intermediate product, but no unit in unit_input_output.csv consumes it and basic paper is sold, so may_export is TRUE. COMIT's chain label is not the site boundary"
petroleum_products,Refined petroleum products,product,FALSE,,,FALSE,,,,mass,FALSE,FALSE,TRUE,,PRCOIL,"[COMIT_TAXONOMY_140] comit_sector_processes.csv, process_commodity PRCOIL ""Petroleum products - outputs from oil refining"""
