option_id,option_name,option_class,displaces,duty,trl,trl_basis,key_constraints,uk_status,scope,provenance,confidence
compressed_air_optimisation,"Compressed air system optimisation (leaks, pressure, heat recovery)",efficiency_heat_recovery,electricity,Reduces compressor electricity; compressor heat recovery can serve <80C heat,,"No published TRL located; standard commercial practice, outside TRL frameworks in the sources reviewed",Persistence of savings requires ongoing management; none technical,Deployed; routinely identified in UK site audits,cross_cutting,[HASANBEIGI2021] TRL null per rules; context reference only,medium
controls_vsds,"Advanced controls, energy management and variable speed drives",efficiency_heat_recovery,electricity; gas,"5-15%-class savings on motors, fans, pumps and process control across all utilities",,No published TRL located; VSDs and control systems are ubiquitous commercial products not covered by TRL frameworks in the sources reviewed,None material - payback and management attention; interacts with all other options (do-first measure),Deployed universally but under-adopted,cross_cutting,[HASANBEIGI2021] TRL null per rules; reference for general electrification/efficiency context only,medium
cupola_to_induction,Cupola-to-induction furnace conversion in foundries,electrification,foundry coke; natural gas,Replacing coke-fired cupola (or gas-fired) melting with mains-frequency/medium-frequency electric induction melting,9,Documented commercial conversions (e.g. foundry-planet case study); induction melting is standard commercial technology,Large grid connection/power demand; loses cupola's tolerance of dirty/cheap charge; batch vs continuous melting; capital cost,Cast Metals Federation Net Zero roadmap identifies electrification of melting as the core decarbonisation route for UK foundries,sector_specific,[REF_FP_CUPOLA] Foundry-planet case study of a successful cupola-to-induction conversion; CMF roadmap (REF_CMF) for UK context,high
dairy_membrane_preconcentration,RO/NF membrane pre-concentration before evaporation,process_change,gas,Reverse osmosis/nanofiltration to remove water from milk/whey at low temperature ahead of evaporators and spray dryers,,No formal TRL; peer-reviewed dairy processing reviews describe RO concentration as commercially applied in dairy processing,Fouling and cleaning chemical load; achievable solids limited (~18-30%) so evaporation still needed; product functionality effects,Commercially available; applied at dairy sites internationally and in UK whey processing,sector_specific,[RO_DAIRY] Peer-reviewed review of reverse osmosis applications in dairy processing (concentration prior to evaporation/drying),high
destratification_radiant_conversion,Destratification fans and conversion to zoned radiant heating,efficiency_heat_recovery,gas,Cut space-heat demand in tall spaces: destratification fans return roof-level warm air to floor level; conversion from warm-air to zoned radiant heating heats occupants/surfaces rather than the full air volume,,No published TRL located; long-established commercial measure recommended in Carbon Trust HVAC guidance,Benefit depends on building height and heater type; radiant conversion needs gas or electric radiant emitters and re-zoning; residual fossil use if gas radiant retained,Fully commercial; standard energy-survey recommendation for UK sheds and workshops,sector_specific,[REF_CT_HVAC] Carbon Trust HVAC guide (CTV046) covers destratification and radiant heating for tall industrial spaces; see also Carbon Charter destratification datasheet,high
diesel_electric_hybrid_mobile_crushing,Diesel-electric hybrid drive mobile crushing/screening plant,mobile_plant,diesel,"Interim efficiency step: electric drivetrains powered by onboard genset, switchable to grid",9,"Commercial products; OEM-claimed up to 25% fuel reduction (Hub-4, 2026)",Still fossil-fuelled unless grid-connected or run on HVO; partial abatement only,Commercially available and in service in UK,sector_specific,[REF_HUB4_2026] Same source documents hybrid e-drive plant as bridge to full electric,high
digestate_drying_chp_waste_heat,Digestate drying/concentration using CHP waste heat,efficiency_heat_recovery,diesel; natural_gas,"Dry digestate fibre or evaporate liquor (50-70C) with recovered engine heat, cutting digestate haulage and fossil drying fuel",9,Commercial systems operating (ADBA Barkip case study: CHP-heated vacuum evaporators at 50-70C; Stronga FlowDrya product line),Only where CHP heat surplus exists; dryer capex; ammonia emissions/odour control from drying,Commercially deployed at UK AD plants,sector_specific,[REF_ADBA_HEAT] ADBA documents CHP-heat digestate concentration; FlowDrya is a UK commercial digestate dryer,high
direct_separation_leilac,Direct separation calcination (LEILAC-type) for process CO2,ccs_ccu,,Indirectly heated calciner capturing near-pure CO2 from limestone calcination (cement/lime process emissions only),6,"IEA CCUS in Clean Energy Transitions (2020): direct separation of cement process emissions rated 'TRL 6'; LEILAC-1 pilot (Lixhe) demonstrated CO2 separation at 95% purity per LEILAC Roadmap (2021), which does not itself state TRL numbers",Captures process CO2 only (fuel CO2 needs separate measure or electric/H2 heating); calciner replacement; CO2 T&S dependence; scale-up via LEILAC-2 class demos,None in UK; pilot (Belgium) and demonstration (Germany) under LEILAC projects,cross_cutting,[IEA_CCUS2020] TRL 6 quote; LEILAC2021 for project status,medium
distillery_coproduct_ad,"Anaerobic digestion of pot ale, draff and spent wash for biogas",bioenergy,gas,On/near-site biogas from distillery co-products to fuel boilers or upgrade to biomethane,,SWA/Ricardo net-zero pathway describes AD as 'relatively mature technology which is already in use in the whisky sector'; no numeric TRL published,Competes with animal-feed value of draff/pot ale syrup; seasonal/variable feedstock; digestate management; copper in pot ale,"Operational at multiple Scottish sites (e.g. Glenfiddich, Dufftown cluster); assessed for nine operational distilleries in peer-reviewed study",sector_specific,[AD_NINE_DIST] Peer-reviewed assessment of AD potential at nine operational distilleries; SWA pathway rates AD mature and deployed,high
dry_body_preparation_ceramics,Dry-route body preparation (dry milling/granulation replacing wet slip and spray drying),process_change,gas,Eliminate spray-dryer thermal demand in ceramic body preparation,,No TRL located; peer-reviewed comparison of dry vs wet route shows large energy/water savings; industrially used in some overseas tile production,"Product quality (pressing behaviour, surface finish); mainly applicable where spray drying/wet routes used (tiles, some tableware); reformulation required",Not identified in UK production,sector_specific,[R_DRYROUTE] Journal of Cleaner Production 2017 dry vs wet route study for ceramic tile body preparation,low
eaf_scrap_preheating,EAF scrap preheating (Consteel/shaft/tunnel systems),efficiency_heat_recovery,grid electricity; natural gas (burners),"Continuous or shaft preheating of scrap using EAF off-gas heat, cutting EAF electricity use ~50-100 kWh/t",9,Consteel and shaft-furnace preheating commercially installed at dozens of EAF plants worldwide (IspatGuru technical review),Retrofit space and layout; dioxin/VOC control in preheater off-gas; scrap quality effects,"Applicable to new UK EAFs (Port Talbot, Scunthorpe) and existing UK EAF plants",sector_specific,[REF_CONSTEEL] IspatGuru technical article on the Consteel EAF process and its energy savings,high
eb_cure_coatings,Electron-beam cured coatings,process_change,gas,"Low-energy electron-beam curing of coatings (demonstrated for automotive interior plastic parts), eliminating thermal cure ovens",,UV+EB Technology (2016) documents development of low-energy EB for automotive interior plastic coatings; no formal TRL published,Shielding and capital cost; line-speed/geometry limits; chemistry requalification; supplier ecosystem immature for automotive,Not deployed in UK automotive plants; EB curing commercial only in printing/converting niches,sector_specific,[REF_UVEB_EB] Trade-journal account of low-energy EB curing development for automotive interior plastics,medium
electric_infrared_drying,Electric infrared heating/drying,electrification,gas; electricity,"Surface heating, drying and curing of coatings, paper, textiles, food; typically <500C surface duties",,"No published numeric TRL located. Hasanbeigi et al. (2021, Electrifying U.S. Industry) list infrared among commercially available electrotechnologies ('high overall efficiency, faster response time than gas convection systems')","Suits surface/thin-web duties, not bulk heating; product-specific validation; grid capacity minor (modular units)",Deployed commercially in coating/curing lines,cross_cutting,"[HASANBEIGI2021] Electrotechnology descriptions; commercial-availability statement only, no TRL number - flagged in challenges",medium
electric_kiln_calcination,Electric calcination / electric kilns (incl. rotodynamic heaters),electrification,gas; coal; oil,"High-temperature kiln/calciner duties ~900-1450C (lime, cement precalcination, minerals), yielding concentrated process CO2 for capture",6,"Agora Industry/Fraunhofer ISI (2024): shock-wave (rotodynamic) heating 'Technology readiness level 6', pilot phase complete, commercial launch targeted before 2030. Integrated all-electric cement/lime kilns have no published TRL; VTT ran a pilot electric rotary kiln at ~1000C (2021-22) without stating a TRL",Very large grid connection; kiln replacement/rebuild; heat-transfer and clinker chemistry validation; electricity cost at high load factor,None; international pilots (VTT Finland; Coolbrook demonstrations),cross_cutting,[AGORA2024] Shock-wave heating entry used as the rated route to electric kiln temperatures; VTT2022 documents the pilot - see challenges on scope,medium
electric_powder_coating_oven,Electric powder-coating cure ovens,electrification,gas,"Electric convection (or IR-assisted) cure ovens for powder coating lines (~160-200C), replacing gas-fired cure ovens",9,DESNZ/ERM rates industrial resistance heating TRL 9; electric powder-cure ovens are standard catalogue products,Higher running cost at current UK spark spread; supply capacity for larger batch/conveyor ovens; slower heat-up than direct gas in some designs,"Commercial; common at small/medium size, gas still dominant for large conveyorised ovens",sector_specific,[REF_RELIANT_OVENS] Equipment supplier comparison of gas vs electric powder cure ovens,high
electric_radiant_space_heating,Electric radiant/infrared space heating for high-bay workshops,electrification,gas,"Electric infrared emitters providing spot/zone heating of occupied positions in high-bay, intermittently occupied or well-ventilated workshops",,No published TRL located; catalogue commercial products,High electricity unit cost vs gas makes whole-building use expensive; best for spot/zone heating with low occupancy density; glare and mounting height limits,Commercial; widely available; radiant heating equipment historically supported under the UK Energy Technology List,sector_specific,[REF_ECA_RADIANT] UK ETL datasheet ECA766 documents radiant heating suitability for high-bay industrial buildings (gas-fired focus); electric IR is the like-for-like electric variant,medium
electric_resistance_oven_furnace,Electric resistance ovens and furnaces (incl. electric boosting),electrification,gas; oil,"Ovens, dryers and furnaces from ~100C to >1000C; electric boosting of gas-fired glass furnaces",8-9,Agora Industry/Fraunhofer ISI (2024): resistance heating 'Technology readiness level 9 - established in specific applications'; Glass Futures for BEIS (2019): additional electric boosting 'is TRL8 at the moment'; large all-electric melting of big furnaces judged not yet feasible,Grid capacity; full furnace replacement (not burner retrofit) for direct-fired processes; scale limits for all-electric melting (>600 t/d glass); heat-transfer characteristics differ from flames,"Deployed for boosting and small furnaces/ovens; all-electric melting at container-glass scale under investigation (Glass Futures, IFS Phase 3)",cross_cutting,[AGORA2024] TRL table for resistance heating; GLASSFUTURES2019 for the TRL8 boosting rating and scale caveat,high
electric_steam_cracker,Electrically heated steam cracker furnace,electrification,gas,Electric heating of olefin cracker furnaces in place of gas firing,7,6 MW large-scale demonstration furnaces operating at BASF Ludwigshafen since April 2024 (system demonstration in operational environment per EU TRL definitions),Very large firm low-carbon power demand; furnace replacement; olefin crackers only; full-scale commercial designs not yet offered,No UK demonstration; relevant to remaining UK cracker capacity,sector_specific,[ecracker_2024] BASF/SABIC/Linde start-up press release,medium
electric_tissue_drying_hood,Electric drying hood / fully electric tissue machine,electrification,gas,Replace gas-fired yankee hoods and steam heating with electric hood and electric steam/heat pump on tissue machines,8-9,"World-first fully electric tissue machine (Toscotec/Fortissue) reported operating at full speed, April 2025",Tissue machines only; large grid connection; electricity vs gas price; new-build or major rebuild,No known UK installation; directly applicable to UK tissue mills,sector_specific,[toscotec_electric_2025] Trade press report of first fully electric tissue machine in operation,medium
electric_tunnel_kiln_firing,Fully electric tunnel kiln for clay tile/brick firing,electrification,gas,Continuous electric tunnel kiln firing clay roof tiles/bricks (~1000-1100C),,"No numeric TRL located; described as world-first fully electric roof tile tunnel kiln, construction started at Wienerberger Broomfleet (UK) in 2026; precedent GreenBricks electric kiln in Austria",First-of-a-kind capex; grid connection and electricity price vs gas; firing-curve and atmosphere control for product colour; new-build rather than retrofit,"UK world-first under construction (Broomfleet, East Yorkshire)",sector_specific,[R_WIENERBERGER] Wienerberger UK announcement of world's first fully electric roof tile kiln,medium
electrified_reforming_esmr,Electrified steam methane reforming (eSMR/eREACT),electrification,gas,"Resistance-heated catalytic steam reforming for syngas, hydrogen and methanol duties",6,"Topsoe eSMR demonstration plant operating at Foulum, Denmark since 2021 (biogas-to-methanol); peer-reviewed pilot-plant study published",Needs firm low-carbon power; reformer replacement; early commercial offerings only,No UK installation identified,sector_specific,[topsoe_esmr_2021] Topsoe press release on eSMR demonstration plant operation,medium
electrified_static_processing_plant,Grid-connected static electric crushing/screening/washing plant (replacing diesel mobile plant),electrification,diesel,"Fixed primary/secondary crushing, screening, washing at long-life consented sites",9,"Standard commercial practice; OEMs market full electric static/'electric train' plant ranges (Hub-4, 2026)",Grid connection capacity and cost at rural sites; capital cost; less flexible than mobile plant as extraction faces move,Widely deployed at UK quarries; grid capacity is the main barrier to further rollout,sector_specific,"[REF_HUB4_2026] UK trade press on electric crushing/screening plant, sold from Sandvik Burton-on-Trent",high
electrochemical_synthesis_routes,Electrochemical synthesis routes,electrification,gas; fossil_feedstock,Electrochemical/electrolytic synthesis replacing thermochemical process steps in chemicals manufacture,,"Mostly lab/bench scale per JACS Au review (2022); established exceptions (chlor-alkali, adiponitrile) already commercial","Electrode/membrane durability, selectivity, scale-up; product-specific; needs cheap low-carbon power",Research and start-up activity; no bulk-scale UK deployment,sector_specific,[jacsau_echem_2022] Review of emerging electrochemical processes to decarbonise the chemical industry,low
electrode_boiler,Electric / electrode boilers (steam and hot water),electrification,gas; oil; coal,Hot water and steam up to ~350C / >70 bar; unit sizes from <1 MW (resistance) to tens of MW (electrode),9,"TNO/energy.nl technology factsheet (Marsidi 2018): 'Current TRL level is 9, established technology'; Agora Industry/Fraunhofer ISI (2024): electric boilers 'Technology readiness level 9'; CCC/Element Energy assumptions log shows TRL9 achieved 2018 (small electric steam boiler), 2018-2030 (large electrode)",Grid connection capacity and cost of reinforcement; electricity-to-gas price ratio ('spark gap') dominates economics; minimal space/retrofit burden as steam interface unchanged,"Commercially available; limited UK deployment to date, mostly as hybrid/flex units; supported under IETF",cross_cutting,[TNO_EBOILER2018] Factsheet header TRL field; corroborated by AGORA2024 technology table and CCC_LOG2019 rollout table p11,high
