carb3_activity,process_set_id,process_id,option_id,trl,applicability,notes,provenance,confidence
Aircraft works,default,steam_hot_water,htp_heat_pump_100_150,8-9,demonstration,LP steam/hot water under ~150C,[REF_DESNZ_ELEC] HTHP TRL 7-9,medium
Aircraft works,default,steam_hot_water,thermal_storage_power_to_heat,7-9,demonstration,Off-peak power-to-heat with storage,engineering judgement,low
Aircraft works,default,surface_treatment,electric_infrared_drying,,commercial,IR drying/curing of primers and coatings,engineering judgement,low
Aircraft works,default,surface_treatment,heat_pump_below_100,9,commercial,Anodising/pre-treatment baths under 100C,[REF_DESNZ_ELEC] Low-temp heat pump duties per DESNZ/ERM,medium
Aircraft works,default,surface_treatment,uv_cure_coatings,,demonstration,Aerospace coating qualification is a major barrier,[REF_RADTECH] RadTech UV/EB curing overview,low
Aircraft works,default,surface_treatment,waste_heat_recovery_process,,commercial,Booth/oven exhaust heat recovery,engineering judgement,low
Aluminium Smelting Works,default,alumina_materials_handling,battery_electric_nrmm,,commercial,Electric loaders/forklifts,engineering judgement,low
Aluminium Smelting Works,default,alumina_materials_handling,controls_vsds,,commercial,Conveying/air-slide blowers,engineering judgement,low
Aluminium Smelting Works,default,alumina_materials_handling,hvo_bio_oils_dropin,9,commercial,Drop-in for diesel plant,engineering judgement,low
Aluminium Smelting Works,default,anode_production_baking,biomethane_fuel,8-9,commercial,Drop-in for gas-fired baking furnaces,engineering judgement,low
Aluminium Smelting Works,default,anode_production_baking,h2_kiln_furnace_burner,5-8,prospective,H2 firing of anode baking furnaces; no demos identified,engineering judgement,low
Aluminium Smelting Works,default,anode_production_baking,inert_anode_smelting,7,prospective,Inert anode adoption eliminates carbon anode production and baking entirely,[REF_ELYSIS] ELYSIS removes consumable carbon anodes,medium
Aluminium Smelting Works,default,anode_production_baking,waste_heat_recovery_process,,commercial,Baking furnace flue heat recovery,engineering judgement,low
Aluminium Smelting Works,default,cast_house,biomethane_fuel,8-9,commercial,Drop-in for gas furnaces,engineering judgement,low
Aluminium Smelting Works,default,cast_house,electric_resistance_oven_furnace,8-9,commercial,Electric holding furnaces and launder heating,engineering judgement,low
Aluminium Smelting Works,default,cast_house,h2_kiln_furnace_burner,5-8,prospective,H2 firing of gas casting/holding furnaces,engineering judgement,low
Aluminium Smelting Works,default,cast_house,induction_heating,9,commercial,Induction melting/holding for remelt and alloying,engineering judgement,low
Aluminium Smelting Works,default,electrolysis_potlines,carbothermic_aluminium,3,speculative,Abandoned Alcoa-Elkem route; would replace electrolysis entirely,[REF_CARBOTHERMIC] Review of alternative Al production methods,medium
Aluminium Smelting Works,default,electrolysis_potlines,controls_vsds,,commercial,Advanced cell control cuts specific energy; potline already electric,engineering judgement,low
Aluminium Smelting Works,default,electrolysis_potlines,inert_anode_smelting,7,demonstration,Eliminates anode CO2 and PFCs; commercial-size cell demonstrated 2025; retrofit path unproven,[REF_ELYSIS] Rio Tinto ELYSIS 450 kA cell start-up,high
Aluminium Smelting Works,default,electrolysis_potlines,waste_heat_recovery_process,,prospective,Pot exhaust gas and shell heat recovery to site heat,engineering judgement,low
Aluminium Smelting Works,default,electrolysis_potlines,wetted_drained_cathode,4-5,speculative,10-20% cell energy saving potential; pilot stage only,[REF_TIB2] TiB2 wettable cathode review,medium
Aluminium Smelting Works,default,site_services,compressed_air_optimisation,,commercial,Site air systems,engineering judgement,low
Aluminium Smelting Works,default,site_services,controls_vsds,,commercial,Site motor systems,engineering judgement,low
Aluminium Smelting Works,default,site_services,heat_pump_below_100,9,commercial,Space heating/DHW,engineering judgement,low
Aluminium Smelting Works,default,site_services,onsite_solar_pv,,commercial,Marginal vs potline demand; UK smelter already hydro-supplied,[REF_ALVANCE] Lochaber smelter powered by dedicated hydro,medium
Artificial Fibre Works,default,chip_drying,electric_resistance_oven_furnace,8-9,commercial,Electric hot-air chip dryers/crystallisers replace gas or steam heated units,engineering judgement,medium
Artificial Fibre Works,default,chip_drying,htp_heat_pump_150_200,6-7,prospective,PET drying air 160-180C at upper limit of HTHP range,[annex58_t1_2023] HTHP temperature capability,low
Artificial Fibre Works,default,chip_drying,microwave_rf_drying,7-9,prospective,Dielectric drying of polymer chip unproven at production scale,engineering judgement,low
Artificial Fibre Works,default,chip_drying,waste_heat_recovery_process,,commercial,Dryer exhaust and dehumidifier regeneration heat recovery,engineering judgement,medium
Artificial Fibre Works,default,compressed_air,compressed_air_optimisation,,commercial,Air jets/interlacing are large users; leaks and pressure optimisation,engineering judgement,high
Artificial Fibre Works,default,compressed_air,waste_heat_recovery_process,,commercial,Compressor heat recovery to hot water/space heat,engineering judgement,high
Artificial Fibre Works,default,drawing_texturing,controls_vsds,,commercial,Drive and heater zone control,engineering judgement,medium
Artificial Fibre Works,default,drawing_texturing,induction_heating,9,commercial,Induction-heated godet rolls are industry standard; replaces any residual contact steam/hot-oil heating,engineering judgement,medium
Artificial Fibre Works,default,polymer_melt_extrusion,controls_vsds,,commercial,Extruder barrels/drives already electric; drive and zone-control optimisation,engineering judgement,medium
Artificial Fibre Works,default,polymer_melt_extrusion,insulation_upgrade,,commercial,Barrel insulation jackets cut heater losses,engineering judgement,medium
Artificial Fibre Works,default,site_services,biomethane_fuel,8-9,commercial,Drop-in for residual gas use,engineering judgement,medium
Artificial Fibre Works,default,site_services,heat_pump_below_100,9,commercial,Space heating and hot water,engineering judgement,high
Artificial Fibre Works,default,site_services,insulation_upgrade,,commercial,Heat distribution insulation,engineering judgement,medium
Artificial Fibre Works,default,site_services,onsite_solar_pv,,commercial,Roof-mounted PV,engineering judgement,high
Artificial Fibre Works,default,spinning_hvac,controls_vsds,,commercial,Fan VSDs and humidity setpoint optimisation,engineering judgement,medium
Artificial Fibre Works,default,spinning_hvac,heat_pump_below_100,9,commercial,AHU heating coils from ASHP instead of gas/steam,engineering judgement,medium
Artificial Fibre Works,default,spinning_hvac,heat_recovery_heat_pump,8-9,commercial,Recover hall exhaust heat to conditioned makeup air,engineering judgement,medium
Artificial Fibre Works,default,spinning_quench_winding,controls_vsds,,commercial,Quench air fans and winder drives; electricity-only,engineering judgement,medium
Artificial Fibre Works,default,spinning_quench_winding,waste_heat_recovery_process,,commercial,Quench exhaust heat to HVAC preheat,engineering judgement,low
Asphalt Plant,default,aggregate_drying_heating,biomethane_fuel,8-9,commercial,Drop-in for gas-fired dryers,engineering judgement,medium
Asphalt Plant,default,aggregate_drying_heating,electric_resistance_oven_furnace,8-9,prospective,Electric drum drying not demonstrated at asphalt-plant scale; no published project found,engineering judgement,low
Asphalt Plant,default,aggregate_drying_heating,h2_kiln_furnace_burner,5-8,demonstration,"UK-first hydrogen-fuelled asphalt production trial (Heidelberg Materials, mid-Wales, 2026) on dryer burner",[R_H2ASPHALT] Heidelberg Materials UK announcement,high
Asphalt Plant,default,aggregate_drying_heating,hvo_bio_oils_dropin,9,commercial,Substitute gas oil in oil-fired dryer burners,engineering judgement,medium
Asphalt Plant,default,aggregate_drying_heating,increased_rap_content,9,commercial,"High RAP cuts embodied binder/aggregate carbon; virgin aggregate may need superheating, so plant fuel saving per tonne is limited",[R_RAP] UK producer RAP practice,high
Asphalt Plant,default,aggregate_drying_heating,warm_mix_asphalt,9,commercial,Lower production temperature cuts dryer burner fuel; National Highways default,[R_WMA] Highways England WMA directive,high
Asphalt Plant,default,bitumen_storage_heating,electric_resistance_oven_furnace,8-9,commercial,Electric immersion/hot-oil bitumen tank heating (150-190C) is standard equipment; displaces gas/oil heaters,engineering judgement,medium
Asphalt Plant,default,bitumen_storage_heating,htp_heat_pump_150_200,6-7,prospective,150-200C heat pump could hold tank temperature; not demonstrated for this duty,engineering judgement,low
Asphalt Plant,default,bitumen_storage_heating,insulation_upgrade,,commercial,Tank/pipework insulation reduces standing losses,engineering judgement,high
Asphalt Plant,default,cold_feed_conveying,controls_vsds,,commercial,Conveyor/feeder VSDs; electricity-only,engineering judgement,medium
Asphalt Plant,default,exhaust_baghouse,controls_vsds,,commercial,Exhaust fan VSD; electricity-only,engineering judgement,medium
Asphalt Plant,default,loadout_storage,insulation_upgrade,,commercial,Insulated heated storage silos reduce reheat/holding energy,engineering judgement,medium
Asphalt Plant,default,mobile_plant,battery_electric_nrmm,,demonstration,Electric loading shovels emerging,engineering judgement,medium
Asphalt Plant,default,mobile_plant,hvo_bio_oils_dropin,9,commercial,Loading shovels drop-in fuel,engineering judgement,high
Asphalt Plant,default,screening_mixing,controls_vsds,,commercial,Screen/mixer drive optimisation; electricity-only,engineering judgement,medium
Asphalt Plant,default,screening_mixing,warm_mix_asphalt,9,commercial,Lower mixing temperature; additive/foaming systems at mixer,[R_WMA] Highways England WMA directive,high
Asphalt Plant,default,site_services,heat_pump_below_100,9,commercial,Cabins/offices heating,engineering judgement,medium
Asphalt Plant,default,site_services,onsite_solar_pv,,commercial,Site PV,engineering judgement,medium
Beet Sugar Factory,default,beet_reception_preparation,battery_electric_nrmm,,commercial,Beet-yard loading shovels; campaign-intensive mobile plant,engineering judgement,medium
Beet Sugar Factory,default,beet_reception_preparation,controls_vsds,,commercial,Beet washing/pump drives,engineering judgement,medium
Beet Sugar Factory,default,beet_reception_preparation,hvo_bio_oils_dropin,9,commercial,Drop-in for existing diesel yard fleet,engineering judgement,medium
Beet Sugar Factory,default,crystallisation_sugar_house,controls_vsds,,commercial,Centrifugal/pump drives,engineering judgement,medium
Beet Sugar Factory,default,crystallisation_sugar_house,mvr,9,demonstration,Vapour recompression on vacuum pans; limited precedent,engineering judgement,low
Beet Sugar Factory,default,crystallisation_sugar_house,waste_heat_recovery_process,,commercial,Pan vapour heat recovery to juice heating,engineering judgement,medium
Beet Sugar Factory,default,evaporation,electrode_boiler,9,prospective,Electric steam displacing gas CHP; economics tied to campaign load and grid capacity,engineering judgement,low
Beet Sugar Factory,default,evaporation,htp_heat_pump_100_150,8-9,prospective,HTHP recompression of low-grade vapours to first-effect steam,engineering judgement,low
Beet Sugar Factory,default,evaporation,mvr,9,commercial,MVR/TVR on evaporator effects; interacts with site CHP steam balance,engineering judgement (MVR generic evidence),medium
Beet Sugar Factory,default,evaporation,waste_heat_recovery_process,,commercial,Multi-effect optimisation and additional effects; British Sugar £16.5m evaporator investment,[BSUGAR_EVAP] British Sugar evaporation plant upgrade,high
Beet Sugar Factory,default,extraction_diffusion,controls_vsds,,commercial,Diffuser and pump drives,engineering judgement,medium
Beet Sugar Factory,default,extraction_diffusion,waste_heat_recovery_process,,commercial,Diffusion heated by vapour bleeds/condensates; heat integration upgrades,[BSUGAR_EVAP] British Sugar evaporation/heat integration investment,medium
Beet Sugar Factory,default,lime_kiln,direct_separation_leilac,6,prospective,LEILAC-type calcination capture developed for lime/cement; not yet applied to sugar lime kilns,engineering judgement (cross-sector read-across),low
Beet Sugar Factory,default,lime_kiln,electric_kiln_calcination,6,prospective,Electric calcination would still release process CO2 (needed for carbonatation); niche fit,engineering judgement,low
Beet Sugar Factory,default,lime_kiln,post_combustion_amine_ccs,9-11,prospective,Capture on kiln gas surplus to carbonatation needs; biogenic-rich stream,engineering judgement,low
Beet Sugar Factory,default,lime_kiln,waste_derived_fuels,,prospective,Biocoke/biochar substitution for kiln coke,engineering judgement,low
Beet Sugar Factory,default,pulp_pressing_drying,biomethane_fuel,8-9,commercial,Drop-in for gas-fired pulp dryers; AD of pressed pulp is an alternative pulp use,engineering judgement,medium
Beet Sugar Factory,default,pulp_pressing_drying,controls_vsds,,commercial,Pulp press drives; deeper pressing reduces thermal drying demand,engineering judgement,medium
Beet Sugar Factory,default,pulp_pressing_drying,h2_kiln_furnace_burner,5-8,prospective,H2 firing of HT dryers; supply-dependent,engineering judgement,low
Beet Sugar Factory,default,pulp_pressing_drying,superheated_steam_drying,,demonstration,UK-first £50m steam dryer under construction at Wissington; commercial internationally,[BSUGAR_WISSINGTON] British Sugar Wissington steam dryer project 2025,high
Beet Sugar Factory,default,pulp_pressing_drying,waste_heat_recovery_process,,commercial,Low-temperature pulp drying using factory waste heat; enhanced pressing cuts drying load,[ENERDRY_SSD] Beet pulp drying energy-reduction literature,medium
Beet Sugar Factory,default,site_services,controls_vsds,,commercial,Sitewide motors/utilities,engineering judgement,medium
Beet Sugar Factory,default,site_services,heat_pump_below_100,9,commercial,Buildings/off-campaign heat,engineering judgement,medium
Beet Sugar Factory,default,site_services,onsite_solar_pv,,commercial,Large land holdings,engineering judgement,medium
Beet Sugar Factory,default,site_services,post_combustion_amine_ccs,9-11,prospective,Capture on site CHP/boiler flue; large seasonal biogenic CO2 stream,engineering judgement,low
Brewery,default,brewhouse,biomethane_fuel,8-9,commercial,Incl. onsite AD of spent grain and brewery effluent,engineering judgement,medium
Brewery,default,brewhouse,electrode_boiler,9,commercial,Electric steam raising for mash/kettle duties,engineering judgement,medium
Brewery,default,brewhouse,h2_boiler,7-9,prospective,Awaits H2 supply; no UK brewery demos yet,engineering judgement,low
Brewery,default,brewhouse,htp_heat_pump_100_150,8-9,demonstration,Wort boiling ~100-104C well matched to HTHP; UK brewery feasibility work under way,[SIETF_2022] Tennent's Caledonian SIETF award incl. heat pump feasibility,medium
Brewery,default,brewhouse,mvr,9,commercial,MVR on wort kettle vapour; needs electrical capacity,[STEINECKER_ER] Supplier energy-recovery systems for wort boiling,high
Brewery,default,brewhouse,wort_vapour_energy_recovery,,commercial,Vapour condenser + energy store standard on modern brewhouses; large steam saving,[CAMPDEN_WORT] Campden BRI brewing energy recovery guidance,high
Brewery,default,cip_utilities,electrode_boiler,9,commercial,Electric hot water/steam for CIP where heat pump unsuitable,engineering judgement,medium
Brewery,default,cip_utilities,heat_pump_below_100,9,commercial,"CIP sets typically 60-85C, ideal heat pump duty",[STAR_HP] Sub-100C heat pump applications,high
Brewery,default,cip_utilities,heat_recovery_heat_pump,8-9,commercial,Upgrade wort cooling/refrigeration reject heat to CIP,engineering judgement,medium
Brewery,default,cip_utilities,solar_thermal_process_heat,,commercial,Pre-heat CIP/liquor water <90C,engineering judgement,low
Brewery,default,compressed_air,compressed_air_optimisation,,commercial,"Leaks, pressure, heat recovery; SIETF-funded VSD compressors at Tennent's",[SIETF_2022] Tennent's VSD air compressors and smart air injection,high
Brewery,default,packaging,controls_vsds,,commercial,"Line drives, conveyors",engineering judgement,medium
Brewery,default,packaging,fermentation_co2_recovery,,commercial,Recovered fermentation CO2 replaces bought-in CO2 for carbonation/packaging; scale-sensitive economics,[ATLASCOPCO_CO2] Commercial brewery CO2 recovery packages; HW craft-brewing valorisation study,high
Brewery,default,packaging,heat_pump_below_100,9,commercial,Tunnel/flash pasteuriser hot water <85C,[STAR_HP] Industrial heat pumps for sub-100C food duties,medium
Brewery,default,packaging,waste_heat_recovery_process,,commercial,"Pasteuriser regeneration, washer heat recovery",engineering judgement,medium
Brewery,default,refrigeration,controls_vsds,,commercial,"VSDs, floating head pressure",engineering judgement,medium
Brewery,default,refrigeration,heat_recovery_heat_pump,8-9,commercial,Reject heat to CIP/packaging hot water,[STAR_HP] Refrigeration heat recovery in food/drink,high
Brewery,default,refrigeration,natural_refrigerant_refrigeration,,commercial,Ammonia standard in large breweries; efficiency upgrade on replacement,[STAR_NATREF] Natural refrigerant plant in UK beverage/cold chain,high
Brewery,default,site_services,battery_electric_nrmm,,commercial,"Forklifts, keg yard plant",engineering judgement,medium
Brewery,default,site_services,heat_pump_below_100,9,commercial,Space heating/DHW,engineering judgement,medium
Brewery,default,site_services,insulation_upgrade,,commercial,Steam/hot water distribution,engineering judgement,medium
Brewery,default,site_services,onsite_solar_pv,,commercial,Roof PV,engineering judgement,medium
Brickworks / clay tile/pipe works,default,clay_extraction_mobile_plant,battery_electric_nrmm,,demonstration,Smaller loaders/excavators available; duty-cycle and charging limits,engineering judgement,medium
Brickworks / clay tile/pipe works,default,clay_extraction_mobile_plant,hvo_bio_oils_dropin,9,commercial,Drop-in for diesel plant,engineering judgement,high
Brickworks / clay tile/pipe works,default,clay_preparation,controls_vsds,,commercial,Electric crushers/mills/mixers; drives optimisation only,engineering judgement,medium
Brickworks / clay tile/pipe works,default,drying,electric_resistance_oven_furnace,8-9,prospective,"Electric dryer heating straightforward technically; loses free kiln waste heat, high opex",engineering judgement,medium
Brickworks / clay tile/pipe works,default,drying,heat_pump_below_100,9,prospective,Brick dryers ~40-120C partially suited to heat pumps with humidity control; not demonstrated at scale UK,engineering judgement,medium
Brickworks / clay tile/pipe works,default,drying,kiln_dryer_cascade_heat_recovery,9,commercial,Kiln cooling-zone air to dryers; standard but optimisable; conflicts with kiln electrification,[R_BEIS_CER2015] roadmap covers kiln-dryer heat recovery,high
Brickworks / clay tile/pipe works,default,drying,microwave_rf_drying,7-9,prospective,Dielectric drying of clay ware; cracking risk management; kW-scale trials only,engineering judgement,low
Brickworks / clay tile/pipe works,default,kiln_firing,biomethane_fuel,8-9,commercial,Drop-in for gas-fired tunnel kilns; supply/cost and certification constraints,[R_CUK_ROADMAP] Ceramics UK roadmap identifies bio-energy among breakthrough/fuel options,medium
Brickworks / clay tile/pipe works,default,kiln_firing,electric_tunnel_kiln_firing,,demonstration,"World-first fully electric roof tile tunnel kiln under construction at Broomfleet UK; new-build, not retrofit",[R_WIENERBERGER] Wienerberger Broomfleet announcement,high
Brickworks / clay tile/pipe works,default,kiln_firing,h2_kiln_furnace_burner,5-8,demonstration,Michelmersh HyBrick fired bricks with 100% H2; BCC trials confirm quality broadly comparable; H2 supply and NOx/moisture constraints,[R_HYBRICK] HyBrick project; BCC IFS feasibility report (R_BCC_H2),high
Brickworks / clay tile/pipe works,default,kiln_firing,insulation_upgrade,,commercial,Kiln refractory/low-mass kiln cars reduce firing energy,[R_BEIS_CER2015] roadmap efficiency options,medium
Brickworks / clay tile/pipe works,default,kiln_firing,microwave_assisted_ceramic_firing,,speculative,Hybrid MW-assist could cut firing energy; no industrial demo for heavy clay,[R_MW_IET] long-standing R&D only,low
Brickworks / clay tile/pipe works,default,shaping_extrusion,controls_vsds,,commercial,Extruder/vacuum pump VSDs; electricity-only,engineering judgement,medium
Brickworks / clay tile/pipe works,default,site_services,compressed_air_optimisation,,commercial,Compressed air for handling/setting machines,engineering judgement,low
Brickworks / clay tile/pipe works,default,site_services,heat_pump_below_100,9,commercial,Space heating/hot water,engineering judgement,medium
Brickworks / clay tile/pipe works,default,site_services,onsite_solar_pv,,commercial,Roof/land PV,engineering judgement,medium
Cement Tile Works,default,batching_mixing,alkali_activated_binder,,prospective,Not demonstrated for pressed tiles; mix redesign needed,engineering judgement,low
Cement Tile Works,default,batching_mixing,calcined_clay_lc3,,prospective,Subject to UK supply and colour acceptance,[R_LC3_REV] LC3 review,low
Cement Tile Works,default,batching_mixing,clinker_substitution_scm,9,commercial,SCM substitution in tile mixes; colour/early strength constraints,[R_MPA_ROADMAP] roadmap low-carbon concrete lever,medium
Cement Tile Works,default,coating_finishing,electric_infrared_drying,,commercial,IR drying/curing of tile coatings is established electrotechnology,engineering judgement,medium
Cement Tile Works,default,curing_chambers,carbonation_curing_precast,,prospective,Unreinforced tiles plausible CO2-curing candidates; not demonstrated for this product,engineering judgement,low
Cement Tile Works,default,curing_chambers,electrode_boiler,9,commercial,Electric hot water/steam for chamber heating,engineering judgement,medium
Cement Tile Works,default,curing_chambers,heat_pump_below_100,9,commercial,Curing chambers ~30-60C ideal heat-pump duty,engineering judgement,high
Cement Tile Works,default,curing_chambers,solar_thermal_process_heat,,prospective,Low-temp heat contribution,engineering judgement,low
Cement Tile Works,default,extrusion_pressing,controls_vsds,,commercial,Press/extruder drives; electricity-only,engineering judgement,low
Cement Tile Works,default,mobile_plant,battery_electric_nrmm,,demonstration,"Electric forklifts commercial, loaders emerging",engineering judgement,medium
Cement Tile Works,default,mobile_plant,hvo_bio_oils_dropin,9,commercial,Forklifts/loaders,engineering judgement,high
