carb3_activity,process_set_id,process_id,vector,energy_share,share_low,share_high,evidence_tier,provenance,confidence
Aircraft works,default,site_services,gas,0.08,,,published_sec,[MECS2022_T52] NAICS 3364 other facility support ~1 + other nonprocess ~1 = ~2/28.,medium
Aircraft works,default,space_heating,gas,0.33,,,published_sec,[MECS2022_T52] NAICS 3364 facility HVAC gas ~9/28.,medium
Aircraft works,default,steam_hot_water,gas,0.33,,,published_sec,[MECS2022_T52] NAICS 3364 indirect boiler (~4) + CHP (~5) = ~9/28.,medium
Aluminium Smelting Works,default,anode_production_baking,electricity,0.02,,,engineering,[LBNL_AL2016] Electrical fraction of ~1.6 GJ/t anode production (Section 2.2.3); mostly fuel-fired baking.,medium
Aluminium Smelting Works,default,cast_house,electricity,0.03,,,engineering,[LBNL_AL2016] Cast house drives/fans portion of ~1 GJ/t casting energy (Section 2.2.4).,medium
Aluminium Smelting Works,default,electrolysis_potlines,electricity,0.9,0.85,0.95,engineering,"[LBNL_AL2016] Derived from published step intensities: electrolysis ~13,000 kWh/t vs casting ~278 kWh/t and anode ~444 kWh/t (Sections 2.2.3-2.2.4); LBNL Figure 2 shows electrolysis at 83% of total primary energy including mining.",medium
Aluminium Smelting Works,default,site_services,electricity,0.05,,,engineering,[IAI_SEI] Auxiliaries beyond the IAI smelting-AC boundary (casting and carbon plants excluded from that metric) plus general services; rated-equipment logic.,medium
Aluminium Smelting Works,default,anode_production_baking,gas,0.35,,,engineering,[LBNL_AL2016] Anode baking furnaces are fuel-fired; ~1.6 GJ/t anode at ~0.45 t anode per t Al gives a gas demand comparable to but below cast house.,medium
Aluminium Smelting Works,default,cast_house,gas,0.55,,,engineering,[LBNL_AL2016] Gas-fired holding/casting furnaces (~1 GJ/t) are the main site gas users where an anode plant is small or absent; electrolysis itself uses no gas.,medium
Aluminium Smelting Works,default,site_services,gas,0.1,,,engineering,Space heating of pot rooms is minimal (process heat rejection) but workshops/offices take a small share; engineering rationale.,medium
Artificial Fibre Works,default,compressed_air,electricity,0.05,,,engineering,Typical industrial compressed-air share; interlacing jets.,medium
Artificial Fibre Works,default,drawing_texturing,electricity,0.15,,,engineering,Draw/texturing machine drives and heaters where fitted; rated-equipment logic.,medium
Artificial Fibre Works,default,polymer_melt_extrusion,electricity,0.3,,,engineering,[POLBREF2007] Extruder drives and electrically heated barrels/spin beams are the largest rated process loads; BREF cited document level only.,medium
Artificial Fibre Works,default,site_services,electricity,0.1,,,engineering,"Lighting, offices, ancillaries; engineering residual.",medium
Artificial Fibre Works,default,spinning_hvac,electricity,0.2,,,engineering,Conditioned quench/hall air at high volumes; comparable to cleanroom-style HVAC loads in fibre halls (engineering).,medium
Artificial Fibre Works,default,spinning_quench_winding,electricity,0.2,,,engineering,"High-speed winders, godets and quench fans; rated-equipment logic.",medium
Artificial Fibre Works,default,chip_drying,gas,0.25,,,engineering,Steam/hot air for chip drying and heat setting; engineering allocation.,medium
Artificial Fibre Works,default,polymer_melt_extrusion,gas,0.45,,,engineering,Gas-fired heat-transfer-medium heaters serving spin beams/melt lines where not electric; engineering allocation.,medium
Artificial Fibre Works,default,site_services,gas,0.3,,,engineering,Space heating and hot water; engineering residual.,medium
Asphalt Plant,default,aggregate_drying_heating,electricity,0.2,,,engineering,[ES_ASPHALT_2023] Drum drive and burner blower motors; rated-equipment logic.,medium
Asphalt Plant,default,bitumen_storage_heating,electricity,0.05,,,engineering,"Binder pumps, hot-oil circulation pumps, tank agitators (some plants use electric tank heating - not assumed here); rated-equipment logic.",medium
Asphalt Plant,default,cold_feed_conveying,electricity,0.08,,,engineering,Feeder and conveyor motors; rated-equipment logic.,medium
Asphalt Plant,default,exhaust_baghouse,electricity,0.3,,,engineering,"[ES_ASPHALT_2023] Electricity is 4% of plant energy (3.32 kWh/ton, Section 1.2, p.8) but no published sub-split; the exhaust/baghouse fan is the largest motor at HMA plants. Rated-equipment logic.",medium
Asphalt Plant,default,loadout_storage,electricity,0.07,,,engineering,Silo drag conveyors and load-out; rated-equipment logic.,medium
Asphalt Plant,default,screening_mixing,electricity,0.15,,,engineering,"Hot elevator, screens and pugmill drives (batch plants); rated-equipment logic.",medium
Asphalt Plant,default,site_services,electricity,0.15,,,engineering,"Control cabin, compressed air, lighting; typical auxiliary allowance.",medium
Asphalt Plant,default,aggregate_drying_heating,gas,0.87,,,published_sec,"[ES_ASPHALT_2023] Figure 4, p.8: burner fuel 80% and hot oil heater 12% of total plant energy; renormalised over the two gas-fired heat uses (80/92) for the gas vector. US source.",medium
Asphalt Plant,default,bitumen_storage_heating,gas,0.13,,,published_sec,"[ES_ASPHALT_2023] Figure 4, p.8: hot oil heater 12% of total energy; renormalised (12/92) for the gas vector.",medium
Asphalt Plant,default,aggregate_drying_heating,oil,0.83,,,published_sec,"[ES_ASPHALT_2023] Figure 4, p.8 non-electric split (burner 80 / hot oil 12 / equipment 4, renormalised over 96) applied to an oil-fired plant; 'most dryer burners can burn liquid and gaseous fuels' (Section 4.1, p.25).",medium
Asphalt Plant,default,bitumen_storage_heating,oil,0.13,,,published_sec,"[ES_ASPHALT_2023] Figure 4, p.8: hot oil heater share renormalised over non-electric energy (12/96).",medium
Asphalt Plant,default,mobile_plant,oil,0.04,,,published_sec,"[ES_ASPHALT_2023] Figure 4, p.8: 'Equipment' 4% of total energy (diesel yard equipment), renormalised over non-electric energy.",medium
Beet Sugar Factory,default,lime_kiln,coal,1.0,,,published_sec,"[PBL_SUGAR] Lime kiln fired on cokes, 3.4 GJ/t lime (Table 8) — solid fuel at a beet factory is the lime kiln (historic UK boiler coal now converted to gas per British Sugar blog)",medium
Beet Sugar Factory,default,beet_reception_preparation,electricity,0.2,,,engineering,"Fluming/washing pumps and slicers are large motor loads; rated-equipment logic (total electricity 0.557 GJ/t sugar, PBL Table 2)",low
Beet Sugar Factory,default,crystallisation_sugar_house,electricity,0.25,,,engineering,Centrifugals and vacuum systems; rated-equipment logic,low
Beet Sugar Factory,default,extraction_diffusion,electricity,0.1,,,engineering,Diffuser drives and juice pumping; rated-equipment logic,low
Beet Sugar Factory,default,pulp_pressing_drying,electricity,0.25,,,engineering,Pulp presses and dryer fans; rated-equipment logic,low
Beet Sugar Factory,default,site_services,electricity,0.2,,,engineering,"Lighting, compressed air, water/effluent treatment",low
Beet Sugar Factory,default,crystallisation_sugar_house,gas,0.15,,,engineering,"[PBL_SUGAR] Vacuum pan steam within the 64% steam share; allocation by engineering rationale (heat-integrated plant, no published sub-split)",low
Beet Sugar Factory,default,evaporation,gas,0.34,,,engineering,[PBL_SUGAR] Steam demand 2.805 GJ/t sugar (Table 2) vs pulp-drying gas ≈1.8 GJ/t sugar (Table 3 × pulp yield) gives ~64:36 steam:drying; evaporation taken as the largest steam sink within the heat-integrated train,medium
Beet Sugar Factory,default,extraction_diffusion,gas,0.1,,,engineering,[PBL_SUGAR] Juice heating/diffusion steam within the steam share; engineering rationale,low
Beet Sugar Factory,default,pulp_pressing_drying,gas,0.36,0.3,0.42,engineering,[PBL_SUGAR] 6.10 GJ gas/t dry pulp (Table 3) × ~0.29 t dry pulp/t sugar ≈ 1.8 GJ/t sugar vs 3.1 GJ gas for steam; range reflects sites selling pressed pulp undried,medium
Beet Sugar Factory,default,site_services,gas,0.05,,,engineering,Space heating and miscellaneous hot water,low
Brewery,default,brewhouse,electricity,0.07,,,published_sec,[BA_ENERGY] p6 chart: brewhouse 7%,medium
Brewery,default,compressed_air,electricity,0.1,,,published_sec,[BA_ENERGY] p6 chart: compressed air 10%,medium
Brewery,default,packaging,electricity,0.25,,,published_sec,[BA_ENERGY] p6 chart: packaging 25% (US data),medium
Brewery,default,refrigeration,electricity,0.35,,,published_sec,"[BA_ENERGY] Chart 'Energy Consumption In Breweries (All Sizes)', p6: refrigeration 35%; independently matched by DECC2015FD (35% for breweries, Section 3.2.7 p35)",high
Brewery,default,site_services,electricity,0.23,,,published_sec,[BA_ENERGY] p6 chart: lighting 6% + boiler house 5% + other 12% merged,medium
Brewery,default,brewhouse,gas,0.45,,,published_sec,"[BA_ENERGY] p6 chart, natural gas end uses: brewhouse 45%",medium
Brewery,default,cip_utilities,gas,0.2,,,published_sec,[BA_ENERGY] p6 chart: utilities 20%,medium
Brewery,default,packaging,gas,0.25,,,published_sec,[BA_ENERGY] p6 chart: packaging (pasteurising/washing) 25%,medium
Brewery,default,site_services,gas,0.1,,,published_sec,[BA_ENERGY] p6 chart: space heating 10%,medium
Brickworks / clay tile/pipe works,default,clay_preparation,electricity,0.3,,,engineering,[DECC_CERAMIC_2015] No published electricity split found for brickworks; grinding/mixing drives are the largest motor group (particle size reduction named in Section 3.2.1). Rated-equipment logic.,medium
Brickworks / clay tile/pipe works,default,drying,electricity,0.2,,,engineering,[ZI_BRICK_EE_P1] Dryer circulation/recirculation fans run continuously and are a recognised major electrical load in heavy clay plants; rated-equipment logic.,medium
Brickworks / clay tile/pipe works,default,kiln_firing,electricity,0.15,,,engineering,"[ZI_BRICK_EE_P1] Kiln combustion-air, exhaust and cooling fans plus kiln car traction; rated-equipment logic.",medium
Brickworks / clay tile/pipe works,default,setting_handling,electricity,0.08,,,engineering,"Setting/dehacking robots and packaging lines; intermittent duty, modest share. Rated-equipment logic.",medium
Brickworks / clay tile/pipe works,default,shaping_extrusion,electricity,0.15,,,engineering,[DECC_CERAMIC_2015] Vacuum extruders are large continuous motor loads; rated-equipment logic.,medium
Brickworks / clay tile/pipe works,default,site_services,electricity,0.12,,,engineering,"Compressed air, lighting, offices; typical auxiliary allowance.",medium
Brickworks / clay tile/pipe works,default,drying,gas,0.27,0.17,0.37,engineering,"[DECC_CERAMIC_2015] Complement of the kiln share; dryer heat demand is large (Zi article Figure 3 notes dryer heat can even exceed kiln heat for high-moisture clay blocks) but at UK works is partly met by cascaded kiln waste heat, reducing metered dryer gas.",medium
Brickworks / clay tile/pipe works,default,kiln_firing,gas,0.7,0.6,0.8,engineering,"[DECC_CERAMIC_2015] Engineering split. DECC Figure 10 shows kiln firing dominating fuel use with the dryer a notable second; benchmark SEC ranges (IEE_EGYPT_CERAMICS Table 6, p.30: drying 0.25-0.75 GJ/t vs tunnel-kiln firing several GJ/t) support ~2-3x firing:drying. Range reflects plants where kiln waste heat displaces most dryer gas (share higher) vs stand-alone dryers (lower).",medium
Brickworks / clay tile/pipe works,default,site_services,gas,0.03,,,engineering,[DECC_CERAMIC_2015] Small allowance for space heating of workshops/offices; no published figure.,medium
Brickworks / clay tile/pipe works,default,clay_extraction_mobile_plant,oil,1.0,,,engineering,"Engineering: dryers and kilns fire on gas at UK works, so metered oil/gas-oil is attributed to pit mobile plant. A site with an oil-fired kiln needs premise_process_detail. Scoping decision 2026-08-24 (A. Canet): mobile plant and mobile machinery diesel are IN scope of premise_energy and must be captured in the profile.",medium
Cement Tile Works,default,batching_mixing,electricity,0.2,,,fallback,[LBNL_CONCRETE_2011] As sibling 'Concrete Block Works' mixing share.,low
Cement Tile Works,default,coating_finishing,electricity,0.1,,,fallback,"Coating line pumps and driers; no direct evidence, sized as a minor line load.",low
Cement Tile Works,default,curing_chambers,electricity,0.1,,,fallback,"Chamber fans, boiler auxiliaries and rack transfer; as sibling curing auxiliary share.",low
Cement Tile Works,default,depalletting_packaging,electricity,0.15,,,fallback,"Pallet circulation, depalletter and packaging lines; adapted from sibling handling/packaging shares.",low
Cement Tile Works,default,extrusion_pressing,electricity,0.3,,,fallback,[LBNL_CONCRETE_2011] Adapted from the 'Concrete Block Works' engineering split (block machine 0.35) with the extruder as dominant motor load.,low
Cement Tile Works,default,site_services,electricity,0.15,,,fallback,"Compressed air, lighting, offices; as sibling auxiliary allowance.",low
Cement Tile Works,default,curing_chambers,gas,0.85,,,fallback,"[LBNL_CONCRETE_2011] Borrowed from sibling activity 'Concrete Product Works' (precast): 85% of gas to curing boiler, 15% building heat (Table 5, p.12). No tile-specific breakdown located.",low
Cement Tile Works,default,site_services,gas,0.15,,,fallback,"[LBNL_CONCRETE_2011] Borrowed from 'Concrete Product Works' (building heat share, Table 5, p.12).",low
Cement Tile Works,default,mobile_plant,oil,1.0,,,fallback,"[LBNL_CONCRETE_2011] Borrowed from sibling activity 'Concrete Block Works': site diesel is forklift/loader fuel (Table 4, p.11).",low
Cement Works,default,kiln_pyroprocessing,biomass,1.0,,,published_sec,"[DECC_CEMENT_2015] Section 3.3.4/Figure 7: biomass-derived waste fuels (~18% of fuel input, 2012) are co-fired in the kiln system only.",high
Cement Works,default,kiln_pyroprocessing,coal,1.0,,,published_sec,"[ES_CEMENT_2013] Section 3.3, p.7: clinker production takes 'virtually all of the fuel use'; DECC Cement Report Section 3.3.3 confirms the kiln is ~three quarters of all site energy in the UK, and coal is >50% of UK kiln fuel (Section 3.3.4).",high
Cement Works,default,cement_grinding,electricity,0.38,,,published_sec,"[ES_CEMENT_2013] Section 3.3, p.9: cement grinding 38% of electricity.",medium
Cement Works,default,kiln_pyroprocessing,electricity,0.22,,,published_sec,"[ES_CEMENT_2013] Section 3.3, p.9: clinker production incl. grinding of solid fuels 22% of electricity (includes kiln drives, ID/cooler fans).",medium
Cement Works,default,packing_dispatch,electricity,0.05,,,published_sec,"[ES_CEMENT_2013] Section 3.3, p.9: conveying and packaging 5% of electricity.",medium
Cement Works,default,quarrying_crushing,electricity,0.05,,,published_sec,"[ES_CEMENT_2013] Section 3.3, p.9: raw material extraction 5% of electricity in dry kiln plants (US data).",medium
Cement Works,default,raw_grinding_blending,electricity,0.24,,,published_sec,"[ES_CEMENT_2013] Section 3.3, p.9: raw material grinding 24% of electricity.",medium
Cement Works,default,raw_meal_homogenisation,electricity,0.06,,,published_sec,"[ES_CEMENT_2013] Section 3.3, p.9: raw material homogenization 6% of electricity.",medium
Cement Works,default,kiln_pyroprocessing,gas,1.0,,,published_sec,"[ES_CEMENT_2013] Same 'virtually all fuel' statement (Section 3.3, p.7); gas is a minor kiln/warm-up fuel at UK works.",medium
Cement Works,default,kiln_pyroprocessing,oil,0.2,0.05,0.4,engineering,[ES_CEMENT_2013] Oil at cement works is kiln start-up/support firing only; share of metered oil reduced from 1.0 after quarry mobile plant was brought into scope (Scoping decision 2026-08-24 (A. Canet): mobile plant and mobile machinery diesel are IN scope of premise_energy and must be captured in the profile.),medium
Cement Works,default,quarry_mobile_plant,oil,0.8,0.6,0.95,engineering,Engineering: quarry haulage/loading diesel dominates gas-oil use at integrated works (cf. [DOE_STONE] ~50% of quarry energy is haulage diesel); kiln oil confined to start-up. Scoping decision 2026-08-24 (A. Canet): mobile plant and mobile machinery diesel are IN scope of premise_energy and must be captured in the profile.,medium
Cement Works,default,kiln_pyroprocessing,other,1.0,,,published_sec,"[DECC_CEMENT_2015] Section 3.3.4: waste-derived fuels (~40% of fuel input, 2012) are fired in the kiln/precalciner only.",high
Chemical Works,default,electrochemical_processes,electricity,0.1,,,engineering,"[DOECHEM2015] Sector-average allowance (Fig 2-6 p13); zero at most individual sites, large at chlor-alkali.",medium
Chemical Works,default,process_machine_drives,electricity,0.5,,,engineering,[DOECHEM2015] Fig 2-6 p13: machine-driven equipment is the dominant electricity end use (no percentage published).,medium
Chemical Works,default,refrigeration,electricity,0.15,,,engineering,[UKCHEM2015] Chillers named as a main electricity use (s3.2); engineering estimate.,medium
Chemical Works,default,site_services,electricity,0.25,,,engineering,"Lighting, HVAC, compressed air, control rooms, labs; engineering residual.",medium
Chemical Works,default,distillation_separation,gas,0.35,,,engineering,[DOECHEM2015] Fig 2-7 p14: steam (raised from the ~60% of fuel routed via boilers/CHP) is mostly process heating; distillation/evaporation is the largest steam sink in organic chemicals — engineering allocation.,medium
Chemical Works,default,drying,gas,0.1,,,engineering,Engineering allowance for sites making solid products; zero at wholly fluid-product sites.,medium
Chemical Works,default,reaction_heating,gas,0.25,,,engineering,[UKCHEM2015] Direct-fired heaters plus steam to reactors; s3.2 document level.,medium
Chemical Works,default,site_services,gas,0.1,,,engineering,[DOECHEM2015] Facility heating/ventilation appears as a steam end use (Fig 2-7 p14).,medium
Chemical Works,default,utilities_steam,gas,0.2,,,engineering,"[DOECHEM2015] Boiler/CHP conversion and distribution losses retained at the utility, per Fig 2-4 p10 (60% of fuel via boilers/CHP).",medium
Coking and Carbonising Plant,default,oven_battery_carbonisation,coal,1.0,,,engineering,[IS_BREF2013] All purchased coking coal is charged to the ovens; trivially complete allocation (document level).,medium
Coking and Carbonising Plant,default,byproduct_plant,electricity,0.4,,,engineering,"[IS_BREF2013] Document level: COG exhausters, pumps and cooling systems run continuously and are the largest motor loads on a by-product coke plant; rated-equipment logic.",medium
Coking and Carbonising Plant,default,coal_handling_preparation,electricity,0.15,,,engineering,"[IS_BREF2013] Crushers, blending and conveying motors; rated-equipment logic (document level).",medium
Coking and Carbonising Plant,default,coke_quenching_handling,electricity,0.15,,,engineering,"[IS_BREF2013] Quench car, screening and coke conveying motors; rated-equipment logic (document level).",medium
Coking and Carbonising Plant,default,oven_battery_carbonisation,electricity,0.15,,,engineering,[IS_BREF2013] Charging/pushing machinery and battery ventilation; rated-equipment logic (document level).,medium
Coking and Carbonising Plant,default,site_services,electricity,0.15,,,engineering,"Lighting, compressed air, offices; engineering rationale.",medium
Coking and Carbonising Plant,default,oven_battery_carbonisation,gas,0.9,,,engineering,"[STET2024_COKE] Underfiring is the dominant fuel-gas demand (coking heat 51.2% of oven energy input; most plants underfire with returned COG, so any metered gas substitutes underfiring).",medium
Coking and Carbonising Plant,default,site_services,gas,0.1,,,engineering,Space heating of workshops/offices; engineering rationale.,medium
Concrete Block Works,default,aggregate_handling,electricity,0.1,,,engineering,Conveyor and elevator motors; rated-equipment logic.,medium
Concrete Block Works,default,batching_mixing,electricity,0.2,,,engineering,Mixer and batcher drives; rated-equipment logic.,medium
Concrete Block Works,default,block_machine_pressing,electricity,0.35,,,engineering,"[LBNL_CONCRETE_2011] Electricity is 13% of plant energy (9.2 kWh/yd3, Table 4/p.11) with no published sub-split; the block machine (vibration + hydraulics) is the dominant motor load. Rated-equipment logic.",medium
Concrete Block Works,default,cubing_packaging,electricity,0.1,,,engineering,"Cuber, splitter and packaging drives; rated-equipment logic.",medium
Concrete Block Works,default,curing_kilns,electricity,0.1,,,engineering,"Boiler auxiliaries, chamber fans and racks transfer systems; rated-equipment logic.",medium
Concrete Block Works,default,site_services,electricity,0.15,,,engineering,"Compressed air, lighting, offices; typical auxiliary allowance.",medium
Concrete Block Works,default,curing_kilns,gas,1.0,,,published_sec,"[LBNL_CONCRETE_2011] Table 4, p.11 attributes all natural gas (146.3 of 235.1 kBtu/yd3) to the kiln/boiler serving curing; curing is 60% of plant energy (p.11). Any space-heating gas is not separately identified.",medium
Concrete Block Works,default,mobile_plant,oil,1.0,,,published_sec,"[LBNL_CONCRETE_2011] Table 4, p.11: diesel 57.5 kBtu/yd3 assigned to forklifts/loaders (light trucks 24% of total plant energy).",medium
Concrete Product Works,default,batching_mixing,electricity,0.3,,,engineering,"[LBNL_CONCRETE_2011] Electricity is ~17% of overall precast energy (29 kWh/yd3, p.12) but no published sub-split; mixers and material feed are the largest continuous motor loads. Rated-equipment logic.",medium
Concrete Product Works,default,curing,electricity,0.1,,,engineering,"Boiler auxiliaries, circulation pumps and chamber fans; rated-equipment logic.",medium
Concrete Product Works,default,forming_casting_vibration,electricity,0.2,,,engineering,"Vibrators, casting machines and finishing tools; rated-equipment logic.",medium
Concrete Product Works,default,site_services,electricity,0.25,,,engineering,"Compressed air, lighting, ventilation of production halls, offices; rated-equipment logic.",medium
Concrete Product Works,default,stripping_handling_cranes,electricity,0.15,,,engineering,Overhead cranes and gantries handling heavy units; rated-equipment logic.,medium
Concrete Product Works,default,curing,gas,0.85,,,published_sec,"[LBNL_CONCRETE_2011] Table 5, p.12: natural gas 253.5 kBtu/yd3, of which 215.5 to industrial boiler (curing steam/heat) = 85%.",medium
Concrete Product Works,default,site_services,gas,0.15,,,published_sec,"[LBNL_CONCRETE_2011] Table 5, p.12: 38.0 of 253.5 kBtu/yd3 natural gas to building heat = 15%.",medium
Concrete Product Works,default,curing,oil,0.62,,,engineering,"[LBNL_CONCRETE_2011] Table 5, p.12 lists fuel oil 107.8 kBtu/yd3 alongside diesel 67.1 (light trucks); fuel oil assumed to fire the curing boiler (stationary use), giving 107.8/174.9 = 62% of the oil vector. Assumption stated.",medium
Concrete Product Works,default,mobile_plant_trucks,oil,0.38,,,engineering,"[LBNL_CONCRETE_2011] Diesel for light trucks 67.1 of 174.9 kBtu/yd3 combined oil = 38% (Table 5, p.12).",medium
Concrete batching plant,default,aggregate_handling_conveying,electricity,0.06,,,engineering,[LBNL_CONCRETE_2011] Half of the 12% residual after the published 88% (mixer+pump+dust extractor); conveyors/hoists. Rated-equipment logic.,medium
Concrete batching plant,default,batching_mixing,electricity,0.65,,,published_sec,[LBNL_CONCRETE_2011] p.10: on-site mixer 65% of electricity (US ready-mix data; total ~3.1 kWh/yd3).,medium
Concrete batching plant,default,dust_extraction,electricity,0.03,,,published_sec,[LBNL_CONCRETE_2011] p.10: dust extractor 3% of electricity.,medium
Concrete batching plant,default,site_services,electricity,0.06,,,engineering,"[LBNL_CONCRETE_2011] Remaining residual: lighting, office, compressed air. Rated-equipment logic.",medium
Concrete batching plant,default,water_supply_pumping,electricity,0.2,,,published_sec,[LBNL_CONCRETE_2011] p.10: water pump 20% of electricity.,medium
Concrete batching plant,default,site_services,gas,0.24,,,published_sec,"[LBNL_CONCRETE_2011] Table 3, p.10: 24% of natural gas to building heat.",medium
Concrete batching plant,default,water_aggregate_heating,gas,0.76,,,published_sec,"[LBNL_CONCRETE_2011] Table 3, p.10: 76% of natural gas to boiler (water/aggregate heating).",medium
Concrete batching plant,default,mobile_plant_trucks,oil,0.4,,,published_sec,"[LBNL_CONCRETE_2011] Table 3, p.10: 40% of diesel to light trucks.",medium
Concrete batching plant,default,site_services,oil,0.06,,,published_sec,"[LBNL_CONCRETE_2011] Table 3, p.10: 6% of diesel to building heat.",medium
Concrete batching plant,default,water_aggregate_heating,oil,0.54,,,published_sec,"[LBNL_CONCRETE_2011] Table 3, p.10: 54% of diesel to boiler heat.",medium
Creamery,default,compressed_air,electricity,0.05,,,engineering,[FOCUS_DAIRY] Carved from the machine-drive/other balance using Table 1 (p12) compressed air shares of 0.5-8% by product,medium
Creamery,default,processing_machinery_pumping,electricity,0.4,,,published_sec,"[LBNL_DAIRY] 'Around 40% of electricity usage was used for machine drive applications to power pumps, motors, fans, and compressors' (p24)",medium
Creamery,default,refrigeration,electricity,0.31,0.25,0.35,published_sec,"[LBNL_DAIRY] 31% process cooling/freezing/cold storage (Figure 4.3, pp23-24, US); UK liquid milk = 25% (DECC2015FD Section 3.2.7 p35) taken as range low",medium
Creamery,default,site_services,electricity,0.24,,,engineering,"[LBNL_DAIRY] Lighting/HVAC 18% plus 'other' ~11% less the compressed-air carve-out (Figure 4.3, pp23-24)",medium
Creamery,default,cip_hot_water,gas,0.2,,,engineering,"[FOCUS_DAIRY] CIP 9.5-26% of product energy across dairy products (Table 1, p12), mostly hot water/steam",medium
Creamery,default,evaporation_drying,gas,0.25,,,engineering,"[FOCUS_DAIRY] Evaporation+drying = 96% of energy for milk powder (Table 1, p12); weighted for a mixed creamery where powder/concentrate is one line among several — set to zero at sites without evaporators",medium
Creamery,default,heat_treatment_pasteurisation,gas,0.35,,,engineering,"[LBNL_DAIRY] 80% of dairy fuel goes to direct process heating and boiler steam (p24); sub-allocated across heat treatment, evaporation/drying and CIP using Focus on Energy Table 1 product-level shares",medium
Creamery,default,site_services,gas,0.2,,,published_sec,"[LBNL_DAIRY] 'The remaining 20% is used for miscellaneous process and building demands, such as HVAC systems' (p24)",medium
Distillery,default,distillation,biomass,0.85,,,engineering,"[SE_H2_DIST] 8% of sector fuel is renewable heating fuel (p5); biomass boilers raise the same process steam, so the gas split is mirrored",low
Distillery,default,milling_mashing,biomass,0.1,,,engineering,[SE_H2_DIST] Mirror of gas split,low
Distillery,default,site_services,biomass,0.05,,,engineering,[SE_H2_DIST] Mirror of gas split,low
Distillery,default,compressed_air,electricity,0.05,,,engineering,Typical utility share at small process sites,low
Distillery,default,cooling_systems,electricity,0.2,,,engineering,[BALMENACH_CS] Condenser cooling water pumping/cooling towers and yeast refrigeration; rated-equipment logic,low
Distillery,default,milling_mashing,electricity,0.1,,,engineering,Malt mill and mash tun drives; rated-equipment logic,low
