unit_id,component_id,capacity_share,capex_share,component_lifetime,replacements_in_life,provenance,provenance_ref
chp_thermal_store_4h,chp_gas_turbine,0.66667,,25,0,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
chp_thermal_store_4h,thermal_store_hot_water,0.33333,,,,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | component_lifetime blank: no sourced life for a hot-water store | capex_share blank: no sourced cost for this component at this duration"
electrolyser_battery_4h,electrolyser_pem,0.66667,,30,0,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
electrolyser_battery_4h,battery_4h,0.33333,,15,1,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
hp_thermal_store_4h,heat_pump_lt_air,0.66667,,20,0,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
hp_thermal_store_4h,thermal_store_hot_water,0.33333,,,,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | component_lifetime blank: no sourced life for a hot-water store | capex_share blank: no sourced cost for this component at this duration"
chp_thermal_store_8h,chp_gas_turbine,0.66667,,25,0,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
chp_thermal_store_8h,thermal_store_hot_water,0.33333,,,,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | component_lifetime blank: no sourced life for a hot-water store | capex_share blank: no sourced cost for this component at this duration"
electrolyser_battery_8h,electrolyser_pem,0.66667,,30,0,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
electrolyser_battery_8h,battery_8h,0.33333,,15,1,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
hp_thermal_store_8h,heat_pump_lt_air,0.66667,,20,0,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | capex_share blank: no sourced cost for this component at this duration"
hp_thermal_store_8h,thermal_store_hot_water,0.33333,,,,proxy,"[CARB3_OVERVIEW] PD2 (hybrid units at a fixed sizing ratio) | the fixed ratio is this lane's: 1 unit of the converting component to 0.5 of the store, so capacity_share is 0.66667 / 0.33333 in every package of the family; what varies across 2h/4h/8h is the store's duration, hence its cost, not its rating | component_lifetime blank: no sourced life for a hot-water store | capex_share blank: no sourced cost for this component at this duration"
