parameter_id,carrier_id,period,value,unit,provenance,confidence
ef_biomethane,biomethane,2050,55.28,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Biomethane (compressed)"", 55.28 kg CO2/GJ net CV = 55.28 kt/PJ. Combustion constant, so the same value at every period",high
ef_lpg,lpg,2021,59.50,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""LPG"", kWh (Gross CV) 0.21419 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_lpg,lpg,2025,59.50,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""LPG"", kWh (Gross CV) 0.21419 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_lpg,lpg,2030,59.50,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""LPG"", kWh (Gross CV) 0.21419 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_lpg,lpg,2035,59.50,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""LPG"", kWh (Gross CV) 0.21419 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_lpg,lpg,2040,59.50,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""LPG"", kWh (Gross CV) 0.21419 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_lpg,lpg,2045,59.50,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""LPG"", kWh (Gross CV) 0.21419 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_lpg,lpg,2050,59.50,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""LPG"", kWh (Gross CV) 0.21419 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_light_fuel_oil,light_fuel_oil,2021,70.44,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Gas oil"", kWh (Gross CV) 0.25359 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_light_fuel_oil,light_fuel_oil,2025,70.44,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Gas oil"", kWh (Gross CV) 0.25359 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_light_fuel_oil,light_fuel_oil,2030,70.44,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Gas oil"", kWh (Gross CV) 0.25359 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_light_fuel_oil,light_fuel_oil,2035,70.44,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Gas oil"", kWh (Gross CV) 0.25359 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_light_fuel_oil,light_fuel_oil,2040,70.44,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Gas oil"", kWh (Gross CV) 0.25359 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_light_fuel_oil,light_fuel_oil,2045,70.44,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Gas oil"", kWh (Gross CV) 0.25359 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_light_fuel_oil,light_fuel_oil,2050,70.44,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Gas oil"", kWh (Gross CV) 0.25359 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_heavy_fuel_oil,heavy_fuel_oil,2021,74.19,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Fuel oil"", kWh (Gross CV) 0.26709 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_heavy_fuel_oil,heavy_fuel_oil,2025,74.19,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Fuel oil"", kWh (Gross CV) 0.26709 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_heavy_fuel_oil,heavy_fuel_oil,2030,74.19,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Fuel oil"", kWh (Gross CV) 0.26709 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_heavy_fuel_oil,heavy_fuel_oil,2035,74.19,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Fuel oil"", kWh (Gross CV) 0.26709 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_heavy_fuel_oil,heavy_fuel_oil,2040,74.19,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Fuel oil"", kWh (Gross CV) 0.26709 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_heavy_fuel_oil,heavy_fuel_oil,2045,74.19,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Fuel oil"", kWh (Gross CV) 0.26709 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_heavy_fuel_oil,heavy_fuel_oil,2050,74.19,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Fuel oil"", kWh (Gross CV) 0.26709 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_petroleum_products_misc,petroleum_products_misc,2021,68.25,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Refinery miscellaneous"", kWh (Gross CV) 0.24571 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_petroleum_products_misc,petroleum_products_misc,2025,68.25,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Refinery miscellaneous"", kWh (Gross CV) 0.24571 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_petroleum_products_misc,petroleum_products_misc,2030,68.25,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Refinery miscellaneous"", kWh (Gross CV) 0.24571 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_petroleum_products_misc,petroleum_products_misc,2035,68.25,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Refinery miscellaneous"", kWh (Gross CV) 0.24571 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_petroleum_products_misc,petroleum_products_misc,2040,68.25,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Refinery miscellaneous"", kWh (Gross CV) 0.24571 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_petroleum_products_misc,petroleum_products_misc,2045,68.25,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Refinery miscellaneous"", kWh (Gross CV) 0.24571 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_petroleum_products_misc,petroleum_products_misc,2050,68.25,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Refinery miscellaneous"", kWh (Gross CV) 0.24571 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coal,coal,2021,89.39,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coal (industrial)"", kWh (Gross CV) 0.32181 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coal,coal,2025,89.39,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coal (industrial)"", kWh (Gross CV) 0.32181 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coal,coal,2030,89.39,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coal (industrial)"", kWh (Gross CV) 0.32181 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coal,coal,2035,89.39,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coal (industrial)"", kWh (Gross CV) 0.32181 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coal,coal,2040,89.39,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coal (industrial)"", kWh (Gross CV) 0.32181 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coal,coal,2045,89.39,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coal (industrial)"", kWh (Gross CV) 0.32181 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coal,coal,2050,89.39,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coal (industrial)"", kWh (Gross CV) 0.32181 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coking_coal,coking_coal,2021,98.78,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coking coal"", kWh (Gross CV) 0.35559 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coking_coal,coking_coal,2025,98.78,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coking coal"", kWh (Gross CV) 0.35559 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coking_coal,coking_coal,2030,98.78,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coking coal"", kWh (Gross CV) 0.35559 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coking_coal,coking_coal,2035,98.78,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coking coal"", kWh (Gross CV) 0.35559 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coking_coal,coking_coal,2040,98.78,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coking coal"", kWh (Gross CV) 0.35559 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coking_coal,coking_coal,2045,98.78,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coking coal"", kWh (Gross CV) 0.35559 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coking_coal,coking_coal,2050,98.78,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Fuels"", row ""Coking coal"", kWh (Gross CV) 0.35559 kg CO2/kWh x 277.7778. Combustion constant, so the same value at every period",high
ef_coke,coke,2021,107.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven coke and lignite coke"" = 107.0 t CO2/TJ NCV = 107.0 kt/PJ. Combustion constant, so the same value at every period",high
ef_coke,coke,2025,107.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven coke and lignite coke"" = 107.0 t CO2/TJ NCV = 107.0 kt/PJ. Combustion constant, so the same value at every period",high
ef_coke,coke,2030,107.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven coke and lignite coke"" = 107.0 t CO2/TJ NCV = 107.0 kt/PJ. Combustion constant, so the same value at every period",high
ef_coke,coke,2035,107.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven coke and lignite coke"" = 107.0 t CO2/TJ NCV = 107.0 kt/PJ. Combustion constant, so the same value at every period",high
ef_coke,coke,2040,107.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven coke and lignite coke"" = 107.0 t CO2/TJ NCV = 107.0 kt/PJ. Combustion constant, so the same value at every period",high
ef_coke,coke,2045,107.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven coke and lignite coke"" = 107.0 t CO2/TJ NCV = 107.0 kt/PJ. Combustion constant, so the same value at every period",high
ef_coke,coke,2050,107.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven coke and lignite coke"" = 107.0 t CO2/TJ NCV = 107.0 kt/PJ. Combustion constant, so the same value at every period",high
ef_coke_oven_gas,coke_oven_gas,2021,44.40,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven gas"" = 44.4 t CO2/TJ NCV = 44.4 kt/PJ. Combustion constant, so the same value at every period",high
ef_coke_oven_gas,coke_oven_gas,2025,44.40,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven gas"" = 44.4 t CO2/TJ NCV = 44.4 kt/PJ. Combustion constant, so the same value at every period",high
ef_coke_oven_gas,coke_oven_gas,2030,44.40,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven gas"" = 44.4 t CO2/TJ NCV = 44.4 kt/PJ. Combustion constant, so the same value at every period",high
ef_coke_oven_gas,coke_oven_gas,2035,44.40,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven gas"" = 44.4 t CO2/TJ NCV = 44.4 kt/PJ. Combustion constant, so the same value at every period",high
ef_coke_oven_gas,coke_oven_gas,2040,44.40,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven gas"" = 44.4 t CO2/TJ NCV = 44.4 kt/PJ. Combustion constant, so the same value at every period",high
ef_coke_oven_gas,coke_oven_gas,2045,44.40,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven gas"" = 44.4 t CO2/TJ NCV = 44.4 kt/PJ. Combustion constant, so the same value at every period",high
ef_coke_oven_gas,coke_oven_gas,2050,44.40,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Coke oven gas"" = 44.4 t CO2/TJ NCV = 44.4 kt/PJ. Combustion constant, so the same value at every period",high
ef_blast_furnace_gas,blast_furnace_gas,2021,260.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Blast furnace gas"" = 260 t CO2/TJ NCV = 260 kt/PJ. Combustion constant, so the same value at every period",high
ef_blast_furnace_gas,blast_furnace_gas,2025,260.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Blast furnace gas"" = 260 t CO2/TJ NCV = 260 kt/PJ. Combustion constant, so the same value at every period",high
ef_blast_furnace_gas,blast_furnace_gas,2030,260.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Blast furnace gas"" = 260 t CO2/TJ NCV = 260 kt/PJ. Combustion constant, so the same value at every period",high
ef_blast_furnace_gas,blast_furnace_gas,2035,260.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Blast furnace gas"" = 260 t CO2/TJ NCV = 260 kt/PJ. Combustion constant, so the same value at every period",high
ef_blast_furnace_gas,blast_furnace_gas,2040,260.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Blast furnace gas"" = 260 t CO2/TJ NCV = 260 kt/PJ. Combustion constant, so the same value at every period",high
ef_blast_furnace_gas,blast_furnace_gas,2045,260.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Blast furnace gas"" = 260 t CO2/TJ NCV = 260 kt/PJ. Combustion constant, so the same value at every period",high
ef_blast_furnace_gas,blast_furnace_gas,2050,260.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Blast furnace gas"" = 260 t CO2/TJ NCV = 260 kt/PJ. Combustion constant, so the same value at every period",high
ef_solid_biomass,solid_biomass,2021,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood chips"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_solid_biomass,solid_biomass,2025,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood chips"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_solid_biomass,solid_biomass,2030,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood chips"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_solid_biomass,solid_biomass,2035,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood chips"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_solid_biomass,solid_biomass,2040,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood chips"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_solid_biomass,solid_biomass,2045,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood chips"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_solid_biomass,solid_biomass,2050,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood chips"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_wood_pellets,wood_pellets,2021,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood pellets"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_wood_pellets,wood_pellets,2025,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood pellets"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_wood_pellets,wood_pellets,2030,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood pellets"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_wood_pellets,wood_pellets,2035,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood pellets"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_wood_pellets,wood_pellets,2040,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood pellets"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_wood_pellets,wood_pellets,2045,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood pellets"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_wood_pellets,wood_pellets,2050,97.22,kt_co2_per_pj,"[GHG_CF_2026] sheet ""Outside of scopes"", row ""Wood pellets"", 0.35 kg CO2/kWh net CV x 277.7778. Gross; biogenic_fraction 1 zero-rates it under spec 7.3. Combustion constant, so the same value at every period",high
ef_waste_derived_fuel,waste_derived_fuel,2021,143.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Industrial wastes"" = 143 t CO2/TJ NCV = 143 kt/PJ. Gross, before any biogenic split; the biogenic share is unsourced (see DONE_carriers.md). Combustion constant, so the same value at every period",high
ef_waste_derived_fuel,waste_derived_fuel,2025,143.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Industrial wastes"" = 143 t CO2/TJ NCV = 143 kt/PJ. Gross, before any biogenic split; the biogenic share is unsourced (see DONE_carriers.md). Combustion constant, so the same value at every period",high
ef_waste_derived_fuel,waste_derived_fuel,2030,143.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Industrial wastes"" = 143 t CO2/TJ NCV = 143 kt/PJ. Gross, before any biogenic split; the biogenic share is unsourced (see DONE_carriers.md). Combustion constant, so the same value at every period",high
ef_waste_derived_fuel,waste_derived_fuel,2035,143.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Industrial wastes"" = 143 t CO2/TJ NCV = 143 kt/PJ. Gross, before any biogenic split; the biogenic share is unsourced (see DONE_carriers.md). Combustion constant, so the same value at every period",high
ef_waste_derived_fuel,waste_derived_fuel,2040,143.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Industrial wastes"" = 143 t CO2/TJ NCV = 143 kt/PJ. Gross, before any biogenic split; the biogenic share is unsourced (see DONE_carriers.md). Combustion constant, so the same value at every period",high
ef_waste_derived_fuel,waste_derived_fuel,2045,143.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Industrial wastes"" = 143 t CO2/TJ NCV = 143 kt/PJ. Gross, before any biogenic split; the biogenic share is unsourced (see DONE_carriers.md). Combustion constant, so the same value at every period",high
ef_waste_derived_fuel,waste_derived_fuel,2050,143.00,kt_co2_per_pj,"[UK_ETS_MRR_ANNEX_VI] Annex VI Table 1, row ""Industrial wastes"" = 143 t CO2/TJ NCV = 143 kt/PJ. Gross, before any biogenic split; the biogenic share is unsourced (see DONE_carriers.md). Combustion constant, so the same value at every period",high
ef_electricity,electricity,2021,58.02,kt_co2_per_pj,"[GB_SUPP_TABLES_2023] Table 1 ""Electricity emissions factors to 2100, kgCO2e/kWh"", grid average / consumption-based / Industrial, year 2021 = 0.208868 kgCO2e/kWh x 277.7778. CO2e; the published series has no CO2-only split. Grid average chosen for spec 7.6 base-year reconciliation (footprinting)",high
ef_electricity,electricity,2025,35.18,kt_co2_per_pj,"[GB_SUPP_TABLES_2023] Table 1 ""Electricity emissions factors to 2100, kgCO2e/kWh"", grid average / consumption-based / Industrial, year 2025 = 0.126655 kgCO2e/kWh x 277.7778. CO2e; the published series has no CO2-only split. Grid average chosen for spec 7.6 base-year reconciliation (footprinting)",high
ef_electricity,electricity,2030,13.23,kt_co2_per_pj,"[GB_SUPP_TABLES_2023] Table 1 ""Electricity emissions factors to 2100, kgCO2e/kWh"", grid average / consumption-based / Industrial, year 2030 = 0.047623 kgCO2e/kWh x 277.7778. CO2e; the published series has no CO2-only split. Grid average chosen for spec 7.6 base-year reconciliation (footprinting)",high
ef_electricity,electricity,2035,5.39,kt_co2_per_pj,"[GB_SUPP_TABLES_2023] Table 1 ""Electricity emissions factors to 2100, kgCO2e/kWh"", grid average / consumption-based / Industrial, year 2035 = 0.019406 kgCO2e/kWh x 277.7778. CO2e; the published series has no CO2-only split. Grid average chosen for spec 7.6 base-year reconciliation (footprinting)",high
ef_electricity,electricity,2040,4.29,kt_co2_per_pj,"[GB_SUPP_TABLES_2023] Table 1 ""Electricity emissions factors to 2100, kgCO2e/kWh"", grid average / consumption-based / Industrial, year 2040 = 0.015446 kgCO2e/kWh x 277.7778. CO2e; the published series has no CO2-only split. Grid average chosen for spec 7.6 base-year reconciliation (footprinting)",high
ef_electricity,electricity,2045,2.11,kt_co2_per_pj,"[GB_SUPP_TABLES_2023] Table 1 ""Electricity emissions factors to 2100, kgCO2e/kWh"", grid average / consumption-based / Industrial, year 2045 = 0.007601 kgCO2e/kWh x 277.7778. CO2e; the published series has no CO2-only split. Grid average chosen for spec 7.6 base-year reconciliation (footprinting)",high
ef_electricity,electricity,2050,0.67,kt_co2_per_pj,"[GB_SUPP_TABLES_2023] Table 1 ""Electricity emissions factors to 2100, kgCO2e/kWh"", grid average / consumption-based / Industrial, year 2050 = 0.002410 kgCO2e/kWh x 277.7778. CO2e; the published series has no CO2-only split. Grid average chosen for spec 7.6 base-year reconciliation (footprinting)",high
