carb3_activity,process_set_id,set_name,is_default,process_id,process_name,is_optional,equipment_examples,provenance
Aircraft works,default,Aerospace manufacturing / MRO site,TRUE,machine_drive,"Machine drive (machining, tooling, compressed air, pumps, fans)",FALSE,5-axis CNC machining centres; riveting/fastening tools; air compressors; hydraulic test rigs,[MECS2022_T52] Largest process electricity end use in MECS NAICS 3364 aerospace product and parts.
Aircraft works,default,Aerospace manufacturing / MRO site,TRUE,process_heating,"Process heating (heat treatment, autoclaves, curing ovens)",FALSE,autoclaves; heat-treatment furnaces; composite cure ovens; paint stoving,[MECS2022_T52] Reported process heating end use for NAICS 3364; autoclaves/heat treatment are characteristic aerospace loads.
Aircraft works,default,Aerospace manufacturing / MRO site,TRUE,process_cooling,Process cooling,TRUE,chillers; environmental test chambers,[MECS2022_T52] Material process cooling end use reported for NAICS 3364.
Aircraft works,default,Aerospace manufacturing / MRO site,TRUE,surface_treatment,"Surface treatment (anodising, plating, painting)",TRUE,anodising lines; plating baths; paint booths,[MECS2022_T52] Electro-chemical end use reported (below 0.5 TBtu) for NAICS 3364; standard aerospace finishing operation.
Aircraft works,default,Aerospace manufacturing / MRO site,TRUE,other_process,"Other process uses (test, NDT)",TRUE,engine test cells; NDT equipment,[MECS2022_T52] Residual process category in MECS.
Aircraft works,default,Aerospace manufacturing / MRO site,TRUE,steam_hot_water,Boiler steam / hot water generation,TRUE,steam boilers; CHP,[MECS2022_T52] Indirect boiler+CHP gas is a large reported use for NAICS 3364.
Aircraft works,default,Aerospace manufacturing / MRO site,TRUE,site_services,"Site services (lighting, HVAC/clean-room ventilation, offices)",FALSE,hangar high-bay lighting; clean-room AHUs; large office/design blocks,"[MECS2022_T52] Facility HVAC+lighting are unusually large in aerospace (close-tolerance environmental control, large hangar volumes)."
Aircraft works,default,Aerospace manufacturing / MRO site,TRUE,space_heating,Space heating,FALSE,hangar heating; warm-air systems,[MECS2022_T52] Facility HVAC gas is the joint-largest gas end use for NAICS 3364.
Aluminium Smelting Works,default,Primary aluminium smelter (Hall-Héroult),TRUE,alumina_materials_handling,Alumina and raw materials handling,FALSE,pneumatic conveyors; silos; pot feeders,[IAI_SEI] Included within 'normal smelter auxiliaries' in the IAI smelting energy definition.
Aluminium Smelting Works,default,Primary aluminium smelter (Hall-Héroult),TRUE,electrolysis_potlines,Hall-Héroult electrolysis (potlines incl. rectification and pot auxiliaries),FALSE,reduction cells/pots; AC-DC rectifiers; gas treatment/scrubbers,"[LBNL_AL2016] Most energy-intensive step, ~13,000 kWh/t Al best practice (Section 2.2.3, p.7); IAI AC metric covers rectification and auxiliaries up to metal tapping."
Aluminium Smelting Works,default,Primary aluminium smelter (Hall-Héroult),TRUE,anode_production_baking,Anode paste plant and anode baking,TRUE,paste plant mixers; gas-fired anode baking furnace; rodding shop,"[LBNL_AL2016] Anode production ~444 kWh/t (1.6 GJ/t) best practice (Section 2.2.3, p.8); optional because some smelters import baked anodes."
Aluminium Smelting Works,default,Primary aluminium smelter (Hall-Héroult),TRUE,cast_house,"Cast house (holding/melting furnaces, casting lines)",FALSE,gas-fired holding furnaces; ingot/billet casting lines; homogenising furnaces,"[LBNL_AL2016] Ingot casting best-practice ~278 kWh/t (1 GJ/t) (Section 2.2.4, p.9); explicitly excluded from IAI smelting-electricity metric, i.e. a separate energy centre."
Aluminium Smelting Works,default,Primary aluminium smelter (Hall-Héroult),TRUE,site_services,"Site services (compressed air, lighting, workshops, offices)",FALSE,air compressors; lighting; maintenance workshops,Cross-cutting services at smelter sites.
Artificial Fibre Works,default,Melt-spun synthetic fibre plant (polyester/nylon/polypropylene),TRUE,polymer_melt_extrusion,"Polymer melting, extrusion and spin-beam heating",FALSE,screw extruders; heat-transfer-medium (Dowtherm) heaters; spin beams and metering pumps,[POLBREF2007] Core melt-spinning operation; Polymers BREF covers fibre-forming polymer plants (document level).
Artificial Fibre Works,default,Melt-spun synthetic fibre plant (polyester/nylon/polypropylene),TRUE,chip_drying,Polymer chip drying/crystallisation,TRUE,chip dryers; crystallisers,"Required for hygroscopic polymers (PET, PA) before extrusion; absent for direct-melt-coupled lines."
Artificial Fibre Works,default,Melt-spun synthetic fibre plant (polyester/nylon/polypropylene),TRUE,spinning_quench_winding,"Spinning, quench and winding",FALSE,quench air cabinets; godets; high-speed winders; spin-finish application,Standard melt-spinning line elements; engineering inclusion.
Artificial Fibre Works,default,Melt-spun synthetic fibre plant (polyester/nylon/polypropylene),TRUE,drawing_texturing,"Drawing, texturing and heat setting",TRUE,draw frames; texturing machines; heater tracks,Present where drawn/textured yarn or staple is produced on site.
Artificial Fibre Works,default,Melt-spun synthetic fibre plant (polyester/nylon/polypropylene),TRUE,spinning_hvac,Spinning-hall air conditioning and quench air supply,FALSE,air washers/AHUs; chillers; humidity control plant,Melt spinning requires tightly conditioned high-volume air; a recognised major electrical load in fibre plants (engineering).
Artificial Fibre Works,default,Melt-spun synthetic fibre plant (polyester/nylon/polypropylene),TRUE,compressed_air,"Compressed air (interlacing, controls)",FALSE,air compressors; interlacing jets,Interlacing/texturing jets are significant air consumers; engineering inclusion.
Artificial Fibre Works,default,Melt-spun synthetic fibre plant (polyester/nylon/polypropylene),TRUE,site_services,Site services,FALSE,lighting; offices; space heating,Standard ancillary loads.
Asphalt Plant,default,Hot-mix asphalt plant (batch or drum),TRUE,cold_feed_conveying,Cold feed and aggregate conveying,FALSE,cold feed bins; feed conveyors,"[ES_ASPHALT_2023] Section 1.1, p.2: aggregates loaded to cold feed bins and conveyed to the drum."
Asphalt Plant,default,Hot-mix asphalt plant (batch or drum),TRUE,aggregate_drying_heating,Aggregate drying and heating (dryer drum and burner),FALSE,rotary dryer drum; drum burner; drum drive,"[ES_ASPHALT_2023] Section 1.1, p.2: burner flame dries and heats aggregate in the rotating drum; burner fuel is 80% of plant energy (Figure 4, p.8)."
Asphalt Plant,default,Hot-mix asphalt plant (batch or drum),TRUE,screening_mixing,Hot screening and mixing,FALSE,hot elevator; screen deck; hot bins; pugmill mixer,"[ES_ASPHALT_2023] Section 1.1, p.2: batch plants screen to hot bins and mix in a pugmill; drum plants mix in-drum."
Asphalt Plant,default,Hot-mix asphalt plant (batch or drum),TRUE,bitumen_storage_heating,Bitumen (asphalt binder) storage and heating,FALSE,heated binder tanks; hot oil heater; binder pumps,"[ES_ASPHALT_2023] Section 1.1, p.2: binder pumped from heated storage tanks; hot oil heater is 12% of plant energy (Figure 4, p.8)."
Asphalt Plant,default,Hot-mix asphalt plant (batch or drum),TRUE,exhaust_baghouse,Exhaust gas handling and baghouse dust collection,FALSE,exhaust fan; baghouse filters; dust return screws,[ES_ASPHALT_2023] Baghouse dust collection precedes load-out (Section 1.1); the exhaust fan is the plant's largest single electric motor.
Asphalt Plant,default,Hot-mix asphalt plant (batch or drum),TRUE,loadout_storage,Mix storage silos and truck load-out,FALSE,storage silos; drag conveyor; load-out systems,[ES_ASPHALT_2023] Load-out to trucks or storage silos (Section 1.1).
Asphalt Plant,default,Hot-mix asphalt plant (batch or drum),TRUE,mobile_plant,Mobile plant (loaders and yard equipment),FALSE,wheel loaders; yard vehicles,"[ES_ASPHALT_2023] 'Equipment' is 4% of plant energy (Figure 4, p.8) - diesel-fuelled yard equipment."
Asphalt Plant,default,Hot-mix asphalt plant (batch or drum),TRUE,site_services,Site services,FALSE,control cabin; compressed air; lighting,"Control room, air compressors and lighting at a typically outdoor plant."
Beet Sugar Factory,default,Beet sugar factory (campaign operation with CHP),TRUE,beet_reception_preparation,"Beet reception, fluming, washing & slicing",FALSE,flume pumps; beet washers; slicers,[PBL_SUGAR] Front-end process described in plant model (document level)
Beet Sugar Factory,default,Beet sugar factory (campaign operation with CHP),TRUE,extraction_diffusion,Extraction/diffusion & raw juice heating,FALSE,diffusion tower; juice heaters,[PBL_SUGAR] Process step in plant model (document level)
Beet Sugar Factory,default,Beet sugar factory (campaign operation with CHP),TRUE,lime_kiln,Lime kiln & carbonatation,FALSE,coke-fired lime kiln; carbonatation vessels,[PBL_SUGAR] Table 8: cokes 3.4 GJ/t lime; 0.07 t lime/t sugar (Table 2)
Beet Sugar Factory,default,Beet sugar factory (campaign operation with CHP),TRUE,evaporation,Multiple-effect evaporation,FALSE,multi-effect evaporator train,[PBL_SUGAR] Steam enters first effect at ~135°C; principal steam sink in juice concentration
Beet Sugar Factory,default,Beet sugar factory (campaign operation with CHP),TRUE,crystallisation_sugar_house,"Crystallisation & sugar house (vacuum pans, centrifugals, sugar drying)",FALSE,vacuum pans; centrifugals; granulator/dryer,[PBL_SUGAR] Process step in plant model (document level)
Beet Sugar Factory,default,Beet sugar factory (campaign operation with CHP),TRUE,pulp_pressing_drying,Pulp pressing & drying (animal feed co-product),FALSE,pulp presses; rotary/HT pulp dryers,[PBL_SUGAR] Table 3: natural gas 6.10 GJ/t dry pulp; ~0.29 t dried pulp/t sugar (Tables 2-3). UK sites dry pulp (British Sugar cites pressed-pulp-drying reduction projects)
Beet Sugar Factory,default,Beet sugar factory (campaign operation with CHP),TRUE,site_services,"Site services (lighting, offices, water treatment)",FALSE,lighting; effluent plant,Standard site load
Brewery,default,Brewery (mash-brewing and packaging site),TRUE,brewhouse,"Brewhouse (malt handling, milling, mashing, wort boiling)",FALSE,malt mill; mash tun; wort kettle; wort cooler,[BA_ENERGY] Brewhouse identified as largest thermal end use (p6 chart)
Brewery,default,Brewery (mash-brewing and packaging site),TRUE,packaging,"Packaging (filling, pasteurisation, bottle/keg washing)",FALSE,tunnel pasteuriser; keg washer; filler lines,[BA_ENERGY] Packaging appears in both electricity and thermal end-use charts (p6)
Brewery,default,Brewery (mash-brewing and packaging site),TRUE,refrigeration,"Refrigeration (fermentation & maturation cooling, cellars)",FALSE,glycol chillers; ammonia plant; FV cooling jackets,[BA_ENERGY] Largest electrical end use (p6); confirmed 35% for UK breweries in DECC2015FD Section 3.2.7 p35
Brewery,default,Brewery (mash-brewing and packaging site),TRUE,compressed_air,Compressed air,FALSE,air compressors,[BA_ENERGY] 10% of brewery electricity (p6)
Brewery,default,Brewery (mash-brewing and packaging site),TRUE,cip_utilities,CIP & utilities hot water,FALSE,CIP sets; hot liquor tanks,[BA_ENERGY] 'Utilities' category in thermal chart (p6)
Brewery,default,Brewery (mash-brewing and packaging site),TRUE,site_services,"Site services (lighting, boiler house auxiliaries, space heating, other)",FALSE,lighting; boiler feed pumps; offices,"[BA_ENERGY] Lighting, boiler house and 'other' categories in electricity chart; space heating in thermal chart (p6)"
Brickworks / clay tile/pipe works,default,"Heavy clay works (extruded/pressed brick, tunnel kiln)",TRUE,clay_preparation,"Clay preparation (crushing, grinding, screening, mixing)",FALSE,box feeders; pan/roller mills; screens; mixers,"[DECC_CERAMIC_2015] Raw material preparation stage (Section 3.2.1): ageing, homogenisation, mixing, particle size reduction."
Brickworks / clay tile/pipe works,default,"Heavy clay works (extruded/pressed brick, tunnel kiln)",TRUE,shaping_extrusion,"Shaping (extrusion / soft-mud or stiff pressing, cutting)",FALSE,vacuum extruder; soft-mud moulding machine; wire cutters,"[DECC_CERAMIC_2015] Forming stage (Section 3.2.2), extrusion and pressing named."
Brickworks / clay tile/pipe works,default,"Heavy clay works (extruded/pressed brick, tunnel kiln)",TRUE,drying,Drying of green ware,FALSE,chamber dryers; tunnel dryers; dryer circulation fans,"[DECC_CERAMIC_2015] Drying stage (Section 3.2.3), convection dryers; DECC Figure 10 shows the dryer consumes a notable proportion of fuel at a brickworks."
Brickworks / clay tile/pipe works,default,"Heavy clay works (extruded/pressed brick, tunnel kiln)",TRUE,setting_handling,"Setting, dehacking and packaging",FALSE,setting robots; kiln cars; dehacking line; strapping/wrapping,[ZI_BRICK_EE_P1] Kiln-car based handling is integral to tunnel-kiln brickmaking (kiln cars add 20-50% to specific thermal consumption per the Zi article).
Brickworks / clay tile/pipe works,default,"Heavy clay works (extruded/pressed brick, tunnel kiln)",TRUE,kiln_firing,Kiln firing,FALSE,tunnel kiln; kiln burners; combustion air and exhaust fans,[DECC_CERAMIC_2015] Firing is 'the dominant energy- and emissions-intensive step' (Section 3.2.4); Figure 10 shows kiln firing dominates fuel use in brick manufacture.
Brickworks / clay tile/pipe works,default,"Heavy clay works (extruded/pressed brick, tunnel kiln)",TRUE,site_services,Site services,FALSE,compressed air; lighting; offices,Standard auxiliary loads at a continuously operating heavy clay works.
Brickworks / clay tile/pipe works,default,"Heavy clay works (extruded/pressed brick, tunnel kiln)",TRUE,clay_extraction_mobile_plant,Clay pit extraction mobile plant,TRUE,hydraulic excavators; wheel loaders; articulated dump trucks,Engineering: most UK brickworks win clay from an adjacent pit using diesel mobile plant. Added per Scoping decision 2026-08-24 (A. Canet): mobile plant and mobile machinery diesel are IN scope of premise_energy and must be captured in the profile. Optional: some works buy in prepared clay.
Cement Tile Works,default,Concrete roof tile factory (extruded tiles),TRUE,batching_mixing,Batching and mixing of semi-dry mortar,FALSE,pan mixers; sand/cement weigh batchers,[LBNL_CONCRETE_2011] Same mixing front-end as other concrete product plants (LBNL Sections 3.2-3.3); concrete roof tiles are an extruded concrete product.
Cement Tile Works,default,Concrete roof tile factory (extruded tiles),TRUE,extrusion_pressing,Tile extrusion/pressing onto pallets,FALSE,tile extruder; profile rollers; pallet circulation,"[LBNL_CONCRETE_2011] Analogue of the precast forming/consolidation step (Section 3.3, p.11) implemented as continuous extrusion in tile works."
Cement Tile Works,default,Concrete roof tile factory (extruded tiles),TRUE,curing_chambers,Curing chambers (heated racks),FALSE,curing chambers; gas-fired boiler/heaters; humidity control,"[LBNL_CONCRETE_2011] Accelerated warm curing as in precast/CMU practice (curing ~44-60% of plant energy in the sibling subsectors, pp.11-12)."
Cement Tile Works,default,Concrete roof tile factory (extruded tiles),TRUE,coating_finishing,Surface coating and drying,TRUE,slurry/acrylic coating line; tile driers,"Standard for concrete roof tiles (pigmented coating applied before/after cure); no published energy data located, so it carries no separate profile rows."
Cement Tile Works,default,Concrete roof tile factory (extruded tiles),TRUE,depalletting_packaging,"Depalletting, inspection and packaging",FALSE,depalletter; strapping/shrink-wrap lines,Required to return pallets to the extruder loop and pack tiles; mechanical-handling analogue of CMU cubing/packaging.
Cement Tile Works,default,Concrete roof tile factory (extruded tiles),TRUE,mobile_plant,Forklifts and yard handling,FALSE,forklifts; yard loaders,"[LBNL_CONCRETE_2011] As at CMU plants, where all site diesel is forklift/loader fuel (Table 4, p.11)."
Cement Tile Works,default,Concrete roof tile factory (extruded tiles),TRUE,site_services,Site services,FALSE,compressed air; lighting; building heat,Standard auxiliaries.
Cement Works,default,Dry-process cement plant (preheater/precalciner),TRUE,quarrying_crushing,Quarrying and primary crushing,FALSE,primary/secondary crushers; quarry conveyors,[DECC_CEMENT_2015] Quarrying and crushing are the first steps of the process chain in DECC Cement Report Section 3.2 / Figure 4; corresponds to LBNL 'raw material extraction'.
Cement Works,default,Dry-process cement plant (preheater/precalciner),TRUE,raw_grinding_blending,Raw meal grinding and blending,FALSE,vertical roller raw mill; ball mill; separators,"[ES_CEMENT_2013] Raw material grinding is a major electricity consumer (Section 3.2, ~25-35 kWh/t raw material)."
Cement Works,default,Dry-process cement plant (preheater/precalciner),TRUE,raw_meal_homogenisation,Raw meal homogenisation and storage,FALSE,blending silos; air-fluidised homogenising silos,[ES_CEMENT_2013] Listed separately in the LBNL/ENERGY STAR electricity breakdown for dry kiln plants (Section 3.3).
Cement Works,default,Dry-process cement plant (preheater/precalciner),TRUE,kiln_pyroprocessing,"Kiln pyroprocessing (preheater, precalciner, rotary kiln, incl. solid fuel grinding)",FALSE,cyclone preheater tower; precalciner; rotary kiln; kiln ID fans; coal/petcoke mill,"[ES_CEMENT_2013] Clinker production accounts for over 90% of total energy and virtually all fuel use (Section 3.3, p.7); LBNL groups clinker production incl. solid fuel grinding at 22% of electricity."
Cement Works,default,Dry-process cement plant (preheater/precalciner),TRUE,clinker_cooling,Clinker cooling,FALSE,grate cooler; cooler fans,"[DECC_CEMENT_2015] Cooling step in DECC process chain (Section 3.2); its fan electricity is subsumed within the LBNL 'clinker production' 22% share, so no separate profile row is given."
Cement Works,default,Dry-process cement plant (preheater/precalciner),TRUE,cement_grinding,Cement (finish) grinding,FALSE,ball mill; high-pressure roller press; vertical roller mill; separators,[ES_CEMENT_2013] Finish grinding at 32-37 kWh/t in ball mills (Section 3.4); largest single electricity end use.
Cement Works,default,Dry-process cement plant (preheater/precalciner),TRUE,packing_dispatch,"Conveying, packing and dispatch",FALSE,pneumatic/mechanical conveyors; packers; silo loadout,[ES_CEMENT_2013] 'Conveying and packaging' is an explicit category in the LBNL electricity breakdown (Section 3.3).
Cement Works,default,Dry-process cement plant (preheater/precalciner),TRUE,site_services,Site services,FALSE,lighting; compressed air; offices,"Present at any cement works, but the LBNL electricity breakdown embeds auxiliaries within its six process categories, so no separate share is defensible."
Cement Works,default,Dry-process cement plant (preheater/precalciner),TRUE,quarry_mobile_plant,"Quarry mobile plant (excavators, loaders, dump trucks)",TRUE,hydraulic excavators; wheel loaders; rigid dump trucks,[DECC_CEMENT_2015] Quarrying named as first step of the process chain (Section 3.2); mobile plant added per Scoping decision 2026-08-24 (A. Canet): mobile plant and mobile machinery diesel are IN scope of premise_energy and must be captured in the profile. Optional: grinding-only stations have no quarry.
Chemical Works,default,Generic chemicals site,TRUE,reaction_heating,Reaction and process heating,FALSE,fired heaters; jacketed reactors; heat-transfer-oil systems,[UKCHEM2015] s3.2: heat provides the high temperatures necessary for many reactions.
Chemical Works,default,Generic chemicals site,TRUE,distillation_separation,Distillation and separation,FALSE,distillation columns and reboilers; evaporators; strippers,"[UKCHEM2015] s3.2: heat needed for separations, e.g. distillation; the dominant steam end use in most organic chemicals plants."
Chemical Works,default,Generic chemicals site,TRUE,drying,Product drying,TRUE,spray dryers; rotary/fluid-bed dryers,Present where solid/formulated products are made; optional.
Chemical Works,default,Generic chemicals site,TRUE,utilities_steam,"Steam system and utilities (boiler/CHP losses, distribution)",FALSE,package boilers; CHP; deaerators; steam distribution,[DOECHEM2015] Fig 2-4 p10: ~60% of chemical-sector fuel is used indirectly in boilers/CHP to generate onsite steam and electricity.
Chemical Works,default,Generic chemicals site,TRUE,process_machine_drives,Process machine drives,FALSE,pumps; compressors; agitators; materials handling,[DOECHEM2015] Fig 2-6 p13: machine-driven equipment is the dominant electricity end use.
Chemical Works,default,Generic chemicals site,TRUE,refrigeration,Refrigeration and chilling,FALSE,ammonia/HFC refrigeration sets; chilled water plant,"[UKCHEM2015] s3.2: electricity drives pump motors, compressors, chillers etc."
Chemical Works,default,Generic chemicals site,TRUE,electrochemical_processes,Electrochemical processes,TRUE,chlor-alkali cells; electrolysers,[DOECHEM2015] Fig 2-6 p13 lists electro-chemical processes as an electricity end use; only present at some sites.
Chemical Works,default,Generic chemicals site,TRUE,site_services,Site services,FALSE,lighting; HVAC; compressed air; offices/labs,[DOECHEM2015] Facility HVAC listed among steam/electricity end uses (Fig 2-7 p14).
Coking and Carbonising Plant,default,By-product coke oven plant,TRUE,coal_handling_preparation,"Coal handling, blending and crushing",FALSE,coal crushers; blending bunkers; conveyors,[IS_BREF2013] Document level: coal preparation is a defined stage of coke oven plants in the Iron and Steel BREF.
Coking and Carbonising Plant,default,By-product coke oven plant,TRUE,oven_battery_carbonisation,Coke oven battery carbonisation and underfiring,FALSE,coke oven battery; underfiring flues; charging/pushing machines,"[STET2024_COKE] Carbonisation is the core operation; the STET oven energy analysis found 51.2% of energy input used as coking heat, remainder lost via flue gas and surface losses."
Coking and Carbonising Plant,default,By-product coke oven plant,TRUE,coke_quenching_handling,"Coke pushing, quenching, screening and handling",FALSE,quench tower/car; coke screens; wharf conveyors,[STET2024_COKE] Quenching identified as a major recoverable-heat stream (~24% of input energy recoverable via dry quenching).
Coking and Carbonising Plant,default,By-product coke oven plant,TRUE,byproduct_plant,"By-product plant (gas exhausters, tar/benzole/ammonia recovery)",FALSE,COG exhausters; ammonia stills; tar decanters; cooling systems,[IS_BREF2013] Document level: by-product recovery is a defined section of coke oven plants in the BREF.
Coking and Carbonising Plant,default,By-product coke oven plant,TRUE,site_services,"Site services (lighting, compressed air, offices)",FALSE,air compressors; lighting; control rooms,Cross-cutting services.
Concrete Block Works,default,Concrete masonry unit (block) plant,TRUE,aggregate_handling,"Aggregate receipt, storage and conveying",FALSE,aggregate bins; belt conveyors,"[LBNL_CONCRETE_2011] Feed of aggregates/cement to mixing precedes moulding (Section 3.2, p.10)."
Concrete Block Works,default,Concrete masonry unit (block) plant,TRUE,batching_mixing,Batching and mixing (no-slump concrete),FALSE,pan mixers; weigh batchers,"[LBNL_CONCRETE_2011] 'No slump' (low water content) concrete prepared before placing in molds (Section 3.2, p.10)."
Concrete Block Works,default,Concrete masonry unit (block) plant,TRUE,block_machine_pressing,Block machine moulding (pressing and vibration),FALSE,block machine; vibrating table/mould; hydraulic power pack,"[LBNL_CONCRETE_2011] Concrete placed in molds; molds removed before curing (Section 3.2, p.10)."
Concrete Block Works,default,Concrete masonry unit (block) plant,TRUE,curing_kilns,Curing (low-pressure steam / heated chambers),FALSE,curing kilns/chambers; steam or hot-water boiler,"[LBNL_CONCRETE_2011] Curing from room temperature up to 190 degF (Section 3.2, p.10); curing is 60% of the plant's energy consumption (p.11)."
Concrete Block Works,default,Concrete masonry unit (block) plant,TRUE,cubing_packaging,"Cubing, splitting and packaging",FALSE,cuber; splitters; strapping/wrapping,[LBNL_CONCRETE_2011] Post-cure handling into cubes for dispatch is standard CMU practice; downstream of curing in Section 3.2 process description.
Concrete Block Works,default,Concrete masonry unit (block) plant,TRUE,mobile_plant,Forklifts and loaders,FALSE,forklifts; wheel loaders,[LBNL_CONCRETE_2011] Diesel for forklifts/loaders 57.5 kBtu/yd3; light trucks are 24% of total plant energy (Table 4/p.11).
Concrete Block Works,default,Concrete masonry unit (block) plant,TRUE,site_services,Site services,FALSE,compressed air; lighting; offices,Standard auxiliaries.
Concrete Product Works,default,Precast concrete products factory,TRUE,batching_mixing,Batching and mixing,FALSE,pan/planetary mixers; weigh batchers; cement silos,"[LBNL_CONCRETE_2011] Step (i) of precast making: 'mixing the raw materials' (Section 3.3, p.11)."
Concrete Product Works,default,Precast concrete products factory,TRUE,forming_casting_vibration,"Casting, consolidation and finishing",FALSE,moulds/forms; vibration tables; screeds/trowels,"[LBNL_CONCRETE_2011] Steps (ii)-(iii): placing into forms, consolidating by vibration, leveling and surface finishing (Section 3.3, p.11)."
Concrete Product Works,default,Precast concrete products factory,TRUE,curing,Accelerated curing (steam/heated chambers),FALSE,steam boiler; curing chambers; hot water circuits,"[LBNL_CONCRETE_2011] Step (iv) curing; 'nearly 44% of the energy consumed' at precast plants (p.12), fed mainly by the industrial boiler (215.5 of 253.5 kBtu/yd3 natural gas, Table 5, p.12)."
Concrete Product Works,default,Precast concrete products factory,TRUE,stripping_handling_cranes,"Form stripping, product handling and cranage",FALSE,overhead cranes; gantries; stripping equipment,"[LBNL_CONCRETE_2011] Step (v) form stripping plus yard handling of heavy units (Section 3.3, p.11)."
Concrete Product Works,default,Precast concrete products factory,TRUE,mobile_plant_trucks,Yard mobile plant and trucks,FALSE,forklifts; wheel loaders; yard trucks,"[LBNL_CONCRETE_2011] Diesel for light trucks 67.1 kBtu/yd3 (Table 5, p.12)."
Concrete Product Works,default,Precast concrete products factory,TRUE,site_services,Site services,FALSE,building heating; compressed air; lighting,"[LBNL_CONCRETE_2011] Building heat 38.0 kBtu/yd3 of natural gas (Table 5, p.12)."
Concrete batching plant,default,Ready-mixed concrete batching plant,TRUE,aggregate_handling_conveying,"Aggregate storage, handling and conveying",FALSE,aggregate bins; belt conveyors; skip hoist,"[LBNL_CONCRETE_2011] Raw materials weighed and fed to mixer/truck (Section 3.1, pp.8-9)."
Concrete batching plant,default,Ready-mixed concrete batching plant,TRUE,batching_mixing,Batching and central mixing,FALSE,central (wet-batch) mixer; weigh hoppers; cement screw conveyors,"[LBNL_CONCRETE_2011] Transit/shrink/central mixed routes described (Section 3.1, Figure 4, pp.8-9); on-site mixer is 65% of plant electricity (p.10)."
Concrete batching plant,default,Ready-mixed concrete batching plant,TRUE,water_supply_pumping,Water supply and pumping,FALSE,water pumps; admixture dosing pumps,[LBNL_CONCRETE_2011] Water pump identified at 20% of plant electricity (p.10).
Concrete batching plant,default,Ready-mixed concrete batching plant,TRUE,water_aggregate_heating,"Water/aggregate heating (boiler, winter operation)",TRUE,hot water boiler; steam generator; aggregate bin heating,"[LBNL_CONCRETE_2011] Boiler heat is the main stationary fuel use: 76% of natural gas and 54% of diesel (Table 3, p.10)."
