technology_code,technology_name,sector,technology_category,output_commodity,carrier_id,unit_type,abatement,disposition,unit_id,fuel_carrier_id,reason,notes
ICRLTHELCHP01,Low-temperature heat  technology based on heat pump,Ceramics,Heat pump,ICRLTH,electricity,heat_pump,,collapsed,heat_pump_lt_air,electricity,Per-sector copy of the LTH duty served by category `Heat pump`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRLTHHDG01,Low-temperature heat  technology based on hydrogen (boiler),Ceramics,Hydrogen,ICRLTH,hydrogen,boiler,,collapsed,boiler_lt_hydrogen,hydrogen,Per-sector copy of the LTH duty served by category `Hydrogen`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRMOTELC01,Electric motor technology,Ceramics,Electricity,ICRMOT,electricity,motor,,collapsed,motor_elec,electricity,Per-sector copy of the MOT duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICROTHELC01,Generic process technology for other energy services based on electricity,Ceramics,Electricity,ICROTH,electricity,generic_process,,collapsed,generic_process_elec,electricity,Per-sector copy of the OTH duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICROTHHDG01,Generic process technology for other energy services based on hydrogen,Ceramics,Hydrogen,ICROTH,hydrogen,generic_process,,collapsed,generic_process_hydrogen,hydrogen,Per-sector copy of the OTH duty served by category `Hydrogen`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRSPCELC01,Low-temperature space heat  technology based on electricity (boiler),Ceramics,Electricity,ICRSPC,electricity,resistance_heater,,collapsed,resistance_heater_spc,electricity,Per-sector copy of the SPC duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRSPCELCHP01,Low-temperature space heat technology based on heat pump,Ceramics,Heat pump,ICRSPC,electricity,heat_pump,,collapsed,heat_pump_spc_air,electricity,Per-sector copy of the SPC duty served by category `Heat pump`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICRSPCHDG01,Low-temperature space heat  technology based on hydrogen (boiler),Ceramics,Hydrogen,ICRSPC,hydrogen,boiler,,collapsed,boiler_spc_hydrogen,hydrogen,Per-sector copy of the SPC duty served by category `Hydrogen`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHHVCSCELEC01,Electric Steam Cracker for high value Chemicals,Chemicals,Electricity,IHVC,electricity,cracker,,preserved,steam_cracker_elec,electricity,"Chemistry node, electric steam cracker.",
ICHHVCSCHYD01,Hydrogen fuel switching in High Value Chemicals,Chemicals,Hydrogen,IHVC,hydrogen,cracker,,preserved,steam_cracker_hydrogen,hydrogen,"Chemistry node, hydrogen fuel switch in HVC.",
ICHHVCSCQE01,Electric Steam Cracker for high value Chemicals with CCS,Chemicals,CCS,IHVC,electricity,cracker,ccs,preserved,ccs_amine_hvc_elec,electricity,"CCS category, electric steam cracker.",
ICHNEUOTH01,Process representing the future other non-energy fuel use (everything apart from non-energy fuel use in ammonia and high value chemicals production),Chemicals,Standard_FF,ICHNEUOTH,petroleum_products_misc,feedstock,,preserved,non_energy_use_feedstock,petroleum_products_misc,A2: `Standard_FF` on the residual non-energy fuel use process. unit.csv binds petroleum_products_misc (COMIT commodity INDNEUMSC).,
ICHAMMSRS01,Steam reformer (standard) for ammonia production,Chemicals,Natural gas,IAM,natural_gas,reformer,,preserved,ammonia_smr_gas,natural_gas,"Chemistry node, ammonia steam reforming.",
ICHAMMSRQ01,Steam reformer with CCS for ammonia production,Chemicals,CCS,IAM,natural_gas,reformer,ccs,preserved,ccs_amine_ammonia,natural_gas,CCS category. Steam reformer with CCS for ammonia; abates_unit_id resolves to ammonia_smr_gas.,
ICHHVCSCN01,Oil naphtha steam cracker for the production of high value chemicals,Chemicals,Oil,IHVC,petroleum_products_misc,cracker,,preserved,steam_cracker_naphtha,petroleum_products_misc,"A1: category `Oil` here means naphtha feedstock, not LPG; unit.csv binds petroleum_products_misc.",
ICHHVCSCQH01,Steam cracker with post-combustion CCS using excess heat,Chemicals,CCS,IHVC,natural_gas,cracker,ccs,unmapped,,,CCS category. 'post-combustion CCS using excess heat' -- a distinct reboiler heat source. unit.csv has no excess-heat variant; folding it into ccs_amine_hvc_gas would assert a gas reboiler the source denies. Requested in DONE_lineage.md.,
ICHHVCSCO01,Oil byproduct catalytic cracker for the production of high value chemicals,Chemicals,Standard_FF,IHVC,petroleum_products_misc,cracker,,preserved,steam_cracker_byproduct,petroleum_products_misc,"A2: `Standard_FF` on 'Oil byproduct catalytic cracker' -> petroleum_products_misc, matching unit.csv.",
ICHHVCSCQG01,Steam cracker with post-combustion CCS with natural gas boiler for the production of high value chemicals,Chemicals,CCS,IHVC,natural_gas,cracker,ccs,preserved,ccs_amine_hvc_gas,natural_gas,"CCS category, natural gas reboiler.",
ICHHVCSCE01,Generic process technology for the production of HVCs,Chemicals,Natural gas,IHVC,natural_gas,cracker,,preserved,steam_cracker_gas,natural_gas,A2: `Natural gas` category on the generic HVC production technology -> steam_cracker_gas.,
ICHHVCSCQB01,Steam cracker with post-combustion CCS with biomass boiler for the production of high value chemicals,Chemicals,CCS,IHVC,wood_pellets,cracker,ccs,preserved,ccs_amine_hvc_biomass,wood_pellets,"CCS category. INDPELL in emitting_fuel_commodities -> wood_pellets, matching unit.csv.",
ICHHVCSCQN01,Steam cracker with post-combustion CCS with NGCC,Chemicals,CCS,IHVC,natural_gas,cracker,ccs,unmapped,,,CCS category. 'post-combustion CCS with NGCC' -- reboiler steam from a gas CCGT rather than a gas boiler. unit.csv has no NGCC variant. Requested in DONE_lineage.md.,
ICHCHPBIOS01,Steam turbine CHP based on solid biomass,Chemicals,Biomass,ICHSTM,solid_biomass,chp,,collapsed,chp_biomass_st,solid_biomass,Per-sector copy of a CHP archetype; collapses into the STM service spine unit under D13 (a unit is family-or-node x fuel).,
ICHCHPCCGT01,CCGT CHP based on natural gas,Chemicals,Natural gas,ICHSTM,natural_gas,chp,,preserved,chp_gas_ccgt,natural_gas,Per-sector copy of a CHP archetype; collapses into the STM service spine unit under D13 (a unit is family-or-node x fuel).,
ICHCHPCOA01,Steam turbine CHP based on coal,Chemicals,Coal,ICHSTM,coal,chp,,preserved,chp_coal_st,coal,Per-sector copy of a CHP archetype; collapses into the STM service spine unit under D13 (a unit is family-or-node x fuel).,
ICHCHPLPG01,CCGT CHP based on liquified petroleum gas,Chemicals,Oil,ICHSTM,lpg,chp,,preserved,chp_lpg_ccgt,lpg,Per-sector copy of a CHP archetype; collapses into the STM service spine unit under D13 (a unit is family-or-node x fuel).,
ICHDRYBIOS01,Drying / separation technology based on solid biomass,Chemicals,Biomass,ICHDRY,solid_biomass,dryer,,collapsed,dryer_direct_biomass,solid_biomass,Per-sector copy of the DRY duty served by category `Biomass`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHDRYLPG01,Drying / separation technology based on liquified petroleum gas,Chemicals,Oil,ICHDRY,lpg,dryer,,collapsed,dryer_direct_lpg,lpg,Per-sector copy of the DRY duty served by category `Oil`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHDRYNGA01,Drying / separation technology based on natural gas,Chemicals,Natural gas,ICHDRY,natural_gas,dryer,,collapsed,dryer_direct_gas,natural_gas,Per-sector copy of the DRY duty served by category `Natural gas`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHHTHHCO01,High-temperature heat technology based on coal (boiler),Chemicals,Coal,ICHHTH,coal,furnace,,collapsed,furnace_ht_coal,coal,Per-sector copy of the HTH duty served by category `Coal`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHHTHNGA01,High-temperature heat technology based on natural gas / biomethane (boiler),Chemicals,Natural gas,ICHHTH,natural_gas,furnace,,collapsed,furnace_ht_gas,natural_gas,Per-sector copy of the HTH duty served by category `Natural gas`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHLTHBIOS01,Low-temperature heat technology based on solid biomass (boiler),Chemicals,Biomass,ICHLTH,solid_biomass,boiler,,collapsed,boiler_lt_biomass,solid_biomass,Per-sector copy of the LTH duty served by category `Biomass`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHLTHHCO01,Low-temperature heat technology based on coal (boiler),Chemicals,Coal,ICHLTH,coal,boiler,,collapsed,boiler_lt_coal,coal,Per-sector copy of the LTH duty served by category `Coal`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHLTHLPG01,Low-temperature heat technology based on liquified petroleum gas (boiler),Chemicals,Oil,ICHLTH,lpg,boiler,,collapsed,boiler_lt_lpg,lpg,Per-sector copy of the LTH duty served by category `Oil`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHLTHNGA01,Low-temperature heat technology based on natural gas (boiler),Chemicals,Natural gas,ICHLTH,natural_gas,boiler,,collapsed,boiler_lt_gas,natural_gas,Per-sector copy of the LTH duty served by category `Natural gas`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHOTHBIOS01,Generic process technology for other energy services based on solid biomass,Chemicals,Biomass,ICHOTH,solid_biomass,generic_process,,collapsed,generic_process_biomass,solid_biomass,Per-sector copy of the OTH duty served by category `Biomass`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHOTHLPG01,Generic process technology for other energy services liquified petroleum gas,Chemicals,Oil,ICHOTH,lpg,generic_process,,collapsed,generic_process_lpg,lpg,Per-sector copy of the OTH duty served by category `Oil`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHOTHNGA01,Generic process technology for other energy services based on natural gas / biomethane,Chemicals,Natural gas,ICHOTH,natural_gas,generic_process,,collapsed,generic_process_gas,natural_gas,Per-sector copy of the OTH duty served by category `Natural gas`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHSPCBIOS01,Low-temperature space heat technology based on solid biomass (boiler),Chemicals,Biomass,ICHSPC,solid_biomass,boiler,,collapsed,boiler_spc_biomass,solid_biomass,Per-sector copy of the SPC duty served by category `Biomass`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHSPCNGA01,Low-temperature space heat  technology based on natural gas (boiler),Chemicals,Natural gas,ICHSPC,natural_gas,boiler,,collapsed,boiler_spc_gas,natural_gas,Per-sector copy of the SPC duty served by category `Natural gas`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICH01,"Demand technology (not an actual technology only transforms energy services (ICHDRY, ICHHTH, ICHLTH, ICHMOT, ICHREF, ICHOTH, ICSPC) into final demand commodity (ICH))",Chemicals,Standard_FF,ICH,,demand,,dropped,,,"Dropped: COMIT demand technology. It converts a sector's energy-service commodities into the sector demand commodity, has no fuel input (emitting_fuel_commodities is empty) and no cost or capacity. The data migration's Group A excludes the sector-level demand commodities explicitly. V1b (parity against the frozen R run) compares nothing through it.",
ICHCHPCCGTH01,CCGT CHP based on hydrogen,Chemicals,Hydrogen,ICHSTM,hydrogen,chp,,collapsed,chp_hydrogen_ccgt,hydrogen,Per-sector copy of a CHP archetype; collapses into the STM service spine unit under D13 (a unit is family-or-node x fuel).,
ICHCHPPRO01,CCGT CHP based on by-products in the chemicals sector,Chemicals,Standard_FF,ICHSTM,petroleum_products_misc,chp,,preserved,chp_byproduct_ccgt,petroleum_products_misc,Per-sector copy of a CHP archetype; collapses into the STM service spine unit under D13 (a unit is family-or-node x fuel).,
ICHDRYELC01,Drying / separation technology based on electricity,Chemicals,Electricity,ICHDRY,electricity,dryer,,collapsed,dryer_electric,electricity,Per-sector copy of the DRY duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHDRYELCHP01,Drying / separation technology based on heat pump,Chemicals,Heat pump,ICHDRY,electricity,heat_pump,,collapsed,dryer_heat_pump,electricity,Per-sector copy of the DRY duty served by category `Heat pump`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHDRYHDG01,Drying / separation technology based on hydrogen,Chemicals,Hydrogen,ICHDRY,hydrogen,dryer,,collapsed,dryer_direct_hydrogen,hydrogen,Per-sector copy of the DRY duty served by category `Hydrogen`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHDRYSTM01,"Drying / separation technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)",Chemicals,Steam,ICHDRY,,dryer,,collapsed,dryer_steam,,"Per-sector copy of the DRY duty served by category `Steam`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel). carrier_id is deliberately blank: COMIT's `Steam` is heat-from-CHP, which carrier.csv represents as six graded heat bands, and the source row states no grade. Per convention 1 a blank beats a guess, and unit.csv leaves this unit's fuel_carrier_id blank for the same reason.",
ICHHTHELC01,High-temperature heat technology based on electricity (boiler),Chemicals,Electricity,ICHHTH,electricity,furnace,,collapsed,furnace_ht_elec,electricity,Per-sector copy of the HTH duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHHTHHDG01,High-temperature heat technology based on hydrogen (boiler),Chemicals,Hydrogen,ICHHTH,hydrogen,furnace,,collapsed,furnace_ht_hydrogen,hydrogen,Per-sector copy of the HTH duty served by category `Hydrogen`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHLTHELC01,Low-temperature heat technology based on electricity (boiler),Chemicals,Electricity,ICHLTH,electricity,resistance_heater,,collapsed,resistance_heater_lt,electricity,Per-sector copy of the LTH duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHLTHELCHP01,Low-temperature heat  technology based on heat pump,Chemicals,Heat pump,ICHLTH,electricity,heat_pump,,collapsed,heat_pump_lt_air,electricity,Per-sector copy of the LTH duty served by category `Heat pump`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHLTHHDG01,Low-temperature heat technology based on hydrogen (boiler),Chemicals,Hydrogen,ICHLTH,hydrogen,boiler,,collapsed,boiler_lt_hydrogen,hydrogen,Per-sector copy of the LTH duty served by category `Hydrogen`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHLTHSTM01,"Low-temperature heat  technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)",Chemicals,Steam,ICHLTH,,heat_exchanger,,collapsed,heat_exchanger_lt_steam,,"Per-sector copy of the LTH duty served by category `Steam`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel). carrier_id is deliberately blank: COMIT's `Steam` is heat-from-CHP, which carrier.csv represents as six graded heat bands, and the source row states no grade. Per convention 1 a blank beats a guess, and unit.csv leaves this unit's fuel_carrier_id blank for the same reason.",
ICHMOTELC01,Electric motor technology,Chemicals,Electricity,ICHMOT,electricity,motor,,collapsed,motor_elec,electricity,Per-sector copy of the MOT duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHOTHELC01,Generic process technology for other energy services based on electricity,Chemicals,Electricity,ICHOTH,electricity,generic_process,,collapsed,generic_process_elec,electricity,Per-sector copy of the OTH duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHOTHHDG01,Generic process technology for other energy services based on hydrogen,Chemicals,Hydrogen,ICHOTH,hydrogen,generic_process,,collapsed,generic_process_hydrogen,hydrogen,Per-sector copy of the OTH duty served by category `Hydrogen`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHOTHSTM01,"Generic process technology for other energy services based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)",Chemicals,Steam,ICHOTH,,generic_process,,collapsed,generic_process_steam,,"Per-sector copy of the OTH duty served by category `Steam`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel). carrier_id is deliberately blank: COMIT's `Steam` is heat-from-CHP, which carrier.csv represents as six graded heat bands, and the source row states no grade. Per convention 1 a blank beats a guess, and unit.csv leaves this unit's fuel_carrier_id blank for the same reason.",
ICHREFEHFC01,Refrigeration technology,Chemicals,Electricity,ICHREF,electricity,chiller,,collapsed,chiller_electric,electricity,Per-sector copy of the REF duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHREFEHFO01,"Advanced refrigeration technology (with HFO as refrigerant, less HFC emissions)",Chemicals,Electricity,ICHREF,electricity,chiller,,preserved,chiller_electric_hfo,electricity,"Advanced refrigeration with HFO refrigerant -- a distinct unit from chiller_electric because the refrigerant changes the non-CO2 emission, not the fuel.",
ICHSPCELC01,Low-temperature space heat technology based on electricity (boiler),Chemicals,Electricity,ICHSPC,electricity,resistance_heater,,collapsed,resistance_heater_spc,electricity,Per-sector copy of the SPC duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHSPCELCHP01,Low-temperature space heat technology based on solid bioheat pump,Chemicals,Heat pump,ICHSPC,electricity,heat_pump,,collapsed,heat_pump_spc_air,electricity,Per-sector copy of the SPC duty served by category `Heat pump`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHSPCHDG01,Low-temperature space heat technology based on hydrogen (boiler),Chemicals,Hydrogen,ICHSPC,hydrogen,boiler,,collapsed,boiler_spc_hydrogen,hydrogen,Per-sector copy of the SPC duty served by category `Hydrogen`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICHSPCSTM01,"Low-temperature heat  technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)",Chemicals,Steam,ICHSPC,,heat_exchanger,,collapsed,heat_exchanger_spc_steam,,"Per-sector copy of the SPC duty served by category `Steam`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel). carrier_id is deliberately blank: COMIT's `Steam` is heat-from-CHP, which carrier.csv represents as six graded heat bands, and the source row states no grade. Per convention 1 a blank beats a guess, and unit.csv leaves this unit's fuel_carrier_id blank for the same reason.",
ICHSTMHP01,Steam generation by heat pump,Chemicals,Heat pump,ICHSTM,electricity,heat_pump,,collapsed,heat_pump_ht,electricity,Per-sector copy of the STM duty served by category `Heat pump`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICNOTHBIOS01,Generic process technology for other energy services based on solid biomass,Construction,Biomass,ICNOTH,solid_biomass,generic_process,,collapsed,generic_process_biomass,solid_biomass,Per-sector copy of the OTH duty served by category `Biomass`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICNOTHHCO01,Generic process technology for other energy services based on coal,Construction,Coal,ICNOTH,coal,generic_process,,collapsed,generic_process_coal,coal,Per-sector copy of the OTH duty served by category `Coal`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICNOTHLPG01,Generic process technology for other energy services based on liquified petroleum gas,Construction,Oil,ICNOTH,lpg,generic_process,,collapsed,generic_process_lpg,lpg,Per-sector copy of the OTH duty served by category `Oil`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICNOTHNGA01,Generic process technology for other energy services based on natural gas / biomethane,Construction,Natural gas,ICNOTH,natural_gas,generic_process,,collapsed,generic_process_gas,natural_gas,Per-sector copy of the OTH duty served by category `Natural gas`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
ICN01,Demand technology (not an actual technology only transforms energy services (ICNOTH) into final demand commodity (ICN)),Construction,Standard_FF,ICN,,demand,,dropped,,,"Dropped: COMIT demand technology. It converts a sector's energy-service commodities into the sector demand commodity, has no fuel input (emitting_fuel_commodities is empty) and no cost or capacity. The data migration's Group A excludes the sector-level demand commodities explicitly. V1b (parity against the frozen R run) compares nothing through it.",
ICNOTHELC01,Generic process technology for other energy services based on electricity,Construction,Electricity,ICNOTH,electricity,generic_process,,collapsed,generic_process_elec,electricity,Per-sector copy of the OTH duty served by category `Electricity`; collapses into the service spine unit under D13 (a unit is family-or-node x fuel).,
