carb3_activity,shape_id,process_id,shape_class,duty_factor,peak_to_mean,runs_when_idle,seasonality,provenance,confidence
Aggregate/Mineral Processing Plant / Depot,aggregate_mineral_processing_plant_depot__mobile_plant,mobile_plant,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('wheel loaders; material handlers') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Aggregate/Mineral Processing Plant / Depot,aggregate_mineral_processing_plant_depot__site_services,site_services,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('weighbridge; offices; lighting') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Aircraft works,aircraft_works__machine_drive,machine_drive,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('5-axis CNC machining centres; riveting/fastening tools; air compressor') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Aircraft works,aircraft_works__process_heating,process_heating,batch_cyclic,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('autoclaves; heat-treatment furnaces; composite cure ovens; paint stovi') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists batch ovens, autoclaves, curing and electric melting under batch_cyclic)",low
Aircraft works,aircraft_works__process_cooling,process_cooling,standing,,,TRUE,summer_weighted,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('chillers; environmental test chambers') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Aircraft works,aircraft_works__surface_treatment,surface_treatment,batch_cyclic,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('anodising lines; plating baths; paint booths') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists batch ovens, autoclaves, curing and electric melting under batch_cyclic)",low
Aircraft works,aircraft_works__other_process,other_process,intermittent,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('engine test cells; NDT equipment') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists welding, hand tools and workshop equipment under intermittent)",low
Aircraft works,aircraft_works__steam_hot_water,steam_hot_water,batch_cyclic,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('steam boilers; CHP') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists batch ovens, autoclaves, curing and electric melting under batch_cyclic)",low
Aircraft works,aircraft_works__site_services,site_services,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('hangar high-bay lighting; clean-room AHUs; large office/design blocks') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Aircraft works,aircraft_works__space_heating,space_heating,seasonal,,,FALSE,winter_weighted,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('hangar heating; warm-air systems') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists space heating and seasonal campaigns under seasonal),low
Aluminium Smelting Works,aluminium_smelting_works__alumina_materials_handling,alumina_materials_handling,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('pneumatic conveyors; silos; pot feeders') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Aluminium Smelting Works,aluminium_smelting_works__electrolysis_potlines,electrolysis_potlines,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('reduction cells/pots; AC-DC rectifiers; gas treatment/scrubbers') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Aluminium Smelting Works,aluminium_smelting_works__anode_production_baking,anode_production_baking,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('paste plant mixers; gas-fired anode baking furnace; rodding shop') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Aluminium Smelting Works,aluminium_smelting_works__cast_house,cast_house,batch_cyclic,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('gas-fired holding furnaces; ingot/billet casting lines; homogenising f') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists batch ovens, autoclaves, curing and electric melting under batch_cyclic)",low
Aluminium Smelting Works,aluminium_smelting_works__site_services,site_services,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('air compressors; lighting; maintenance workshops') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Artificial Fibre Works,artificial_fibre_works__polymer_melt_extrusion,polymer_melt_extrusion,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('screw extruders; heat-transfer-medium (Dowtherm) heaters; spin beams a') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Artificial Fibre Works,artificial_fibre_works__chip_drying,chip_drying,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('chip dryers; crystallisers') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Artificial Fibre Works,artificial_fibre_works__spinning_quench_winding,spinning_quench_winding,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('quench air cabinets; godets; high-speed winders; spin-finish applicati') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Artificial Fibre Works,artificial_fibre_works__drawing_texturing,drawing_texturing,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('draw frames; texturing machines; heater tracks') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Artificial Fibre Works,artificial_fibre_works__spinning_hvac,spinning_hvac,standing,,,TRUE,summer_weighted,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('air washers/AHUs; chillers; humidity control plant') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Artificial Fibre Works,artificial_fibre_works__compressed_air,compressed_air,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('air compressors; interlacing jets') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Artificial Fibre Works,artificial_fibre_works__site_services,site_services,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('lighting; offices; space heating') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Asphalt Plant,asphalt_plant__cold_feed_conveying,cold_feed_conveying,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('cold feed bins; feed conveyors') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Asphalt Plant,asphalt_plant__aggregate_drying_heating,aggregate_drying_heating,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('rotary dryer drum; drum burner; drum drive') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Asphalt Plant,asphalt_plant__screening_mixing,screening_mixing,batch_cyclic,,,FALSE,none,"[ES_ASPHALT_2023] 'batch plants screen to hot bins and mix in a pugmill' (Section 1.1, p.2), via activity_process_register.csv — the UK batch-plant configuration cycles per mix load; shape_class per [CARB3_SPEC_IMPL] §3.13 shape-class table",medium
Asphalt Plant,asphalt_plant__bitumen_storage_heating,bitumen_storage_heating,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('heated binder tanks; hot oil heater; binder pumps') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Asphalt Plant,asphalt_plant__exhaust_baghouse,exhaust_baghouse,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('exhaust fan; baghouse filters; dust return screws') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Asphalt Plant,asphalt_plant__loadout_storage,loadout_storage,intermittent,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('storage silos; drag conveyor; load-out systems') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists welding, hand tools and workshop equipment under intermittent)",low
Asphalt Plant,asphalt_plant__mobile_plant,mobile_plant,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('wheel loaders; yard vehicles') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Asphalt Plant,asphalt_plant__site_services,site_services,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('control cabin; compressed air; lighting') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Beet Sugar Factory,beet_sugar_factory__beet_reception_preparation,beet_reception_preparation,throughput_following,,,FALSE,campaign,"[VOA_RM_BEET_SUGAR] 'This occurs during the ""campaign"" months of September to February' and 'plant and buildings associated with the above are utilised for only part of the year' (Section 6.3) — front-end beet handling runs in campaign only; shape_class per [CARB3_SPEC_IMPL] §3.13 shape-class table",medium
Beet Sugar Factory,beet_sugar_factory__extraction_diffusion,extraction_diffusion,flat,,,FALSE,campaign,"[VOA_RM_BEET_SUGAR] 'This occurs during the ""campaign"" months of September to February' (Section 6.3); continuous diffusion tower within the campaign; shape_class per [CARB3_SPEC_IMPL] §3.13 shape-class table",medium
Beet Sugar Factory,beet_sugar_factory__lime_kiln,lime_kiln,flat,,,FALSE,campaign,[VOA_RM_BEET_SUGAR] campaign months September to February (Section 6.3); the lime kiln serves carbonatation of raw juice and so runs with the front end; shape_class per [CARB3_SPEC_IMPL] §3.13 shape-class table,medium
Beet Sugar Factory,beet_sugar_factory__evaporation,evaporation,flat,,,FALSE,campaign,[VOA_RM_BEET_SUGAR] campaign months September to February (Section 6.3); thick juice is made in campaign and stored; shape_class per [CARB3_SPEC_IMPL] §3.13 shape-class table,medium
Beet Sugar Factory,beet_sugar_factory__crystallisation_sugar_house,crystallisation_sugar_house,batch_cyclic,,,FALSE,none,"[VOA_RM_BEET_SUGAR] 'The back end known as the ""juice run"" converts thick juice into sugar crystals and now occurs all year round thus improving the asset utilisation' (Section 6.3) — so not campaign; vacuum pans and centrifugals are batch machines; shape_class per [CARB3_SPEC_IMPL] §3.13 shape-class table",medium
Beet Sugar Factory,beet_sugar_factory__pulp_pressing_drying,pulp_pressing_drying,flat,,,FALSE,campaign,[VOA_RM_BEET_SUGAR] campaign months September to February (Section 6.3); pulp is a co-product of campaign slicing; shape_class per [CARB3_SPEC_IMPL] §3.13 shape-class table,medium
Beet Sugar Factory,beet_sugar_factory__site_services,site_services,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('lighting; effluent plant') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Brewery,brewery__brewhouse,brewhouse,batch_cyclic,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('malt mill; mash tun; wort kettle; wort cooler') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists batch ovens, autoclaves, curing and electric melting under batch_cyclic)",low
Brewery,brewery__packaging,packaging,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('tunnel pasteuriser; keg washer; filler lines') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Brewery,brewery__refrigeration,refrigeration,standing,,,TRUE,summer_weighted,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('glycol chillers; ammonia plant; FV cooling jackets') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Brewery,brewery__compressed_air,compressed_air,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('air compressors') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Brewery,brewery__cip_utilities,cip_utilities,batch_cyclic,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('CIP sets; hot liquor tanks') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists batch ovens, autoclaves, curing and electric melting under batch_cyclic)",low
Brewery,brewery__site_services,site_services,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('lighting; boiler feed pumps; offices') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Brickworks / clay tile/pipe works,brickworks_clay_tile_pipe_works__clay_preparation,clay_preparation,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('box feeders; pan/roller mills; screens; mixers') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Brickworks / clay tile/pipe works,brickworks_clay_tile_pipe_works__shaping_extrusion,shaping_extrusion,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('vacuum extruder; soft-mud moulding machine; wire cutters') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Brickworks / clay tile/pipe works,brickworks_clay_tile_pipe_works__drying,drying,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('chamber dryers; tunnel dryers; dryer circulation fans') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Brickworks / clay tile/pipe works,brickworks_clay_tile_pipe_works__setting_handling,setting_handling,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('setting robots; kiln cars; dehacking line; strapping/wrapping') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Brickworks / clay tile/pipe works,brickworks_clay_tile_pipe_works__kiln_firing,kiln_firing,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('tunnel kiln; kiln burners; combustion air and exhaust fans') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Brickworks / clay tile/pipe works,brickworks_clay_tile_pipe_works__site_services,site_services,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('compressed air; lighting; offices') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Brickworks / clay tile/pipe works,brickworks_clay_tile_pipe_works__clay_extraction_mobile_plant,clay_extraction_mobile_plant,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('hydraulic excavators; wheel loaders; articulated dump trucks') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Cement Tile Works,cement_tile_works__batching_mixing,batching_mixing,batch_cyclic,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('pan mixers; sand/cement weigh batchers') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists batch ovens, autoclaves, curing and electric melting under batch_cyclic)",low
Cement Tile Works,cement_tile_works__extrusion_pressing,extrusion_pressing,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('tile extruder; profile rollers; pallet circulation') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Cement Tile Works,cement_tile_works__curing_chambers,curing_chambers,batch_cyclic,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('curing chambers; gas-fired boiler/heaters; humidity control') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists batch ovens, autoclaves, curing and electric melting under batch_cyclic)",low
Cement Tile Works,cement_tile_works__coating_finishing,coating_finishing,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('slurry/acrylic coating line; tile driers') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Cement Tile Works,cement_tile_works__depalletting_packaging,depalletting_packaging,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('depalletter; strapping/shrink-wrap lines') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Cement Tile Works,cement_tile_works__mobile_plant,mobile_plant,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('forklifts; yard loaders') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Cement Tile Works,cement_tile_works__site_services,site_services,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('compressed air; lighting; building heat') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Cement Works,cement_works__quarrying_crushing,quarrying_crushing,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('primary/secondary crushers; quarry conveyors') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Cement Works,cement_works__raw_grinding_blending,raw_grinding_blending,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('vertical roller raw mill; ball mill; separators') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Cement Works,cement_works__raw_meal_homogenisation,raw_meal_homogenisation,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('blending silos; air-fluidised homogenising silos') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Cement Works,cement_works__kiln_pyroprocessing,kiln_pyroprocessing,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('cyclone preheater tower; precalciner; rotary kiln; kiln ID fans; coal/') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Cement Works,cement_works__clinker_cooling,clinker_cooling,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('grate cooler; cooler fans') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Cement Works,cement_works__cement_grinding,cement_grinding,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('ball mill; high-pressure roller press; vertical roller mill; separator') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Cement Works,cement_works__packing_dispatch,packing_dispatch,intermittent,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('pneumatic/mechanical conveyors; packers; silo loadout') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists welding, hand tools and workshop equipment under intermittent)",low
Cement Works,cement_works__site_services,site_services,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('lighting; compressed air; offices') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Cement Works,cement_works__quarry_mobile_plant,quarry_mobile_plant,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('hydraulic excavators; wheel loaders; rigid dump trucks') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Chemical Works,chemical_works__reaction_heating,reaction_heating,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('fired heaters; jacketed reactors; heat-transfer-oil systems') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Chemical Works,chemical_works__distillation_separation,distillation_separation,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('distillation columns and reboilers; evaporators; strippers') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Chemical Works,chemical_works__drying,drying,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('spray dryers; rotary/fluid-bed dryers') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Chemical Works,chemical_works__utilities_steam,utilities_steam,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('package boilers; CHP; deaerators; steam distribution') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Chemical Works,chemical_works__process_machine_drives,process_machine_drives,throughput_following,,,FALSE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('pumps; compressors; agitators; materials handling') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists mills, crushers, conveyors and pumps under throughput_following)",low
Chemical Works,chemical_works__refrigeration,refrigeration,standing,,,TRUE,summer_weighted,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('ammonia/HFC refrigeration sets; chilled water plant') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
Chemical Works,chemical_works__electrochemical_processes,electrochemical_processes,flat,,,FALSE,none,No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('chlor-alkali cells; electrolysers') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists rotary kiln / continuous furnace / continuous digester under flat),low
Chemical Works,chemical_works__site_services,site_services,standing,,,TRUE,none,"No load-shape source found. shape_class assigned from the equipment recorded in activity_process_register.csv ('lighting; HVAC; compressed air; offices/labs') against the [CARB3_SPEC_IMPL] §3.13 shape-class table (§3.13 lists refrigeration, lighting, compressed air and site services under standing)",low
