carb3_activity,notes
Coking and Carbonising Plant,"The Iron and Steel BREF (2013, PDF located) defines the plant sections and the STET 2024 oven energy analysis confirms underfiring heat dominance (51.2% of oven energy input used as coking heat), but no published electricity breakdown by section was found, so electricity shares are engineering-tier from rated-equipment logic. Underfiring at UK-style by-product plants normally uses internally returned coke oven gas rather than purchased gas, so metered-gas rows apply only where mains gas supplements underfiring."
Concrete Block Works,"LBNL-5342E covers CMU plants directly: curing takes 60% of plant energy, all natural gas goes to the curing kiln/boiler, diesel is forklift/loader fuel, electricity is 13% of total (Table 4, p.11). The electricity sub-split is engineering-tier; UK block plants using unheated/ambient curing would show a smaller gas meter but the same structure."
Concrete Product Works,"LBNL-5342E gives published precast data: curing is ~44% of plant energy, gas splits 85% boiler / 15% building heat (Table 5, p.12), electricity ~17% of total. The electricity sub-split and the fuel-oil-to-boiler attribution are engineering-tier. LPG use (42 kBtu/yd3 in Table 5) had no stated end use, so no 'other' vector rows are supplied."
Concrete batching plant,"LBNL-5342E provides a rare published end-use split for ready-mix plants covering electricity (mixer 65%, water pump 20%, dust extractor 3%), gas (boiler 76% / building heat 24%) and diesel (boiler 54% / trucks 40% / building heat 6%). US data (2011) but directly analogous to UK batching plants; heating is seasonal (frost protection)."
Creamery,"Electricity split is published (LBNL/Energy Star Figure 4.3, US) and consistent with the UK 25% refrigeration figure for liquid milk; fuel is published only at the 80/20 process-vs-building level, so the process-heat sub-split is engineering allocation using Ramirez-derived product tables. Site product mix (powder vs liquid vs cheese) moves the evaporation_drying share strongly."
Distillery,Strong UK published evidence that ~85-90% of malt distillery heat goes to distillation (Scottish Enterprise/Ricardo hydrogen study; Briggs of Burton); electricity end-use split is unpublished and built from case-study equipment lists. Grain distillery split is engineering judgement only — no published unit-operation breakdown was found.
Effluent Minewater Treatment Plant,"Coal Authority annual reporting provides scheme counts, treated volumes and total electricity (30,482,157 kWh in 2023-24) and attributes demand to pumping, but no process-level percentages; shares are engineering-tier reflecting the largely passive nature of UK minewater treatment. Only the electricity vector is material."
Exhaust and tyre centre,"No published data specific to fast-fit exhaust/tyre centres was found; the profile is a fallback copy of the vehicle repair garage split, which is operationally the closest sibling (same building type and equipment classes, with somewhat higher compressed-air duty)."
Factory,"Anchored on MECS 2022 Table 5.2 NAICS 333 (machinery) as the generic discrete-manufacturing proxy, corroborated qualitatively by Carbon Trust CTV059 (motors ~25% of site electricity, lighting >10%, space heating 11% of manufacturing energy). US sector-level proxy for a UK site class, so confidence capped at medium; oil/coal/biomass rows omitted (no end-use evidence; oil-fired sites would mirror the gas split)."
Flour Mill,"Milling is an almost entirely electrical activity (~75% of electricity in motors; 4-7 kWh/cwt US benchmark). The only unit-operation percentage found published is the pneumatic/high-pressure fan share (23-28%, Bühler); the remainder is engineering allocation. UK Flour Millers/nabim publish no public end-use split."
Food Processing Centre,"No single published unit-operation split exists for a generic food factory; profile is built from the technology shares (boilers 54%, direct heating 27%, motors 12%, refrigeration 5%, compressed air 2%) and the subsector refrigeration table in the 2015 DECC/BIS Food and Drink roadmap report."
Foundry,"Strong published evidence: DOE/Eppich 2003 facility audits give per-facility electricity and gas breakdowns by unit operation (multiple exhibits seen), and DOE Advanced Melting Technologies confirms melting at ~55% of total foundry energy. Values are US (2003) so confidence is medium; central values were synthesised across the audited cupola, induction and arc facilities to represent a generic UK foundry. No UK-specific (BCIRA/CMF) quantitative audit was located online."
Industrial Minerals NEC,"Lime is used as the archetype for this NEC group, with strong EuLA/Ecofys evidence: kiln heat is 'by far the majority' of energy, electricity ~60 kWh/t (~5% of total) with BREF per-function kWh/t ranges enabling an engineering electricity split. Plaster/gypsum works (low-temperature kettle calcination ~150-165 degC) and calcined clay plants differ in kiln type and temperature but share the same crush-calcine-mill-pack structure; no separate published split was found for them."
Industrial NEC,"Not-elsewhere-classified catch-all: profile is a fallback copy of the generic 'Factory' (MECS NAICS 333) split. The UK BEES survey publishes a Factories-sector end-use split that would be a better UK anchor, but its sector reports are only distributed in a ZIP that could not be retrieved in this session."
Iron and/or Steel Works,"EAF set is the default: Port Talbot's blast furnaces closed in late 2024 and its EAF is under construction (construction under way in 2025-26, with CRU reporting possible delay to 2028), so Scunthorpe is GB's only remaining operating BF-BOF works, kept running under government direction since April 2025 (Commons Library CBP-10278); most operating GB steelworks (Celsa, Forgemasters, Liberty, and Port Talbot once commissioned) are EAF-based. No single published UK per-vector unit-operation breakdown was found — the DECC 2015 roadmap gives sector fuel mix (Figure 8) and CO2 by stage (Figure 7) but not energy-by-process — so shares are engineering-tier built on Stubbles/DOE process intensities. Internally generated works gases (COG/BFG, >60% of an integrated plant's energy per worldsteel) are excluded because they are not metered purchased vectors. Internal mobile plant diesel (scrap handling, slag transport) is in scope per the 2026-08-24 decision but no oil-vector split is populated yet - left absent (not assessed)."
Laboratory,"Strong UK evidence: the S-Lab/HEEPI audits of five UK university laboratories (Hopkinson et al. 2011) publish total-energy end-use splits (ventilation 45-60%, heating 20%, equipment 15-25%, lighting 5-10%; Table 7 p16); LBNL Labs21 material corroborates ventilation dominance. Shares here are the published split re-expressed per vector (heating assigned to gas, the rest to electricity), hence engineering tier despite the published basis. HVAC/ventilation is the dominant electricity process as required."
"Large industrial (> 20,000 m2) NEC","By definition (not elsewhere classified) no activity-specific evidence exists; the profile is a fallback copy of the generic 'Factory' (MECS NAICS 333) split, directionally supported by BEIS Business Energy Statistical Summary charts. Large NEC sites are heterogeneous — treat with low confidence."
Maltings - Non Trad,Same evidence base as traditional maltings: kilning dominance is well attested (800 kWh/t kilning heat) but no published percentage split by unit operation was retrievable (CTG053 located on Issuu but unreadable); electricity shares are engineering estimates reflecting the additional germination-vessel fan load of pneumatic plants.
Maltings - Trad,"Kilning's dominance of malting fuel use is well supported (800 kWh/t kilning heat, Springer 2016; MAGB describes kiln heat recovery and fan VSDs as the principal measures), but no published unit-operation percentage split was located — Carbon Trust CTG053 exists (seen on Issuu) but its text could not be retrieved, so shares are engineering estimates."
Mill,"No published end-use data specific to generic UK 'Mill' premises was found; the profile is a fallback copy of the 'Works' (MECS NAICS 332) split with plating reassigned to machine drive. The gas split assumes gas-fired drying exists; where a mill has no drying, expect space heating to dominate gas instead."
Mineral Production - Brine,"The Salt Association documents the full UK vacuum-salt process chain (solution mining, purification, multiple-effect evaporation, centrifuging, fluid-bed drying) but publishes no energy percentages, and the LVIC-S BREF was located but its salt energy tables were not verified; all shares are engineering-tier. Steam-raising for evaporation is unambiguously the dominant fuel use; sites with mechanical vapour recompression would shift evaporation load onto the electricity vector."
Mineral Production - Coal,"The DOE bandwidth study gives a genuine unit-operation breakdown for coal mining (Exhibit 20, p.27); the engineering step is allocating its categories to the electricity vs oil vectors (supported by the study's own diesel/electric splits, Section 3.2). US-average and 2007-vintage; remaining UK coal activity is surface-only, so ventilation and grinding shares overstate a UK surface site."
Mineral Production - Gas,"NSTA EMR 2024 verifies that power generation/compression combustion dominates UK upstream energy use (79% of offshore emissions; terminals 17% of industry total) but publishes no terminal-level unit-operation split, so the gas-vector shares are engineering-tier. Electricity-vector rows are omitted: no defensible split between electric compression, pumps and utilities was found."
Mineral Production - Inert,"A 2026 LCA of recycled-aggregate production supplies a real on-site diesel breakdown (loaders vs internal haulage) but only a facility-wide electricity total, so the electricity split is borrowed from the aggregates sibling. Sites running diesel mobile crushers will have materially different oil-vector shares; no published split for that configuration was found."
Mineral Production - Oil,"No published unit-operation energy breakdown for UK onshore oil production was located; NSTA emissions data are offshore-dominated (power generation 79% of 2023 offshore emissions, EMR 2024 Fig.3 p.8) and not process-resolved. Electricity shares are therefore engineering-tier rated-equipment logic; gas and oil vectors are omitted rather than guessed."
Mineral Production - Other Mineral Category,"Catch-all category with no category-specific published split; the full profile is borrowed from the 'Rock, Sand, Clay' sibling, with the process list cross-checked against the DOE bandwidth industrial-minerals unit operations (Exhibit 22). Thermally-intensive 'other' minerals (e.g. with drying/calcining) are not represented."
Mineral Production - Putrescible,"Published totals are solid: AD parasitic electricity 59.1 kWh/t input (8.4% of gross output) and pasteurisation/digester heat 113.4 kWh/t at the UK Biocycle plant (IEA Bioenergy, Table 5); windrow composting 29 kWh/ton at 71% fuel / 29% electricity (van Haaren). Neither source sub-divides by unit operation, so all sub-splits are engineering-tier. Digester heat is normally self-supplied from biogas CHP, so no metered gas/biomass rows are given."
"Mineral Production - Rock, Sand, Clay etc.","Best-evidenced activity. Published unit-operation splits from the US DOE limestone/crushed rock profile (2002) cover both the diesel (mining) and electricity (processing) vectors; NSSGA and MPA confirm mobile-plant diesel dominance in modern practice. Washing-plant and site-services electricity is not separated in any located source, so the electricity split covers the crushing-screening-conveying circuit only."
Motor Vehicle Works,"Strongest-evidenced activity in this group: electricity split comes from LBNL-50939 Table 2 (p.7), independently corroborated by ENERGY STAR Industry Insights 2015; gas split uses MECS 2022 NAICS 336 sector end uses interpreted via the LBNL narrative (paint ovens, steam/hot water, space heating). Both sources are US; no equivalent UK plant-level disclosure was found."
Newspaper print works,"No published coldset-newspaper-specific energy split was found (Carbon Trust printing guide CTV028 could not be located). The PrintCity Alliance web offset report gives a plant-level production breakdown (drives 25-40%, process heating/cooling 30-50%, compressed air 5%, lighting <10%) which was adapted to coldset by removing the gas-fired dryer; all rows are therefore engineering tier."
"Oil refinery, gas processing etc","Vector mapping per rule 7: internally generated fuels (refinery still gas and FCC catalyst coke) are metered as the 'other' vector and carry the published unit-level split (ENERGY STAR guide Table 3 p23, US 2011 data — the best per-unit breakdown found; UK Solomon/Concawe unit-level splits are not public); purchased natural gas ('gas') is allocated by engineering judgement to hydrogen production, boilers/cogen and supplemental heater firing; electricity is an engineering pro-rata allocation. Oil/coal vectors omitted (not material at UK refineries)."
Paper Mill,"UK roadmap (s3.2.1) confirms GB stock is overwhelmingly recycled-fibre with only minority virgin (mechanical) pulping and no integrated kraft, so no kraft_integrated set is offered (no defensible UK split found). Published evidence gives the shape (paper machine ~2/3 of energy, dryer-dominated; stock prep/vacuum/drives dominate electricity) but not exact per-vector percentages, so shares are engineering-tier interpolations of UKPP2015 and LBNLPP2009 statements."
Post Office Sorting Centre,"No published end-use split for mail sorting centres was found (Royal Mail reports disclose totals and initiatives, not end uses; the UK BEES Storage-sector split sits in an unretrievable ZIP). Profile is engineering-tier, anchored on Carbon Trust CTV073 warehousing evidence (lighting 65-95% of ambient warehouse energy, forklifts 7-10%) adjusted for the automated sortation load documented qualitatively for Royal Mail mail centres."
Pottery,"Process list is solidly evidenced (DECC Ceramic Report; whitewares have multiple firings and batch kilns). Quantified anchors are partial: firing ~87% of factory energy (MDPI tableware LCA) and drying ~9% of thermal energy (Qualicer tile study, analogue), so all shares are engineering-tier; the biscuit/glost split is assumed and flagged with wide ranges."
Provender Mill,"A published electricity split by equipment exists (trade press: pelleting 40%, milling 26%, mixing 9%, handling 6%, other 19%) and the steam/gas dominance of pellet conditioning (80-90%) is published; both are non-UK trade sources rather than peer-reviewed audits. No AIC UK-specific end-use data was located."
Pumping Mines,"Coal Authority reporting confirms these sites are essentially single-purpose electric pumping loads (30.5 GWh purchased electricity in 2023-24, rising with volumes of mine water pumped), but publishes no percentage split, so shares are engineering-tier. No other vectors are material."
Scrap Metal/Breakers Yard,"No published unit-operation energy breakdown for scrap/breakers yards was located; the BMRA article on shredding efficiency (located, fetched) confirms shredder electricity as the dominant controllable energy cost but gives no figures. All shares are engineering-tier from rated-equipment logic (multi-MW shredder motors vs diesel mobile plant); the shredding process is optional since most small yards only shear, bale and cut."
"Shipbuilding/ repair, boatyard","Best located evidence is the US EPA sector energy profile (fetched): electricity is 75-80% of shipyard energy expenditure and welding, forging/heating, abrasive blasting and coatings are the main energy-intensive processes, but no quantitative end-use split exists; a Bangladeshi shipyard case study (fetched) gives only vector-level intensities (96 kWh electricity and 12 kg LNG per tonne of steel), not end-use shares. All shares are therefore engineering-tier from rated-equipment logic anchored to the EPA process list."
Tannery,"The Tanning BREF and UNIDO framework confirm the structure (thermal energy to hot floats and drying; electricity to drums, machines, effluent treatment) and the MDPI Catalonian assessment gives the vector mix (gas 72-75%, electricity 25-27%), but no source located publishes a full per-operation split, so all shares are engineering tier; the Kano (Nigeria) audit anchors the machinery and lighting shares."
Vehicle repair workshop / garage,"A real published end-use split exists (MidAmerican Energy auto-shop pie charts: electricity 33% shop equipment / 29% lighting / 12% ventilation etc.; gas 99% space heating). US utility data applied to UK garages, so medium confidence; no UK-specific (Carbon Trust) garage breakdown was found."
Wafer Fabrication,"The Taiwan fab survey (Hu & Chuah 2003) publishes the top-level electricity split (facility systems ~56.6%, process tools ~40.4%) and enumerates facility subsystems; the subsystem split and the gas split are engineering allocations consistent with SST2004's 'HVAC up to 50% of fab electricity'. Statista/EPRI end-use breakdowns exist but were paywalled and not used."
Works,"Anchored on MECS 2022 Table 5.2 NAICS 332 (fabricated metal products), the best published match for a generic fabrication works; electricity and gas rows cross-checked against subtotals. Sector-level US data applied to a UK site class (medium confidence); other vectors omitted for lack of evidence."
Workshop,No published workshop-specific end-use split found; electricity profile is a fallback copy of the 'Factory' (MECS NAICS 333) split and the gas profile is an engineering estimate anchored between CTV059 sector statements and garage evidence. Oil/coal/biomass omitted for lack of evidence (oil-heated workshops would mirror the gas split).
