carb3_activity,carb3_code,comit_sector,coverage,comit_process_analogue,notes
Effluent Minewater Treatment Plant,FA38,,absent,,"Water treatment. Not represented; candidate Water & sewerage sector (note 11)."
Aircraft works,FA39,Vehicles,direct,Demand commodity for the vehicles sector,"Machining/curing collapse into energy services."
Motor Vehicle Works,FA40,Vehicles,direct,Demand commodity for the vehicles sector,"Stamping/welding/painting collapse into energy services."
Mill,,,ambiguous,,"Generic label; could be flour, paper, textile or metal. Not resolvable from CaRB3 alone."
"Oil refinery, gas processing etc",FA42,Refineries,direct,Petroleum products - outputs from oil refining,"COMIT has only 3 refinery technologies; no distillation/cracking split."
Mineral Production - Gas,,,absent,,"Extraction/processing. Not represented."
Cement Works,FA45,Cement,direct,"Clinker; Cement","Calcination maps to Clinker; milling to Cement. Best cement-side match."
Pumping Mines,,,absent,,"Extraction support. Not represented."
Maltings - Non Trad,FA47,Food & drink,direct,Drying / Separation services,"Germination has no analogue; kilning maps to drying."
Aluminium Smelting Works,FA48,Non-ferrous metals,direct,High temperature heat,"COMIT has no electrolytic-cell representation; smelting is a heat/electricity load."
Cement Tile Works,FA49,Cement,direct,Cement,"Forming/curing have no analogue."
Distillery,FA50,Food & drink,direct,"Low temperature heat; Low-temperature steam/heat from CHP","Distillation maps to heat demand."
Mineral Production - Other Mineral Category,,,absent,,"Extraction. Not represented."
Tannery,FA52,Textiles,partial,"Drying / Separation services; Low temperature heat","Only distinctive CaRB3 activity for Textiles; tanning itself not modelled."
Wafer Fabrication,FA53,Electrical engineering,direct,Demand commodity for the electrical engineering sector,"Only distinctive CaRB3 activity for Electrical engineering; no etch/deposition analogue."
Maltings - Trad,FA54,Food & drink,direct,Drying / Separation services,"As FA47."
"Large industrial (> 20,000 m2) NEC",FA55,Other,catch-all,Demand commodity for the other industries sector,"Catch-all to catch-all."
Beet Sugar Factory,FA56,Food & drink,direct,"Drying / Separation services; Low temperature heat","Evaporation maps to heat demand."
Mineral Production - Brine,,,absent,,"Extraction. Not represented."
Artificial Fibre Works,FA58,Chemicals,direct,High-value chemicals,"Extrusion/drawing have no analogue."
Coking and Carbonising Plant,FA59,Iron & steel,direct,Pig iron,"Coke feeds the blast-furnace chain in COMIT."
Industrial NEC,FA99,Other,catch-all,Demand commodity for the other industries sector,"Catch-all to catch-all."
