scope,challenge
minerals,"Publication years are unavailable for several corporate/NGO web pages (LC3, Holcim, O.C.O, CarbonCure, Origen, ICE, TUC, UKGBC); year is recorded as null with the access date."
minerals,"No published evidence was found for electric rotary-drum aggregate drying at asphalt plants; that mapping is engineering judgement (prospective, low confidence)."
minerals,Waste-derived fuel use in high-calcium lime kilns is constrained by product-purity/fuel-contact issues; mapped as prospective on engineering judgement rather than a sector source.
minerals,"Alkali-activated binder supply chain is fragile in the UK (DB Group, owner of Cemfree, entered administration in 2024), which tempers the 'demonstration/commercial' status of AACM mappings."
minerals,"Cross-cutting electricity-only processes (homogenisation, forming, setting/handling, cubing/packaging, water pumping) were deliberately left unmapped or given only controls/compressed-air options to keep mapping counts honest."
minerals,"Search tooling is US-hosted; some UK trade-press sources may be under-represented, though key UK demonstrations (Ribblesdale, Tunstead, HyBrick, Broomfleet, Padeswood, Peak Cluster, mid-Wales hydrogen asphalt) were located directly."
metals,"UK BF-BOF applicability is collapsing in real time: Port Talbot's blast furnaces closed in 2024 and Scunthorpe is in special measures, so BF-route options (H2/biochar injection, TGR-BF, HIsarna, BF CCS, Steelanol-type CCU) may have no remaining UK host sites by the time the model is used — the bf_bof process set may need an explicit sunset flag (REF_PORTTALBOT)."
metals,"Published, citable TRL numbers exist mainly for headline ironmaking and aluminium routes; for auxiliary duties (ladle preheating, sand reclamation, mould drying, dock services) almost no sector-specific decarbonisation literature exists, so many mappings rest on engineering judgement at low confidence."
metals,"Several sector options are whole-route replacements (H2-DRI+EAF, HIsarna, MOE, electrowinning, inert anodes, cupola-to-induction) rather than per-process retrofits; mapping them to a single process row (blast_furnace_ironmaking, electrolysis_potlines, melting_holding) understates that they also eliminate upstream processes (coke ovens, sinter, anode plants) — the model may need cross-process linkage."
metals,"Grid connection capacity is the recurring binding constraint for the highest-impact options (EAF conversion, induction melting, shore power, induction reheating) but is site-specific and not captured in TRL or applicability ratings."
metals,"The UK's single aluminium smelter (Lochaber) is already hydro-powered, so its residual emissions are dominated by anode carbon (process CO2/PFCs); only inert anodes address this, and ELYSIS licensing outside the founders' plants has barely begun."
metals,TRL sources disagree (e.g. Boston Metal self-reports higher readiness than independent assessments; ELYSIS 'commercial-size' cell is still first-of-a-kind); ranges are given and the more conservative published basis cited.
metals,"Biochar/biocarbon options share one UK-wide sustainable biomass supply constraint across sinter, BF, EAF and cupola duties — the model should avoid double-counting the same feedstock."
food,"Very few published numeric TRLs exist for food-and-drink-specific technologies; sources use qualitative maturity language (e.g. SWA/Ricardo 'mature'/'least mature'), so trl fields are mostly null with maturity captured in trl_basis and applicability instead"
food,"Hydrogen options for distilleries hinge on supply projects (Cromarty, Islay) whose timelines have slipped, so mappings marked demonstration/prospective may regress; HyLaddie demo status should be re-verified before model release"
food,"Fuel-vs-feed competition for co-products (draff, pot ale syrup, beet pulp, ABPs) means AD/biomass options carry an opportunity cost not visible in a pure energy mapping"
food,"Seasonal/campaign operation (beet sugar ~120-day campaign, malting and creamery seasonality) undermines load factors for capital-intensive options like heat pumps, MVR and CCS"
food,"Rural grid connection capacity is the binding constraint for electrification (electrode boilers, MVR, heat-pump kilning) at island distilleries and remote maltings/creameries"
food,"Product-quality and food-safety validation (kilned malt flavour, direct-fired combustion contact with malt/singeing, ohmic electrode contact, steam-dried pulp quality) adds time and risk beyond the underlying technology TRL"
food,"Two paywalled sources (ScienceDirect abstracts, Taylor & Francis article) could only be verified from abstract/landing pages, and several vendor pages are undated (year set to null)"
food,"Brewery and distillery process sets lack an explicit fermentation process, so fermentation_co2_recovery was mapped to packaging (brewery) and site_services (distillery) as the closest hosts"
paperchem,"Very few sources publish numeric TRLs; where a source clearly describes deployment stage (lab, pilot, demonstration, commercial) a TRL was assigned using EU TRL definitions and the basis recorded, otherwise TRL is null."
paperchem,"Artificial fibre works have almost no sector-specific decarbonisation literature; mappings rest on process temperatures and engineering judgement (extrusion/drawing already largely electric, chip drying is the main fossil-adjacent duty)."
paperchem,"Newspaper print works (coldset) are almost entirely electricity-based with no press dryers, so thermal decarbonisation options barely apply; the material levers are platemaking chemistry, compressed air, and building heat."
paperchem,Several trade and vendor sources are undated; publication years marked approximate in reference notes rather than invented precisely.
paperchem,Refinery process heater electrification has no located demonstration or published TRL despite frequent roadmap discussion; treated as prospective with low confidence.
paperchem,"The generic library has no lighting option, so a lab-scoped LED/controls option was added to avoid an empty 'lighting' process for laboratories."
paperchem,"CCS mappings implicitly assume industrial cluster CO2 transport access (HyNet, East Coast); dispersed sites (most paper mills, tanneries, labs) realistically cannot use capture options, which is reflected by omitting CCS from those activities."
paperchem,"Large PDFs (2015 roadmaps, Concawe 19/8, UNIDO reports) were cited at document level without page-level verification of every claimed option discussion; confidence ratings reflect this."
paperchem,FCC CCS and oxy-FCC evidence is pilot-scale and mostly pre-2020; no operating FCC capture unit was located.
paperchem,"Low-carbon hydrogen options for UK refining and chemicals depend on HyNet/East Coast cluster timing, so 'demonstration' applicability may overstate near-term availability for sites outside clusters."
extraction,"Few sources publish numeric TRLs for these technologies; TRLs given are inferred from published deployment/demonstration status rather than formal TRL assessments, and set to null only where even deployment-status evidence was lacking."
extraction,"Grid connection capacity and cost at rural quarry, AD and treatment sites is the binding constraint for nearly every electrification option (static plant, plug-in mobile crushing, charging, MVR), but is site-specific and not captured in the option-level TRL."
extraction,"Evidence for trolley assist, IPCC and hydrogen haul trucks comes from large international mines; transfer to UK quarry scale (smaller trucks, shorter site lives) is uncertain, so applicability was rated prospective/speculative despite high overseas maturity."
extraction,"Minewater heat recovery is primarily a heat-export/revenue option displacing offtakers' gas, not the site's own fuel; the model may need a convention for crediting exported heat."
extraction,"AD options interact strongly: CHP heat integration, biogas upgrading and heat-pump digester heating are partly mutually exclusive strategies, so mappings should be treated as alternatives, not additive."
extraction,"UK deep coal mining has ceased and surface coal mining is nearly ended, so 'Mineral Production - Coal' mappings (especially VAM abatement) apply mainly to legacy or closure operations."
extraction,"MPA roadmap detail covers cement manufacture far more than quarrying itself, so several quarry mobile-plant mappings rest on OEM/trade-press evidence or engineering judgement rather than sector roadmap provenance."
extraction,The salt/brine provenance (PBL) is Dutch; no UK-specific published decarbonisation study for vacuum salt production was located.
lightmfg,"Published TRLs rarely exist for building-services and workshop efficiency measures (LED, destratification, fabric, inverter welders, regen drives); TRLs left null and readiness expressed via the applicability field instead"
lightmfg,"The best public paint-shop measure compendium (ENERGY STAR vehicle assembly guide, LBNL 2008) is US-focused and dated; UK OEM disclosures on low-bake/UV/EB body coatings are proprietary, so readiness there is judged from DOE workshop and trade sources"
lightmfg,Several Carbon Trust and vendor web guides are undated; reference years are approximate and flagged in reference notes
lightmfg,"'Factory', 'Works' and 'Industrial NEC' activities are highly heterogeneous, so process_heating and steam mappings assume generic low/medium-temperature light-manufacturing duties; site-level screening should confirm temperature bands before applying heat pump options"
lightmfg,"Hydrogen options (h2_boiler, h2_kiln_furnace_burner) are mapped as prospective because UK industrial hydrogen supply outside cluster areas does not yet exist for dispersed light-manufacturing sites"
lightmfg,"The electricity-to-gas price ratio (spark spread) is the binding economic constraint on all commercial-readiness electrification mappings, especially electrode boilers, electric ovens and electric radiant space heating"
lightmfg,"EV fleet charging is an enabler whose emissions savings accrue to vehicle fleets, which may sit outside the site process model's system boundary"
