unit_id,carb3_activity,process_id,min_duty,max_share,earliest_year,provenance,notes,provenance_ref
boiler_lt_biomass,Cement Tile Works,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Chemical Works,distillation_separation,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves STM on heat_100_150 (rank 3); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Chemical Works,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Chemical Works,utilities_steam,,,,bref,"Offered because biomass_boiler maps this option to (Chemical Works, utilities_steam) in process_decarbonisation_options.csv; the option resolves to this unit in decarbonisation_option_unit.csv.",[CARB3_OPT_LIB]
boiler_lt_biomass,Coking and Carbonising Plant,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Concrete Block Works,curing_kilns,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Concrete Product Works,curing,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Concrete Product Works,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Concrete batching plant,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Concrete batching plant,water_aggregate_heating,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Creamery,cip_hot_water,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Creamery,heat_treatment_pasteurisation,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Creamery,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Distillery,continuous_distillation,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves STM on heat_100_150 (rank 3); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Distillery,cooking_conversion,,,,bref,"Offered because biomass_boiler maps this option to (Distillery, cooking_conversion) in process_decarbonisation_options.csv; the option resolves to this unit in decarbonisation_option_unit.csv.",[CARB3_OPT_LIB]
boiler_lt_biomass,Distillery,coproduct_evaporation,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves STM on heat_100_150 (rank 3); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Distillery,distillation,,,,bref,"Offered because biomass_boiler maps this option to (Distillery, distillation) in process_decarbonisation_options.csv; the option resolves to this unit in decarbonisation_option_unit.csv.",[CARB3_OPT_LIB]
boiler_lt_biomass,Distillery,milling_mashing,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Distillery,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Exhaust and tyre centre,space_heating,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Exhaust and tyre centre,water_heating,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Factory,space_heating,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Factory,steam_hot_water,,,,bref,"Offered because biomass_boiler maps this option to (Factory, steam_hot_water) in process_decarbonisation_options.csv; the option resolves to this unit in decarbonisation_option_unit.csv.",[CARB3_OPT_LIB]
boiler_lt_biomass,Flour Mill,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Food Processing Centre,boiler_steam_hot_water,,,,comit_reuse,Reproduced verbatim from the food and drink worked example 1.11 unit_eligibility table. min_duty in PJ/yr.,[CARB3_WE_FOODDRINK]
boiler_lt_biomass,Food Processing Centre,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Foundry,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Industrial NEC,space_heating,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Industrial NEC,steam_hot_water,,,,bref,"Offered because biomass_boiler maps this option to (Industrial NEC, steam_hot_water) in process_decarbonisation_options.csv; the option resolves to this unit in decarbonisation_option_unit.csv.",[CARB3_OPT_LIB]
boiler_lt_biomass,Iron and/or Steel Works,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Laboratory,space_water_heating,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,"Large industrial (> 20,000 m2) NEC",other_process,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_100_150 (rank 3); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,"Large industrial (> 20,000 m2) NEC",site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,"Large industrial (> 20,000 m2) NEC",space_heating,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,"Large industrial (> 20,000 m2) NEC",steam_hot_water,,,,bref,"Offered because biomass_boiler maps this option to (Large industrial (> 20,000 m2) NEC, steam_hot_water) in process_decarbonisation_options.csv; the option resolves to this unit in decarbonisation_option_unit.csv.",[CARB3_OPT_LIB]
boiler_lt_biomass,Maltings - Non Trad,kilning_heat,,,,bref,"Offered because biomass_boiler maps this option to (Maltings - Non Trad, kilning_heat) in process_decarbonisation_options.csv; the option resolves to this unit in decarbonisation_option_unit.csv.",[CARB3_OPT_LIB]
boiler_lt_biomass,Maltings - Non Trad,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Maltings - Trad,kilning_heat,,,,bref,"Offered because biomass_boiler maps this option to (Maltings - Trad, kilning_heat) in process_decarbonisation_options.csv; the option resolves to this unit in decarbonisation_option_unit.csv.",[CARB3_OPT_LIB]
boiler_lt_biomass,Maltings - Trad,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Mill,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Mill,space_heating,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Mill,steam_hot_water,,,,bref,"Offered because biomass_boiler maps this option to (Mill, steam_hot_water) in process_decarbonisation_options.csv; the option resolves to this unit in decarbonisation_option_unit.csv.",[CARB3_OPT_LIB]
boiler_lt_biomass,Mineral Production - Brine,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Mineral Production - Brine,vacuum_evaporation,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves STM on heat_100_150 (rank 3); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Mineral Production - Gas,process_heating_regeneration,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_100_150 (rank 3); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Mineral Production - Gas,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Mineral Production - Putrescible,pasteurisation_digester_heating,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Motor Vehicle Works,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Motor Vehicle Works,space_heating,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Motor Vehicle Works,steam_hot_water,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves STM on heat_100_150 (rank 3); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Newspaper print works,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,"Oil refinery, gas processing etc",alkylation,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves STM on heat_150_400 (rank 4); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,"Oil refinery, gas processing etc",utilities_steam,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves STM on heat_150_400 (rank 4); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Paper Mill,paper_machine_drying,,,,bref,"Offered because biomass_boiler maps this option to (Paper Mill, paper_machine_drying) in process_decarbonisation_options.csv; the option resolves to this unit in decarbonisation_option_unit.csv.",[CARB3_OPT_LIB]
boiler_lt_biomass,Paper Mill,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Post Office Sorting Centre,space_heating,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Post Office Sorting Centre,water_heating,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves LTH on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Pottery,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
boiler_lt_biomass,Provender Mill,site_services,,,,proxy,"Rebuilt from the join (note 22 Task 10, 2026-09-25): serves SPC on heat_60_100 (rank 2); grade_out 4 reaches it under C10 (the grade cascade). Carrier family, grade in C10's direction, costed with coefficients, every intermediate input produced at the activity - see build/rebuild_eligibility_join.py.",[CARB3_SPEC_IMPL]
