carb3_activity,process_set_id,process_id,comit_process_code,match_kind,notes
Cement Works,default,clinker_cooling,,none,"COMIT cement has only ICM (sector-root, not mappable) and ICMCLK (clinker). This process has no COMIT node of its own."
Cement Works,default,cement_grinding,,none,"COMIT cement has only ICM (sector-root, not mappable) and ICMCLK (clinker). This process has no COMIT node of its own. carb3_comit_crosswalk.csv maps milling to ""Cement"", which is the ICM root and therefore not mappable under the sector-root rule."
Cement Works,default,packing_dispatch,,none,"COMIT cement has only ICM (sector-root, not mappable) and ICMCLK (clinker). This process has no COMIT node of its own."
Cement Works,default,site_services,,none,"COMIT cement has only ICM (sector-root, not mappable) and ICMCLK (clinker). This process has no COMIT node of its own."
Cement Works,default,quarry_mobile_plant,,none,"COMIT cement has only ICM (sector-root, not mappable) and ICMCLK (clinker). This process has no COMIT node of its own."
Chemical Works,default,reaction_heating,ICHHTH,direct,High temperature heat for the other chemicals subsector.
Chemical Works,default,distillation_separation,ICHSTM,direct,Low-temperature steam/heat for chemicals.
Chemical Works,default,drying,ICHDRY,direct,Drying / separation services for chemicals.
Chemical Works,default,utilities_steam,ICHSTM,direct,Low-temperature steam/heat for chemicals.
Chemical Works,default,process_machine_drives,ICHMOT,direct,Motor drive for chemicals.
Chemical Works,default,refrigeration,ICHREF,direct,Refrigeration for chemicals.
Chemical Works,default,electrochemical_processes,ICHOTH,direct,Other energy services for the other chemicals subsector.
Chemical Works,default,site_services,ICHSPC,direct,Low temperature space heat for chemicals.
Coking and Carbonising Plant,default,coal_handling_preparation,,none,"COMIT iron and steel has only mass nodes (IISPIR, IISSNT, IISLST, IISHRS) plus IISLTH; there is no motor-drive or other-services code in the sector, so this shaft-work process has no COMIT node."
Coking and Carbonising Plant,default,oven_battery_carbonisation,IISPIR,analogue,"carb3_comit_crosswalk.csv: ""Coke feeds the blast-furnace chain in COMIT""; COMIT has no coke node, so the pig-iron node stands in."
Coking and Carbonising Plant,default,coke_quenching_handling,,none,"COMIT iron and steel has only mass nodes (IISPIR, IISSNT, IISLST, IISHRS) plus IISLTH; there is no motor-drive or other-services code in the sector, so this shaft-work process has no COMIT node."
Coking and Carbonising Plant,default,byproduct_plant,,none,"COMIT iron and steel has only mass nodes (IISPIR, IISSNT, IISLST, IISHRS) plus IISLTH; there is no motor-drive or other-services code in the sector, so this shaft-work process has no COMIT node."
Coking and Carbonising Plant,default,site_services,IISLTH,analogue,Low-temperature steam/heat from CHP/boilers is the nearest iron and steel node for a space-heat duty.
Concrete Block Works,default,aggregate_handling,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete Block Works,default,batching_mixing,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete Block Works,default,block_machine_pressing,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete Block Works,default,curing_kilns,ICNOTH,analogue,"COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector. carb3_comit_crosswalk.csv: ""Curing has no COMIT analogue""."
Concrete Block Works,default,cubing_packaging,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete Block Works,default,mobile_plant,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete Block Works,default,site_services,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete Product Works,default,batching_mixing,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete Product Works,default,forming_casting_vibration,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete Product Works,default,curing,ICNOTH,analogue,"COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector. carb3_comit_crosswalk.csv: ""Curing has no COMIT analogue""."
Concrete Product Works,default,stripping_handling_cranes,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete Product Works,default,mobile_plant_trucks,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete Product Works,default,site_services,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete batching plant,default,aggregate_handling_conveying,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete batching plant,default,batching_mixing,ICNOTH,analogue,"COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector. carb3_comit_crosswalk.csv: ""COMIT has no batching/mixing unit operations""."
Concrete batching plant,default,water_supply_pumping,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete batching plant,default,water_aggregate_heating,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete batching plant,default,dust_extraction,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete batching plant,default,mobile_plant_trucks,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Concrete batching plant,default,site_services,ICNOTH,analogue,COMIT models construction as energy services only; ICNOTH is the sole non-root code in the sector.
Creamery,default,heat_treatment_pasteurisation,IFDLTH,direct,"carb3_comit_crosswalk.csv: ""Pasteurisation maps to low-temperature heat""."
Creamery,default,evaporation_drying,IFDDRY,direct,Drying / separation services.
Creamery,default,cip_hot_water,IFDLTH,direct,Low temperature heat.
Creamery,default,refrigeration,IFDREF,direct,Refrigeration.
Creamery,default,processing_machinery_pumping,IFDMOT,direct,Motor drive.
Creamery,default,compressed_air,IFDMOT,direct,Motor drive.
Creamery,default,site_services,IFDLTH,analogue,COMIT food and drink has no SPC code.
Distillery,default,milling_mashing,IFDLTH,direct,"carb3_comit_crosswalk.csv: ""Distillation maps to heat demand""; mashing is the low-temperature end."
Distillery,default,distillation,IFDSTM,direct,Low-temperature steam/heat from CHP.
Distillery,default,coproduct_evaporation,IFDSTM,direct,Low-temperature steam/heat from CHP.
Distillery,default,process_pumps_motors,IFDMOT,direct,Motor drive.
Distillery,default,cooling_systems,IFDREF,direct,Refrigeration.
Distillery,default,compressed_air,IFDMOT,direct,Motor drive.
Distillery,default,site_services,IFDLTH,analogue,COMIT food and drink has no SPC code.
Distillery,grain_distillery,grain_intake_milling,IFDMOT,direct,Motor drive.
Distillery,grain_distillery,cooking_conversion,IFDSTM,direct,Low-temperature steam/heat from CHP.
Distillery,grain_distillery,continuous_distillation,IFDSTM,direct,Low-temperature steam/heat from CHP.
Distillery,grain_distillery,coproduct_evaporation_drying,IFDDRY,direct,Drying / separation services.
Distillery,grain_distillery,site_services,IFDLTH,analogue,COMIT food and drink has no SPC code.
Effluent Minewater Treatment Plant,default,minewater_pumping,,none,"carb3_comit_crosswalk.csv: ""Water treatment. Not represented; candidate Water & sewerage sector (note 11)"". This activity has no COMIT sector at all."
Effluent Minewater Treatment Plant,default,aeration_treatment,,none,"carb3_comit_crosswalk.csv: ""Water treatment. Not represented; candidate Water & sewerage sector (note 11)"". This activity has no COMIT sector at all."
Effluent Minewater Treatment Plant,default,dosing_sludge_handling,,none,"carb3_comit_crosswalk.csv: ""Water treatment. Not represented; candidate Water & sewerage sector (note 11)"". This activity has no COMIT sector at all."
Effluent Minewater Treatment Plant,default,site_services,,none,"carb3_comit_crosswalk.csv: ""Water treatment. Not represented; candidate Water & sewerage sector (note 11)"". This activity has no COMIT sector at all."
Exhaust and tyre centre,default,workshop_equipment,,none,"carb3_comit_crosswalk.csv: ""Servicing. Out of COMIT scope"". This activity has no COMIT sector."
Exhaust and tyre centre,default,site_services,,none,"carb3_comit_crosswalk.csv: ""Servicing. Out of COMIT scope"". This activity has no COMIT sector."
Exhaust and tyre centre,default,space_heating,,none,"carb3_comit_crosswalk.csv: ""Servicing. Out of COMIT scope"". This activity has no COMIT sector."
Exhaust and tyre centre,default,water_heating,,none,"carb3_comit_crosswalk.csv: ""Servicing. Out of COMIT scope"". This activity has no COMIT sector."
Factory,default,machine_drive,IMEMOT,direct,Motor drive for mechanical engineering.
Factory,default,process_heating,IMEHTH,analogue,Mechanical engineering has no PHEAT code; IMEHTH is the sector process-heat node.
Factory,default,process_cooling,IMEOTH,analogue,COMIT mechanical engineering has no refrigeration code; IMEOTH absorbs it.
Factory,default,other_process,IMEOTH,direct,Other energy services for mechanical engineering.
Factory,default,steam_hot_water,IMELTH,analogue,COMIT mechanical engineering has no STM code; IMELTH is the nearest heat node.
Factory,default,site_services,IMEMOT,direct,"Motor drive; lighting, AHUs and office ICT."
Factory,default,space_heating,IMESPC,direct,Low temperature space heat.
Flour Mill,default,wheat_cleaning_conditioning,IFDMOT,direct,"carb3_comit_crosswalk.csv: ""Cleaning/milling are motor-drive loads in COMIT""."
Flour Mill,default,grinding_roller_mills,IFDMOT,direct,Motor drive.
Flour Mill,default,pneumatic_conveying_aspiration,IFDMOT,direct,Motor drive.
Flour Mill,default,sifting_purification,IFDMOT,direct,Motor drive.
Flour Mill,default,flour_packing_handling,IFDMOT,direct,Motor drive.
Flour Mill,default,compressed_air,IFDMOT,direct,Motor drive.
Flour Mill,default,site_services,IFDLTH,analogue,COMIT food and drink has no SPC code.
Food Processing Centre,default,boiler_steam_hot_water,IFDSTM,direct,The larger of the two duties on this process (0.53820) is the steam duty.
Food Processing Centre,default,direct_heating,IFDDRY,direct,Drying / separation services.
Food Processing Centre,default,refrigeration,IFDREF,direct,Refrigeration.
Food Processing Centre,default,machinery_motors,IFDMOT,direct,Motor drive.
Food Processing Centre,default,compressed_air,IFDMOT,direct,Motor drive.
Food Processing Centre,default,site_services,IFDLTH,analogue,COMIT food and drink has no SPC code.
Foundry,default,charge_handling,,none,"carb3_comit_crosswalk.csv: ""Shared between two COMIT sectors depending on metal"". COMIT iron and steel has only mass nodes plus IISLTH, so this shaft-work process has no node."
Foundry,default,melting_holding,IISLST,analogue,"carb3_comit_crosswalk.csv names ""Liquid steel"" as the analogue; COMIT has no foundry melting node."
Foundry,default,mould_making,,none,"carb3_comit_crosswalk.csv: ""Shared between two COMIT sectors depending on metal"". COMIT iron and steel has only mass nodes plus IISLTH, so this shaft-work process has no node."
Foundry,default,core_making,,none,"carb3_comit_crosswalk.csv: ""Shared between two COMIT sectors depending on metal"". COMIT iron and steel has only mass nodes plus IISLTH, so this shaft-work process has no node."
Foundry,default,pouring_casting,,none,"carb3_comit_crosswalk.csv: ""Shared between two COMIT sectors depending on metal"". COMIT iron and steel has only mass nodes plus IISLTH, so this shaft-work process has no node."
Foundry,default,shakeout_sand_reclamation,,none,"carb3_comit_crosswalk.csv: ""Shared between two COMIT sectors depending on metal"". COMIT iron and steel has only mass nodes plus IISLTH, so this shaft-work process has no node."
Foundry,default,heat_treatment,,none,"carb3_comit_crosswalk.csv: ""Shared between two COMIT sectors depending on metal"". COMIT iron and steel has only mass nodes plus IISLTH, so this shaft-work process has no node."
Foundry,default,fettling_finishing,,none,"carb3_comit_crosswalk.csv: ""Shared between two COMIT sectors depending on metal"". COMIT iron and steel has only mass nodes plus IISLTH, so this shaft-work process has no node."
Foundry,default,fume_extraction,,none,"carb3_comit_crosswalk.csv: ""Shared between two COMIT sectors depending on metal"". COMIT iron and steel has only mass nodes plus IISLTH, so this shaft-work process has no node."
Foundry,default,site_services,IISLTH,analogue,Low-temperature steam/heat from CHP/boilers is the nearest iron and steel node for a space-heat duty.
Industrial Minerals NEC,default,quarrying_crushing_screening,,none,"COMIT lime has only ILM (sector-root, not mappable) and ILMCLK (calcination). This process has no COMIT node."
Industrial Minerals NEC,default,kiln_calcination,ILMCLK,direct,Lime calcination is the one COMIT node this activity maps to.
Industrial Minerals NEC,default,lime_grinding_milling,,none,"COMIT lime has only ILM (sector-root, not mappable) and ILMCLK (calcination). This process has no COMIT node."
Industrial Minerals NEC,default,hydration,,none,"COMIT lime has only ILM (sector-root, not mappable) and ILMCLK (calcination). This process has no COMIT node."
Industrial Minerals NEC,default,packing_dispatch,,none,"COMIT lime has only ILM (sector-root, not mappable) and ILMCLK (calcination). This process has no COMIT node."
Industrial Minerals NEC,default,site_services,,none,"COMIT lime has only ILM (sector-root, not mappable) and ILMCLK (calcination). This process has no COMIT node."
Industrial NEC,default,machine_drive,IOIMOT,direct,Motor drive for the other industries sector.
Industrial NEC,default,process_heating,IOILTH,analogue,COMIT other industries has no PHEAT or HTH code; IOILTH is the nearest heat node.
Industrial NEC,default,process_cooling,IOIOTH,analogue,COMIT other industries has no refrigeration code; IOIOTH absorbs it.
Industrial NEC,default,other_process,IOIOTH,direct,Other energy services for the other industries sector.
Industrial NEC,default,steam_hot_water,IOISTM,direct,Low-temperature steam/heat from CHP.
Industrial NEC,default,site_services,IOIMOT,direct,"Motor drive; lighting, ventilation and offices."
Industrial NEC,default,space_heating,IOISPC,direct,Low temperature space heat.
Iron and/or Steel Works,eaf,scrap_handling_preparation,,none,"COMIT iron and steel has only mass nodes (IISPIR, IISSNT, IISLST, IISHRS) plus IISLTH; there is no motor-drive or other-services code in the sector, so this shaft-work process has no COMIT node."
Iron and/or Steel Works,eaf,eaf_melting,IISLST,direct,Liquid steel.
Iron and/or Steel Works,eaf,secondary_metallurgy,IISLST,analogue,COMIT has no secondary metallurgy node; it sits inside the liquid steel node.
Iron and/or Steel Works,eaf,fume_extraction_auxiliaries,,none,"COMIT iron and steel has only mass nodes (IISPIR, IISSNT, IISLST, IISHRS) plus IISLTH; there is no motor-drive or other-services code in the sector, so this shaft-work process has no COMIT node."
Iron and/or Steel Works,eaf,continuous_casting,IISHRS,analogue,COMIT has no casting node; casting sits between liquid steel and hot rolled steel.
Iron and/or Steel Works,eaf,reheat_furnaces,IISHRS,analogue,Reheating serves hot rolling; COMIT has no separate reheat node.
Iron and/or Steel Works,eaf,hot_rolling_mill,IISHRS,direct,Hot rolled steel.
Iron and/or Steel Works,eaf,site_services,IISLTH,analogue,Low-temperature steam/heat from CHP/boilers is the nearest node for a space-heat duty.
Iron and/or Steel Works,bf_bof,coke_ovens,IISPIR,analogue,COMIT has no coke node; coke feeds the pig-iron chain.
Iron and/or Steel Works,bf_bof,sinter_plant,IISSNT,direct,Sinter.
Iron and/or Steel Works,bf_bof,blast_furnace_ironmaking,IISPIR,direct,Pig iron.
Iron and/or Steel Works,bf_bof,bof_steelmaking,IISLST,direct,Liquid steel.
Iron and/or Steel Works,bf_bof,secondary_metallurgy,IISLST,analogue,COMIT has no secondary metallurgy node.
Iron and/or Steel Works,bf_bof,continuous_casting,IISHRS,analogue,COMIT has no casting node.
Iron and/or Steel Works,bf_bof,reheat_furnaces,IISHRS,analogue,Reheating serves hot rolling.
Iron and/or Steel Works,bf_bof,hot_rolling,IISHRS,direct,Hot rolled steel.
Iron and/or Steel Works,bf_bof,site_services,IISLTH,analogue,Low-temperature steam/heat from CHP/boilers.
Laboratory,default,hvac_ventilation,,none,Activity absent from COMIT per carb3_comit_crosswalk.csv (extraction/servicing/dispersed loads are not modelled as manufacturing point sources)
Laboratory,default,lab_equipment,,none,Activity absent from COMIT per carb3_comit_crosswalk.csv (extraction/servicing/dispersed loads are not modelled as manufacturing point sources)
Laboratory,default,lighting,,none,Activity absent from COMIT per carb3_comit_crosswalk.csv (extraction/servicing/dispersed loads are not modelled as manufacturing point sources)
Laboratory,default,space_water_heating,,none,Activity absent from COMIT per carb3_comit_crosswalk.csv (extraction/servicing/dispersed loads are not modelled as manufacturing point sources)
"Large industrial (> 20,000 m2) NEC",default,machine_drive,IOIMOT,direct,Motor drive for the other industries sector
"Large industrial (> 20,000 m2) NEC",default,process_heating,IOIDRY,analogue,COMIT's Other sector has no high-temperature-heat code; IOIDRY (drying/separation services) is the nearest process code. Never mapped to the IOI root
"Large industrial (> 20,000 m2) NEC",default,process_cooling,IOIOTH,analogue,COMIT Other has no refrigeration code; folded into other energy services
"Large industrial (> 20,000 m2) NEC",default,other_process,IOIOTH,direct,Other energy services for the other industries sector
"Large industrial (> 20,000 m2) NEC",default,steam_hot_water,IOISTM,direct,Low-temperature steam/heat from CHP for the other industries sector
"Large industrial (> 20,000 m2) NEC",default,site_services,IOIMOT,analogue,"Site-services bundle is predominantly motor drive (fans, pumps, lighting boards)"
"Large industrial (> 20,000 m2) NEC",default,space_heating,IOISPC,direct,Low temperature space heat for the other industries sector
Maltings - Non Trad,default,steeping,IFDMOT,direct,Motor drive for the food and drink sector
Maltings - Non Trad,default,germination_vessels,IFDMOT,direct,Motor drive for the food and drink sector
Maltings - Non Trad,default,kilning_heat,IFDDRY,direct,Drying / Separation services for the food and drink sector; carb3_comit_crosswalk.csv records kilning maps to drying
Maltings - Non Trad,default,kiln_fans,IFDMOT,direct,Motor drive for the food and drink sector
Maltings - Non Trad,default,refrigeration_attemperation,IFDREF,direct,Refrigeration for the food and drink sector
Maltings - Non Trad,default,grain_handling_dressing,IFDMOT,direct,Motor drive for the food and drink sector
Maltings - Non Trad,default,site_services,IFDOTH,analogue,COMIT's Food & drink sector has no space-heat (SPC) code; site overheads fold into other energy services
Maltings - Trad,default,steeping,IFDMOT,direct,Motor drive for the food and drink sector
Maltings - Trad,default,floor_germination_turning,IFDMOT,direct,Motor drive for the food and drink sector
Maltings - Trad,default,kilning_heat,IFDDRY,direct,Drying / Separation services for the food and drink sector; carb3_comit_crosswalk.csv records kilning maps to drying
Maltings - Trad,default,kiln_fans,IFDMOT,direct,Motor drive for the food and drink sector
Maltings - Trad,default,grain_handling_dressing,IFDMOT,direct,Motor drive for the food and drink sector
Maltings - Trad,default,site_services,IFDOTH,analogue,COMIT's Food & drink sector has no space-heat (SPC) code; site overheads fold into other energy services
Mill,default,milling_grinding,,none,"carb3_comit_crosswalk.csv records coverage=ambiguous: 'Generic label; could be flour, paper, textile or metal. Not resolvable from CaRB3 alone.' Candidate codes would be IOI*/IFD* once the mill type is known"
Mill,default,process_heating_drying,,none,"carb3_comit_crosswalk.csv records coverage=ambiguous: 'Generic label; could be flour, paper, textile or metal. Not resolvable from CaRB3 alone.' Candidate codes would be IOI*/IFD* once the mill type is known"
Mill,default,process_cooling,,none,"carb3_comit_crosswalk.csv records coverage=ambiguous: 'Generic label; could be flour, paper, textile or metal. Not resolvable from CaRB3 alone.' Candidate codes would be IOI*/IFD* once the mill type is known"
Mill,default,other_process,,none,"carb3_comit_crosswalk.csv records coverage=ambiguous: 'Generic label; could be flour, paper, textile or metal. Not resolvable from CaRB3 alone.' Candidate codes would be IOI*/IFD* once the mill type is known"
Mill,default,steam_hot_water,,none,"carb3_comit_crosswalk.csv records coverage=ambiguous: 'Generic label; could be flour, paper, textile or metal. Not resolvable from CaRB3 alone.' Candidate codes would be IOI*/IFD* once the mill type is known"
Mill,default,site_services,,none,"carb3_comit_crosswalk.csv records coverage=ambiguous: 'Generic label; could be flour, paper, textile or metal. Not resolvable from CaRB3 alone.' Candidate codes would be IOI*/IFD* once the mill type is known"
Mill,default,space_heating,,none,"carb3_comit_crosswalk.csv records coverage=ambiguous: 'Generic label; could be flour, paper, textile or metal. Not resolvable from CaRB3 alone.' Candidate codes would be IOI*/IFD* once the mill type is known"
Mineral Production - Brine,default,brine_well_pumping,,none,Activity absent from COMIT per carb3_comit_crosswalk.csv (extraction/servicing/dispersed loads are not modelled as manufacturing point sources)
