carb3_activity,process_set_id,process_id,duty_family,carrier_id,grade_rank,duty_share,share_low,share_high,evidence_tier,provenance,confidence
Artificial Fibre Works,default,site_services,MOT,motive_power,,0.45000,,,fallback,"[CARB3_WE_FOOD] section 3.2: ""its electricity is motive power, which is the ordinary shape for a process that is really a bundle of site overheads"". Share is the analogue complement of this process's SPC row. Fallback reasoning, not a read figure.",low
Asphalt Plant,default,cold_feed_conveying,MOT,motive_power,,1.00000,,,published_sec,[ES_ASPHALT_2023] document level - cold feed bins and feed conveyors are electric shaft work.,medium
Asphalt Plant,default,aggregate_drying_heating,DRY,heat_150_400,4,1.00000,,,engineering,"[ES_ASPHALT_2023] document level covers the rotary dryer drum and burner; [R_WMA] via decarbonisation_options_library.csv option warm_mix_asphalt records that warm-mix additives ""reduce mixing/drying temperature by ~20-40C"", which only makes sense against a hot-mix temperature well above 100 C. The same plant's binder tanks are held at ""150-190C"" ([CARB3_PDO] bitumen_storage_heating, marked engineering judgement there), which places the aggregate-to-mix-temperature duty in band 4 (150-400C). The burner flame temperature is not the duty; the delivered mix temperature is.",medium
Asphalt Plant,default,screening_mixing,MOT,motive_power,,1.00000,,,engineering,"[ES_ASPHALT_2023] document level - hot elevator, screen deck, hot bins and pugmill are shaft work; the material arrives hot from the dryer, so no separate heat duty is asserted.",medium
Asphalt Plant,default,bitumen_storage_heating,PHEAT,heat_150_400,4,1.00000,,,engineering,"[CARB3_PDO] Asphalt Plant/bitumen_storage_heating, option electric_resistance_oven_furnace: ""Electric immersion/hot-oil bitumen tank heating (150-190C) is standard equipment""; and option htp_heat_pump_150_200: ""150-200C heat pump could hold tank temperature"". Band 4 (150-400C). Both rows are marked engineering judgement in that table, so this is not a published measurement.",medium
Asphalt Plant,default,exhaust_baghouse,MOT,motive_power,,1.00000,,,engineering,[ES_ASPHALT_2023] document level - the exhaust fan and baghouse are fan shaft work; the dust return screws are conveyors.,medium
Asphalt Plant,default,loadout_storage,MOT,motive_power,,1.00000,,,engineering,"[ES_ASPHALT_2023] document level - drag conveyor and load-out gear are shaft work. Heated storage silos exist at some plants but no source separates a silo heat duty from the mix's own sensible heat, so none is asserted.",medium
Asphalt Plant,default,mobile_plant,MOT,motive_power,,1.00000,,,published_sec,"[DESNZ_NRMM_CFE2025] document level - loaders, handlers and yard vehicles are diesel non-road mobile machinery delivering shaft work; no thermal duty.",medium
Asphalt Plant,default,site_services,MOT,motive_power,,1.00000,,,fallback,"[CARB3_WE_CEMENT] section 3.2 gives site_services MOT/motive_power. activity_process_energy_profile.csv carries no heat vector for this process at this activity, so a single motive row is written and no space-heat duty is asserted.",low
Beet Sugar Factory,default,beet_reception_preparation,MOT,motive_power,,1.00000,,,published_sec,"[PBL_SUGAR] document level - flume pumps, beet washers and slicers are shaft work.",medium
Beet Sugar Factory,default,extraction_diffusion,LTH,heat_60_100,2,1.00000,,,fallback,"[PBL_SUGAR] document level - extraction/diffusion tower and raw juice heaters. No page-level temperature was read. Band 2 (60-100C) is a FALLBACK on the diffusion tower being an aqueous process below boiling, with the same factory's first-effect evaporator steam at ""~135 C"" ([PBL_SUGAR] via activity_process_register.csv provenance for evaporation) as the named higher-grade contrast. Not a read figure.",low
Beet Sugar Factory,default,lime_kiln,HTH,heat_400_1000,5,1.00000,,,published_sec,"[EULA_ECOFYS_2014] document level - limestone calcination for carbonatation lime. [AGORA2024] via decarbonisation_options_library.csv option electric_kiln_calcination: ""High-temperature kiln/calciner duties ~900-1450C (lime, cement precalcination, minerals)""; [CARB3_PDO] gives ""~900-1200C"" for the same duty. The binding delivery temperature is limestone decomposition at ~900 C, which sits in band 5 (400-1000C); the kiln hot zone exceeds 1000 C, so this is a band 5/6 boundary case recorded in DONE_duty_a.md.",medium
Beet Sugar Factory,default,evaporation,STM,heat_100_150,3,1.00000,,,published_sec,"[PBL_SUGAR] via activity_process_register.csv provenance: ""Steam enters first effect at ~135 C; principal steam sink in juice concentration"". Band 3 (100-150C). Confidence is medium not high because the underlying study is Dutch (PBL MIDDEN) applied to a GB site, the reason README_activity_process_tables.md gives for its own published_sec rows.",medium
Beet Sugar Factory,default,crystallisation_sugar_house,STM,heat_100_150,3,1.00000,,,fallback,"[PBL_SUGAR] document level - vacuum pans, centrifugals and sugar drying. Crystallisation is the head duty of this register process and is served from the same steam main as evaporation, so band 3 (100-150C) is carried across from the evaporation row (""~135 C"", [PBL_SUGAR]) as the NAMED ANALOGUE. No source splits vacuum-pan steam from centrifugal shaft work or from the granulator/dryer, so the dominant duty carries 1.0 and the MOT and DRY components are stated gaps. Not a read figure.",low
Beet Sugar Factory,default,pulp_pressing_drying,DRY,heat_150_400,4,1.00000,,,fallback,"[PBL_SUGAR] document level and [ENERDRY_SSD] document level (beet pulp steam dryers). Band 4 (150-400C) is a FALLBACK taking [CARB3_WE_FOOD] section 3.2's spray dryer (""DRY - spray dryer, 200 C"", heat_150_400, grade 4) as the NAMED ANALOGUE for a high-temperature product dryer. Press shaft work is not separated. Not a read figure.",low
Beet Sugar Factory,default,site_services,SPC,heat_60_100,2,0.55000,,,fallback,"[CARB3_WE_FOOD] section 3.2 treats a site-overhead bundle as two duties - the gas as space heat at band 2 (60-100C), the electricity as motive power. The band is taken from that worked example. The 0.55/0.45 split is the same example's delivered-energy ratio (0.021000 PJ gas / 0.017226 PJ electricity) used as a NAMED ANALOGUE because no source splits this activity's bundle. Fallback reasoning, not a read figure. At this activity the bundle is ""lighting, offices, water treatment""; the gas share the energy profile gives it is read as building space heating.",low
Beet Sugar Factory,default,site_services,MOT,motive_power,,0.45000,,,fallback,"[CARB3_WE_FOOD] section 3.2: ""its electricity is motive power, which is the ordinary shape for a process that is really a bundle of site overheads"". Share is the analogue complement of this process's SPC row. Fallback reasoning, not a read figure.",low
Brewery,default,brewhouse,STM,heat_100_150,3,1.00000,,,published_sec,"[SIETF_2022] via process_decarbonisation_options.csv: ""Wort boiling ~100-104C well matched to HTHP; UK brewery feasibility work under way"". Band 3 (100-150C). [BA_ENERGY] document level gives the brewhouse as the dominant thermal load. Mash conversion and hot liquor sit lower but are served from the same steam main and are not separated by either source.",medium
Brewery,default,packaging,LTH,heat_60_100,2,1.00000,,,published_sec,"[STAR_HP] via process_decarbonisation_options.csv: ""Tunnel/flash pasteuriser hot water <85C"". Band 2 (60-100C). Filler and keg-washer drive load is not separated by the source.",medium
Brewery,default,refrigeration,REF,cooling,,1.00000,,,published_sec,"[BA_ENERGY] document level - fermentation and maturation cooling, glycol/ammonia plant and cellars are one cooling service.",medium
Brewery,default,compressed_air,MOT,motive_power,,1.00000,,,engineering,"[CTV059] document level - compressed air is a compressor shaft-work service; its waste heat is a recovery opportunity, not a duty the site must be supplied.",medium
Brewery,default,cip_utilities,LTH,heat_60_100,2,1.00000,,,published_sec,"[STAR_HP] via process_decarbonisation_options.csv: ""CIP sets typically 60-85C, ideal heat pump duty"". Band 2 (60-100C). Corroborated by option solar_thermal_process_heat on the same process, ""Pre-heat CIP/liquor water <90C"".",medium
Brewery,default,site_services,SPC,heat_60_100,2,0.55000,,,fallback,"[CARB3_WE_FOOD] section 3.2 treats a site-overhead bundle as two duties - the gas as space heat at band 2 (60-100C), the electricity as motive power. The band is taken from that worked example. The 0.55/0.45 split is the same example's delivered-energy ratio (0.021000 PJ gas / 0.017226 PJ electricity) used as a NAMED ANALOGUE because no source splits this activity's bundle. Fallback reasoning, not a read figure.",low
Brewery,default,site_services,MOT,motive_power,,0.45000,,,fallback,"[CARB3_WE_FOOD] section 3.2: ""its electricity is motive power, which is the ordinary shape for a process that is really a bundle of site overheads"". Share is the analogue complement of this process's SPC row. Fallback reasoning, not a read figure.",low
Brickworks / clay tile/pipe works,default,clay_preparation,MOT,motive_power,,1.00000,,,published_sec,"[DECC_CERAMIC_2015] document level - box feeders, pan and roller mills, screens and mixers are electric shaft work.",medium
Brickworks / clay tile/pipe works,default,shaping_extrusion,MOT,motive_power,,1.00000,,,published_sec,"[ZI_BRICK_EE_P1] document level - vacuum extruders, soft-mud moulding machines and wire cutters are shaft work.",medium
Brickworks / clay tile/pipe works,default,drying,DRY,heat_100_150,3,1.00000,,,published_sec,"[CARB3_PDO] Brickworks/drying (marked engineering judgement there): ""Brick dryers ~40-120C partially suited to heat pumps with humidity control"". The quoted range straddles bands 1 to 3; band 3 (100-150C) is taken as the BINDING delivery temperature, because the dryer must be able to reach the top of the quoted range. Corroborated at document level by [ZI_BRICK_EE_P1] and [DECC_CERAMIC_2015].",medium
Brickworks / clay tile/pipe works,default,setting_handling,MOT,motive_power,,1.00000,,,engineering,"[DECC_CERAMIC_2015] document level - setting robots, kiln cars, dehacking line and strapping are shaft work.",medium
Brickworks / clay tile/pipe works,default,kiln_firing,HTH,heat_gt1000,6,1.00000,,,published_sec,"[R_WIENERBERGER] via decarbonisation_options_library.csv option electric_tunnel_kiln_firing: ""Continuous electric tunnel kiln firing clay roof tiles/bricks (~1000-1100C)"". Band 6 (>1000C). Corroborated by [R_HYBRICK] document level (hydrogen-fired clay bricks) and [DECC_CERAMIC_2015] document level.",medium
Brickworks / clay tile/pipe works,default,site_services,SPC,heat_60_100,2,0.55000,,,fallback,"[CARB3_WE_FOOD] section 3.2 treats a site-overhead bundle as two duties - the gas as space heat at band 2 (60-100C), the electricity as motive power. The band is taken from that worked example. The 0.55/0.45 split is the same example's delivered-energy ratio (0.021000 PJ gas / 0.017226 PJ electricity) used as a NAMED ANALOGUE because no source splits this activity's bundle. Fallback reasoning, not a read figure.",low
Brickworks / clay tile/pipe works,default,site_services,MOT,motive_power,,0.45000,,,fallback,"[CARB3_WE_FOOD] section 3.2: ""its electricity is motive power, which is the ordinary shape for a process that is really a bundle of site overheads"". Share is the analogue complement of this process's SPC row. Fallback reasoning, not a read figure.",low
Brickworks / clay tile/pipe works,default,clay_extraction_mobile_plant,MOT,motive_power,,1.00000,,,published_sec,"[DESNZ_NRMM_CFE2025] document level - loaders, handlers and yard vehicles are diesel non-road mobile machinery delivering shaft work; no thermal duty.",medium
Cement Tile Works,default,batching_mixing,MOT,motive_power,,1.00000,,,engineering,[LBNL_CONCRETE_2011] document level - pan mixers and sand/cement weigh batchers are shaft work.,medium
Cement Tile Works,default,extrusion_pressing,MOT,motive_power,,1.00000,,,engineering,"[LBNL_CONCRETE_2011] document level - tile extruder, profile rollers and pallet circulation are shaft work.",medium
Cement Tile Works,default,curing_chambers,LTH,heat_lt60,1,1.00000,,,published_sec,"[CARB3_PDO] Cement Tile Works/curing_chambers (marked engineering judgement there): ""Curing chambers ~30-60C ideal heat-pump duty"". Band 1 (<60C).",medium
Cement Tile Works,default,coating_finishing,DRY,heat_60_100,2,1.00000,,,fallback,"[LBNL_CONCRETE_2011] document level - slurry/acrylic coating line and tile driers. No temperature was read. Band 2 (60-100C) is a FALLBACK taking the same works' curing chambers (""~30-60C"", [CARB3_PDO]) as the NAMED ANALOGUE and allowing that a coating drier runs above them. Not a read figure.",low
Cement Tile Works,default,depalletting_packaging,MOT,motive_power,,1.00000,,,engineering,"[LBNL_CONCRETE_2011] document level - depalletter, strapping and shrink-wrap lines are shaft work.",medium
Cement Tile Works,default,mobile_plant,MOT,motive_power,,1.00000,,,published_sec,"[DESNZ_NRMM_CFE2025] document level - loaders, handlers and yard vehicles are diesel non-road mobile machinery delivering shaft work; no thermal duty.",medium
Cement Tile Works,default,site_services,SPC,heat_60_100,2,0.55000,,,fallback,"[CARB3_WE_FOOD] section 3.2 treats a site-overhead bundle as two duties - the gas as space heat at band 2 (60-100C), the electricity as motive power. The band is taken from that worked example. The 0.55/0.45 split is the same example's delivered-energy ratio (0.021000 PJ gas / 0.017226 PJ electricity) used as a NAMED ANALOGUE because no source splits this activity's bundle. Fallback reasoning, not a read figure.",low
Cement Tile Works,default,site_services,MOT,motive_power,,0.45000,,,fallback,"[CARB3_WE_FOOD] section 3.2: ""its electricity is motive power, which is the ordinary shape for a process that is really a bundle of site overheads"". Share is the analogue complement of this process's SPC row. Fallback reasoning, not a read figure.",low
Cement Works,default,quarrying_crushing,MOT,motive_power,,1.00000,,,published_sec,[ES_CEMENT_2013] document level and [DECC_CEMENT_2015] document level - primary and secondary crushing and quarry conveying are electric shaft work. [CARB3_WE_CEMENT] section 3.2 states this premise's quarrying_crushing duty as MOT/motive_power.,medium
Cement Works,default,raw_grinding_blending,MOT,motive_power,,1.00000,,,published_sec,"[CARB3_WE_CEMENT] section 3.2 states this premise's duty as MOT/motive_power, 0.10080 PJ/yr. [ES_CEMENT_2013] document level - the raw mill is one of the two large electric grinding loads.",medium
Cement Works,default,raw_meal_homogenisation,MOT,motive_power,,1.00000,,,published_sec,"[CARB3_WE_CEMENT] section 3.2 states this premise's duty as MOT/motive_power, 0.02520 PJ/yr. [ES_CEMENT_2013] document level - blending silos are air-fluidised, i.e. blower shaft work.",medium
Cement Works,default,kiln_pyroprocessing,HTH,heat_gt1000,6,1.00000,,,published_sec,"[R_COOLBROOK] via decarbonisation_options_library.csv option rotodynamic_electric_heater: ""Turbomachinery-based electric heating of process air/material to >1000C (pathway to ~1700C), targeted at cement precalciners""; [AGORA2024] via option electric_kiln_calcination: ""~900-1450C (lime, cement precalcination, minerals)"". Clinker sintering is the binding duty and sits in band 6 (>1000C). [CARB3_WE_CEMENT] section 3.2 states this premise's kiln duty as a clinker MASS under D5 (design decision: mass-denominated activities) at evidence tier site_known, which overrides this activity default; the activity default must still state a service duty and a grade, which is what this row is.",medium
Cement Works,default,clinker_cooling,MOT,motive_power,,1.00000,,,published_sec,"[CARB3_WE_CEMENT] section 3.2 states this premise's clinker_cooling duty as MOT/motive_power (at 0.00000 PJ/yr, because activity_process_energy_profile.csv has no row for it - one of the seventeen silent coverage gaps section 3.3.1 names). The grate cooler rejects heat; its energy input is cooler-fan shaft work.",medium
Cement Works,default,cement_grinding,MOT,motive_power,,1.00000,,,published_sec,"[ES_CEMENT_2013] document level - finish grinding is the largest single electric load at a cement works. [CARB3_WE_CEMENT] section 1.11 lists grinder_mixer_elec as its unit and section 3.2 states this premise's duty as a cement MASS under D5, which overrides this activity default.",medium
Cement Works,default,packing_dispatch,MOT,motive_power,,1.00000,,,published_sec,"[CARB3_WE_CEMENT] section 3.2 states this premise's duty as MOT/motive_power, 0.02100 PJ/yr. Pneumatic and mechanical conveying, packers and silo loadout are shaft work.",medium
Cement Works,default,site_services,MOT,motive_power,,1.00000,,,published_sec,"[CARB3_WE_CEMENT] section 3.2 states this premise's site_services duty as MOT/motive_power. activity_process_energy_profile.csv carries no site_services row for Cement Works, so no heat vector is evidenced and no space-heat duty is asserted.",medium
Cement Works,default,quarry_mobile_plant,MOT,motive_power,,1.00000,,,published_sec,"[DESNZ_NRMM_CFE2025] document level - loaders, handlers and yard vehicles are diesel non-road mobile machinery delivering shaft work; no thermal duty. [CARB3_WE_CEMENT] section 1.5 places quarry_mobile_plant outside this premise's process set, but the activity default must still carry it.",medium
Chemical Works,default,reaction_heating,PHEAT,heat_150_400,4,1.00000,,,published_sec,"[joule_elec_2022] via process_decarbonisation_options.csv (option electrode_boiler): ""Steam/hot-oil duties to ~350C""; corroborated by [TNO_EBOILER2018] via decarbonisation_options_library.csv, electrode boilers deliver ""Hot water and steam up to ~350C / >70 bar"". Band 4 (150-400C) is the top of the fired-heater and hot-oil range these sources give for the sector. Individual reactions run lower; no source splits them.",medium
Chemical Works,default,distillation_separation,STM,heat_100_150,3,1.00000,,,fallback,"[UKCHEM2015] document level and [DOECHEM2015] document level - distillation is the dominant separation duty of the sector. No page-level reboiler temperature was read. Band 3 (100-150C) is a FALLBACK taking [DEBOER2020] via decarbonisation_options_library.csv option htp_heat_pump_100_150 (""Low-pressure steam and hot processes 100-150C: evaporation, drying, sterilisation, distillation reboil"") as the NAMED ANALOGUE - it names distillation reboil in that band explicitly. Not a read figure.",low
Chemical Works,default,drying,DRY,heat_150_400,4,1.00000,,,fallback,"[DOECHEM2015] document level - spray, rotary and fluid-bed dryers. Band 4 (150-400C) is a FALLBACK on [CARB3_WE_FOOD] section 3.2's spray dryer (""DRY - spray dryer, 200 C"", heat_150_400, grade 4) as the NAMED ANALOGUE. Not a read figure.",low
Chemical Works,default,utilities_steam,STM,heat_100_150,3,1.00000,,,fallback,"[UKCHEM2015] document level - package boilers, CHP, deaerators and steam distribution. Band 3 (100-150C) is a FALLBACK on the site LP steam main, same NAMED ANALOGUE as distillation_separation ([DEBOER2020] option htp_heat_pump_100_150). Not a read figure.",low
Chemical Works,default,process_machine_drives,MOT,motive_power,,1.00000,,,published_sec,"[DOECHEM2015] document level - pumps, compressors, agitators and materials handling are the dominant electric end use of the sector.",medium
Chemical Works,default,refrigeration,REF,cooling,,1.00000,,,published_sec,[UKCHEM2015] document level - ammonia/HFC refrigeration sets and chilled water plant deliver a cooling service.,medium
Chemical Works,default,electrochemical_processes,OTH,motive_power,,1.00000,,,fallback,"[jacsau_echem_2022] document level and [UKCHEM2015] document level - chlor-alkali cells and electrolysers present as a direct electrical service. SCHEMA GAP: carrier.csv (section 3.4, 29 carriers) has no electrochemical service carrier, so motive_power is used as the repo precedent for a bundled direct-electric load ([CARB3_WE_FOOD] section 3.2). This is a stated defect, not a claim about the physics - see DONE_duty_a.md.",low
